"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Dosage in Murine Study]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Dosage in Human Study]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Gender]"	"Term Source REF"	"Term Accession Number"	"Factor Value[B3 Vitamin]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Abel Group Mouse 11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Mouse 11_heart 144_NADrerun"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Mouse 11_heart 144_Namrerun"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 11_liver 144"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 11_liver 144_NADrerun"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 11_liver 144_Namrerun"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Mouse 12_heart 144"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Mouse 12_heart 144_NADrerun"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Mouse 12_heart 144_Namrerun"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 12_liver 144"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 12_liver 144_NADrerun"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 12_liver 144_Namrerun"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 13"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Mouse 13_heart 144"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 13"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Mouse 13_heart 144_NADrerun"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 13"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Mouse 13_heart 144_Namrerun"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 13"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 13_liver 144"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 13"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 13_liver 144_NADrerun"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 13"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 13_liver 144_Namrerun"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 14"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Mouse 14_heart 144"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 14"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Mouse 14_heart 144_NADrerun"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 14"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Mouse 14_heart 144_Namrerun"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 14"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 14_liver 144"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 14"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 14_liver 144_NADrerun"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 14"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 14_liver 144_Namrerun"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 2_liver 144_NADrerun"	"0"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"saline"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 2_liver 144"	"0"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"saline"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Mouse 2_heart 144_NADrerun"	"0"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"saline"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Mouse 2_heart 144"	"0"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"saline"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 3_liver 144_NADrerun"	"0"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"saline"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 3_liver 144"	"0"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"saline"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Mouse 3_heart 144_NADrerun"	"0"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"saline"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Mouse 3_heart 144"	"0"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"saline"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 4_liver 144_NADrerun"	"0"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"saline"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 4_liver 144"	"0"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"saline"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Mouse 4_heart 144_NADrerun"	"0"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"saline"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Mouse 4_heart 144"	"0"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"saline"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 5"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 5_liver 144_NADrerun"	"0"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"saline"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 5"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 5_liver 144"	"0"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"saline"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 5"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Mouse 5_heart 144_NADrerun"	"0"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"saline"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 5"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Mouse 5_heart 144"	"0"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"saline"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 6"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 6_liver 144_NADrerun"	"0"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"saline"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 6"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 6_liver 144"	"0"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"saline"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 6"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Mouse 6_heart 144_NADrerun"	"0"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"saline"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 6"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Mouse 6_heart 144"	"0"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"saline"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
