"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[drug treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[cell type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[incubation time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"A2780_24h_c_21"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_24h_c_21"	"control"	""	""	"A2780"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_24h_c_22"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_24h_c_22"	"control"	""	""	"A2780"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_24h_c_23"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_24h_c_23"	"control"	""	""	"A2780"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_24h_c_24"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_24h_c_24"	"control"	""	""	"A2780"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_24h_c_25"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_24h_c_25"	"control"	""	""	"A2780"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_24h_c_26"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_24h_c_26"	"control"	""	""	"A2780"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_24h_c_27"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_24h_c_27"	"control"	""	""	"A2780"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_24h_c_28"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_24h_c_28"	"control"	""	""	"A2780"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_72h_d_11"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_72h_d_11"	"drug"	""	""	"A2780"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_72h_d_12"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_72h_d_12"	"drug"	""	""	"A2780"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_72h_d_13"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_72h_d_13"	"drug"	""	""	"A2780"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_72h_d_14"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_72h_d_14"	"drug"	""	""	"A2780"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_72h_d_15"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_72h_d_15"	"drug"	""	""	"A2780"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_72h_d_16"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_72h_d_16"	"drug"	""	""	"A2780"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_72h_d_17"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_72h_d_17"	"drug"	""	""	"A2780"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_72h_d_18"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_72h_d_18"	"drug"	""	""	"A2780"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_72h_d_19"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_72h_d_19"	"drug"	""	""	"A2780"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_72h_d_20"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_72h_d_20"	"drug"	""	""	"A2780"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_72h_c_29"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_72h_c_29"	"control"	""	""	"A2780"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_72h_c_30"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_72h_c_30"	"control"	""	""	"A2780"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_72h_c_31"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_72h_c_31"	"control"	""	""	"A2780"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_72h_c_32"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_72h_c_32"	"control"	""	""	"A2780"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_72h_c_33"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_72h_c_33"	"control"	""	""	"A2780"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_72h_c_34"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_72h_c_34"	"control"	""	""	"A2780"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_72h_c_35"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_72h_c_35"	"control"	""	""	"A2780"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_72h_c_36"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_72h_c_36"	"control"	""	""	"A2780"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_24h_c_48"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_24h_c_48"	"control"	""	""	"A2780cisR"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_24h_c_49"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_24h_c_49"	"control"	""	""	"A2780cisR"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_24h_c_52"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_24h_c_52"	"control"	""	""	"A2780cisR"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_24h_c_51"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_24h_c_51"	"control"	""	""	"A2780cisR"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_24h_c_47"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_24h_c_47"	"control"	""	""	"A2780cisR"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_24h_c_45"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_24h_c_45"	"control"	""	""	"A2780cisR"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_24h_c_50"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_24h_c_50"	"control"	""	""	"A2780cisR"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_24h_c_46"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_24h_c_46"	"control"	""	""	"A2780cisR"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_24h_d_67"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_24h_d_67"	"drug"	""	""	"A2780cisR"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_24h_d_72"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_24h_d_72"	"drug"	""	""	"A2780cisR"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_24h_d_71"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_24h_d_71"	"drug"	""	""	"A2780cisR"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_24h_d_69"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_24h_d_69"	"drug"	""	""	"A2780cisR"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_24h_d_68"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_24h_d_68"	"drug"	""	""	"A2780cisR"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_24h_d_64"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_24h_d_64"	"drug"	""	""	"A2780cisR"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_24h_d_70"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_24h_d_70"	"drug"	""	""	"A2780cisR"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_24h_d_65"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_24h_d_65"	"drug"	""	""	"A2780cisR"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_24h_d_63"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_24h_d_63"	"drug"	""	""	"A2780cisR"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_72h_c_38"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_72h_c_38"	"control"	""	""	"A2780cisR"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_72h_c_41"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_72h_c_41"	"control"	""	""	"A2780cisR"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_72h_c_37"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_72h_c_37"	"control"	""	""	"A2780cisR"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_72h_c_39"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_72h_c_39"	"control"	""	""	"A2780cisR"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_72h_c_44"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_72h_c_44"	"control"	""	""	"A2780cisR"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_72h_c_43"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_72h_c_43"	"control"	""	""	"A2780cisR"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_72h_c_40"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_72h_c_40"	"control"	""	""	"A2780cisR"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_72h_d_54"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_72h_d_54"	"drug"	""	""	"A2780cisR"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_72h_d_60"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_72h_d_60"	"drug"	""	""	"A2780cisR"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_72h_d_57"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_72h_d_57"	"drug"	""	""	"A2780cisR"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_72h_d_62"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_72h_d_62"	"drug"	""	""	"A2780cisR"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_72h_d_53"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_72h_d_53"	"drug"	""	""	"A2780cisR"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_72h_d_55"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_72h_d_55"	"drug"	""	""	"A2780cisR"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_72h_d_58"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_72h_d_58"	"drug"	""	""	"A2780cisR"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_72h_d_61"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_72h_d_61"	"drug"	""	""	"A2780cisR"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_72h_d_56"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_72h_d_56"	"drug"	""	""	"A2780cisR"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780cisR_72h_d_59"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780cisR cell"	""	""	"Sample collection"	"A2780cisR_72h_d_59"	"drug"	""	""	"A2780cisR"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_24h_c_79"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_24h_c_79"	"control"	""	""	"HEK-293"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_24h_c_73"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_24h_c_73"	"control"	""	""	"HEK-293"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_24h_c_77"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_24h_c_77"	"control"	""	""	"HEK-293"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_24h_c_78"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_24h_c_78"	"control"	""	""	"HEK-293"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_24h_c_80"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_24h_c_80"	"control"	""	""	"HEK-293"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_24h_c_74"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_24h_c_74"	"control"	""	""	"HEK-293"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_24h_c_75"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_24h_c_75"	"control"	""	""	"HEK-293"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_24h_c_76"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_24h_c_76"	"control"	""	""	"HEK-293"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
