"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[metabolomics/lipidomics]"	"Term Source REF"	"Term Accession Number"
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150612_Yeast_18_1"	"metabolomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150612_Yeast_18_2"	"metabolomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150612_Yeast_QC_45"	"metabolomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150612_Yeast_QC_46"	"metabolomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150612_Yeast_QC_47"	"metabolomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_QC_4_NEG"	"metabolomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_QC_5_NEG"	"metabolomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_QC_6_NEG"	"metabolomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_QC_7_NEG"	"metabolomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_QC_8_NEG"	"metabolomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_1_1_NEG"	"metabolomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_1_2_NEG"	"metabolomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_2_1_NEG"	"metabolomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_2_2_NEG"	"metabolomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_3_1_NEG"	"metabolomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_3_2_NEG"	"metabolomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_4_1_NEG"	"metabolomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_4_2_NEG"	"metabolomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_5_1_NEG"	"metabolomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_5_2_NEG"	"metabolomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_QC_9_NEG"	"metabolomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_6_1_NEG"	"metabolomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_6_2_NEG"	"metabolomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_7_1_NEG"	"metabolomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_7_2_NEG"	"metabolomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_8_1_NEG"	"metabolomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_8_2_NEG"	"metabolomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_9_1_NEG"	"metabolomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_9_2_NEG"	"metabolomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_10_1_NEG"	"metabolomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_10_2_NEG"	"metabolomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_QC_10_NEG"	"metabolomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_11_1_NEG"	"metabolomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_11_2_NEG"	"metabolomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_12_1_NEG"	"metabolomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_12_2_NEG"	"metabolomics"	""	""
