"Sample Name"	"Factor Value[Well Position]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"p180_QC2"	"16"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180_QC2_p1_16"	"KIT3-0-5504_1020804084_16_0_1_1_00_1020803614.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"2195440"	"20"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2195440"	"KIT3-0-5504_1020804084_20_0_1_1_00_1020803856.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"PBS"	"25"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"PBS_p1_25"	"KIT3-0-5504_1020804084_25_0_1_1_10_11000002.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"2119304"	"27"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2119304"	"KIT3-0-5504_1020804084_27_0_1_1_00_1020803721.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"E03_RWR_T02_040214"	"31"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"E03_RWR_T02_040214"	"KIT3-0-5504_1020804084_31_0_1_1_00_1020803691.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"2195438"	"35"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2195438"	"KIT3-0-5504_1020804084_35_0_1_1_00_1020803841.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"2137919"	"36"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2137919"	"KIT3-0-5504_1020804084_36_0_1_1_00_1020803754.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"PBS"	"37"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"PBS_p1"	"KIT3-0-5504_1020804084_37_0_1_1_10_11000002.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"p180_QC1"	"38"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180_QC1_p1"	"KIT3-0-5504_1020804084_38_0_1_1_03_721029.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"2119305"	"39"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2119305"	"KIT3-0-5504_1020804084_39_0_1_1_00_1020803740.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"2137920"	"40"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2137920"	"KIT3-0-5504_1020804084_40_0_1_1_00_1020803788.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"2119306"	"42"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2119306"	"KIT3-0-5504_1020804084_42_0_1_1_00_1020803735.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"p180_QC2"	"44"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180_QC2_p1_44"	"KIT3-0-5504_1020804084_44_0_1_1_00_1020803633.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"p180_QC2"	"50"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180_QC2_p1_50"	"KIT3-0-5504_1020804084_50_0_1_1_04_721046.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"2144077"	"56"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2144077"	"KIT3-0-5504_1020804084_56_0_1_1_00_1020803822.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"p180_QC3"	"62"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180_QC3_p1"	"KIT3-0-5504_1020804084_62_0_1_1_05_721050.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"2119303"	"64"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2119303"	"KIT3-0-5504_1020804084_64_0_1_1_00_1020803716.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"2139058"	"70"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2139058"	"KIT3-0-5504_1020804084_70_0_1_1_00_1020803769.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"2195439"	"75"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2195439"	"KIT3-0-5504_1020804084_75_0_1_1_00_1020803861.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"p180_QC2"	"83"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180_QC2_p1_83"	"KIT3-0-5504_1020804084_83_0_1_1_00_1020803648.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"E03_RWR_T01_030614"	"87"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"E03_RWR_T01_030614"	"KIT3-0-5504_1020804084_87_0_1_1_00_1020803701.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"2151730"	"89"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2151730"	"KIT3-0-5504_1020804084_89_0_1_1_00_1020803803.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"2137921"	"93"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2137921"	"KIT3-0-5504_1020804084_93_0_1_1_00_1020803773.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"2148974"	"95"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2148974"	"KIT3-0-5504_1020804084_95_0_1_1_00_1020803792.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
