"Sample Name"	"Factor Value[Well Position]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"p180_QC2"	"41"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180_QC2_p3_41"	"KIT2-0-5504_1020806790_41_0_1_1_00_1020805975.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"p180_QC2"	"47"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180_QC2_p3_47"	"KIT2-0-5504_1020806790_47_0_1_1_00_1020805994.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"p180 Cal1"	"49"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180 Cal1_p3"	"KIT2-0-5504_1020806790_49_0_1_1_02_20000611.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"p180_QC2"	"50"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180_QC2_p3_50"	"KIT2-0-5504_1020806790_50_0_1_1_04_721046.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"p180_QC2"	"56"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180_QC2_p3_56"	"KIT2-0-5504_1020806790_56_0_1_1_00_1020805980.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"p180 Cal2"	"61"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180 Cal2_p3"	"KIT2-0-5504_1020806790_61_0_1_1_13_20000612.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"p180_QC3"	"62"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180_QC3_p3"	"KIT2-0-5504_1020806790_62_0_1_1_05_721050.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"2142008"	"69"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2142008"	"KIT2-0-5504_1020806790_69_0_1_1_00_1020806766.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"p180 Cal3"	"73"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180 Cal3_p3"	"KIT2-0-5504_1020806790_73_0_1_1_14_20000613.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"p180 Cal4"	"85"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180 Cal4_p3"	"KIT2-0-5504_1020806790_85_0_1_1_15_20000614.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"Blank"	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"Blank_p1"	"KIT2-0-5504_1020804070_01_0_1_1_01_10000001.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"Blank"	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"Blank_p1"	"KIT2-0-5504_1020804070_01_0_1_2_01_10000001.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"Blank"	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"Blank_p1"	"KIT2-0-5504_1020804070_01_0_1_3_01_10000001.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"p180 Cal5"	"2"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180 Cal5_p1"	"KIT2-0-5504_1020804070_02_0_1_1_16_20000615.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"2153953"	"3"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2153953"	"KIT2-0-5504_1020804070_03_0_1_1_00_1020803818.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"PBS"	"13"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"PBS_p1_13"	"KIT2-0-5504_1020804070_13_0_1_1_10_11000002.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"p180 Cal6"	"14"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180 Cal6_p1"	"KIT2-0-5504_1020804070_14_0_1_1_17_20000616.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"2195437"	"15"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2195437"	"KIT2-0-5504_1020804070_15_0_1_1_00_1020803837.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"p180_QC2"	"16"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180_QC2_p1_16"	"KIT2-0-5504_1020804070_16_0_1_1_00_1020803614.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"2195440"	"20"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2195440_p1"	"KIT2-0-5504_1020804070_20_0_1_1_00_1020803856.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"PBS"	"25"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"PBS_p1_25"	"KIT2-0-5504_1020804070_25_0_1_1_10_11000002.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"p180 Cal7"	"26"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180 Cal7_p1"	"KIT2-0-5504_1020804070_26_0_1_1_18_20000617.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"2119304"	"27"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2119304_p1"	"KIT2-0-5504_1020804070_27_0_1_1_00_1020803721.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E03_RWR_T02_040214"	"31"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"E03_RWR_T02_040214_p1"	"KIT2-0-5504_1020804070_31_0_1_1_00_1020803691.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"2195438"	"35"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2195438_p1"	"KIT2-0-5504_1020804070_35_0_1_1_00_1020803841.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"2137919"	"36"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2137919_p1"	"KIT2-0-5504_1020804070_36_0_1_1_00_1020803754.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"PBS"	"37"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"PBS_p1_37"	"KIT2-0-5504_1020804070_37_0_1_1_10_11000002.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"p180_QC1"	"38"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180_QC1_p1"	"KIT2-0-5504_1020804070_38_0_1_1_03_721029.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"2119305"	"39"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2119305_p1"	"KIT2-0-5504_1020804070_39_0_1_1_00_1020803740.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
