Sample Name	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Characteristics[Correction Batch]	Term Source REF	Term Accession Number	Comment[Exclusion Details]	Characteristics[Run Order]	Unit	Term Source REF	Term Accession Number	Characteristics[Batch]	Term Source REF	Term Accession Number	Characteristics[Plate]	Term Source REF	Term Accession Number	Characteristics[Well]	Term Source REF	Term Accession Number	Characteristics[Matrix]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Acquired Full Time String]	Term Source REF	Term Accession Number	Parameter Value[TOF]	Term Source REF	Term Accession Number	Parameter Value[Start Mass]	Term Source REF	Term Accession Number	Parameter Value[Source Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Source Offset]	Term Source REF	Term Accession Number	Parameter Value[Scan Time]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sampling Cone]	Term Source REF	Term Accession Number	Parameter Value[Resolution]	Term Source REF	Term Accession Number	Parameter Value[Polarity]	Term Source REF	Term Accession Number	Parameter Value[LM Resolution]	Term Source REF	Term Accession Number	Parameter Value[Interscan Time]	Unit	Term Source REF	Term Accession Number	Parameter Value[HM Resolution]	Term Source REF	Term Accession Number	Parameter Value[File Path]	Term Source REF	Term Accession Number	Parameter Value[End Mass]	Term Source REF	Term Accession Number	Parameter Value[Detector]	Term Source REF	Term Accession Number	Parameter Value[Desolvation Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Desolvation Gas Flow]	Unit	Term Source REF	Term Accession Number	Parameter Value[Cone Gas Flow]	Unit	Term Source REF	Term Accession Number	Parameter Value[Column Type]	Term Source REF	Term Accession Number	Parameter Value[Collision Energy]	Term Source REF	Term Accession Number	Parameter Value[Collision]	Term Source REF	Term Accession Number	Parameter Value[Capillary]	Unit	Term Source REF	Term Accession Number	Parameter Value[Backing]	Term Source REF	Term Accession Number	Parameter Value[Acquired Time]	Term Source REF	Term Accession Number	Parameter Value[Acquired Date]	Term Source REF	Term Accession Number	Parameter Value[Column Serial Number]	Term Source REF	Term Accession Number	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ionisation]	Term Source REF	Term Accession Number	Parameter Value[Chromatography]	Term Source REF	Term Accession Number	MS Assay Name	Characteristics[LIMS Marked Missing]	Term Source REF	Term Accession Number	Characteristics[LIMS Present]	Term Source REF	Term Accession Number	Characteristics[Data Present]	Term Source REF	Term Accession Number	Characteristics[Status]	Term Source REF	Term Accession Number	Characteristics[Acquisition Batch]	Term Source REF	Term Accession Number	Characteristics[Sample Batch]	Term Source REF	Term Accession Number	Characteristics[Sample Position]	Term Source REF	Term Accession Number	Characteristics[Assay Data Location]	Term Source REF	Term Accession Number	Characteristics[Assay Data Name]	Term Source REF	Term Accession Number	Raw Spectral Data File	Protocol REF	Data Transformation Name	Derived Spectral Data File
7246	extraction	7246	labeling	7246	7246	2				1712	order			2			39			13			P			mass spectrometry	44			5.19E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W13.raw			1200			3011			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0174			1.5	kV			3.25			44:32:00	20		06-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			B1			flower_RD39			flower_RD39W13			/Volumes/data_archives3/flower/FDD/flower_RD39W13.raw	data transformation	7246	/Volumes/data_archives3/flower/FDD/flower_RD39W13.raw
5121	extraction	5121	labeling	5121	5121	2				1713	order			2			39			14			P			mass spectrometry	59			5.19E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W14.raw			1200			3008			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0173			1.5	kV			3.27			59:29:00	20		06-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			B2			flower_RD39			flower_RD39W14			/Volumes/data_archives3/flower/FDD/flower_RD39W14.raw	data transformation	5121	/Volumes/data_archives3/flower/FDD/flower_RD39W14.raw
7503	extraction	7503	labeling	7503	7503	2				1714	order			2			39			15			P			mass spectrometry	14			5.19E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W15.raw			1200			3011			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0172			1.5	kV			3.27			14:27	21		06-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			B3			flower_RD39			flower_RD39W15			/Volumes/data_archives3/flower/FDD/flower_RD39W15.raw	data transformation	7503	/Volumes/data_archives3/flower/FDD/flower_RD39W15.raw
5762	extraction	5762	labeling	5762	5762	2				1715	order			2			39			16			P			mass spectrometry	29			5.21E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W16.raw			1200			3010			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0172			1.5	kV			3.27			29:32:00	21		06-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			B4			flower_RD39			flower_RD39W16			/Volumes/data_archives3/flower/FDD/flower_RD39W16.raw	data transformation	5762	/Volumes/data_archives3/flower/FDD/flower_RD39W16.raw
5862	extraction	5862	labeling	5862	5862	2				1716	order			2			39			17			P			mass spectrometry	44			5.21E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W17.raw			1200			3011			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0172			1.5	kV			3.25			44:38:00	21		06-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			B5			flower_RD39			flower_RD39W17			/Volumes/data_archives3/flower/FDD/flower_RD39W17.raw	data transformation	5862	/Volumes/data_archives3/flower/FDD/flower_RD39W17.raw
5900	extraction	5900	labeling	5900	5900	2				1718	order			2			39			18			P			mass spectrometry	14			5.21E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W18.raw			1200			3011			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0173			1.5	kV			3.25			14:41	22		06-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			B6			flower_RD39			flower_RD39W18			/Volumes/data_archives3/flower/FDD/flower_RD39W18.raw	data transformation	5900	/Volumes/data_archives3/flower/FDD/flower_RD39W18.raw
7640	extraction	7640	labeling	7640	7640	2				1719	order			2			39			19			P			mass spectrometry	29			5.23E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W19.raw			1200			3012			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0173			1.5	kV			3.25			29:39:00	22		06-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			B7			flower_RD39			flower_RD39W19			/Volumes/data_archives3/flower/FDD/flower_RD39W19.raw	data transformation	7640	/Volumes/data_archives3/flower/FDD/flower_RD39W19.raw
8035	extraction	8035	labeling	8035	8035	2				1720	order			2			39			20			P			mass spectrometry	44			5.23E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W20.raw			1200			3010			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0173			1.5	kV			3.25			44:44:00	22		06-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			B8			flower_RD39			flower_RD39W20			/Volumes/data_archives3/flower/FDD/flower_RD39W20.raw	data transformation	8035	/Volumes/data_archives3/flower/FDD/flower_RD39W20.raw
6802	extraction	6802	labeling	6802	6802	2				1721	order			2			39			21			P			mass spectrometry	59			5.23E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W21.raw			1200			3011			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0173			1.5	kV			3.25			59:51:00	22		06-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			B9			flower_RD39			flower_RD39W21			/Volumes/data_archives3/flower/FDD/flower_RD39W21.raw	data transformation	6802	/Volumes/data_archives3/flower/FDD/flower_RD39W21.raw
7862	extraction	7862	labeling	7862	7862	2				1722	order			2			39			22			P			mass spectrometry	14			5.23E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W22.raw			1200			3012			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0173			1.5	kV			3.25			14:57	23		06-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			B10			flower_RD39			flower_RD39W22			/Volumes/data_archives3/flower/FDD/flower_RD39W22.raw	data transformation	7862	/Volumes/data_archives3/flower/FDD/flower_RD39W22.raw
5656	extraction	5656	labeling	5656	5656	2				1724	order			2			39			25			P			mass spectrometry	45			5.25E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W25.raw			1200			3010			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0173			1.5	kV			3.27			45:01:00	23		06-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			C1			flower_RD39			flower_RD39W25			/Volumes/data_archives3/flower/FDD/flower_RD39W25.raw	data transformation	5656	/Volumes/data_archives3/flower/FDD/flower_RD39W25.raw
7952	extraction	7952	labeling	7952	7952	2				1725	order			2			39			26			P			mass spectrometry	59			5.23E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W26.raw			1200			3012			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0173			1.5	kV			3.27			59:59:00	23		06-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			C2			flower_RD39			flower_RD39W26			/Volumes/data_archives3/flower/FDD/flower_RD39W26.raw	data transformation	7952	/Volumes/data_archives3/flower/FDD/flower_RD39W26.raw
7202	extraction	7202	labeling	7202	7202	2				1726	order			2			39			27			P			mass spectrometry	15			5.23E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W27.raw			1200			3014			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0173			1.5	kV			3.25			15:05	0		07-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			C3			flower_RD39			flower_RD39W27			/Volumes/data_archives3/flower/FDD/flower_RD39W27.raw	data transformation	7202	/Volumes/data_archives3/flower/FDD/flower_RD39W27.raw
9948	extraction	9948	labeling	9948	9948	2				1727	order			2			39			28			P			mass spectrometry	30			5.23E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W28.raw			1200			3012			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0173			1.5	kV			3.25			30:04:00	0		07-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			C4			flower_RD39			flower_RD39W28			/Volumes/data_archives3/flower/FDD/flower_RD39W28.raw	data transformation	9948	/Volumes/data_archives3/flower/FDD/flower_RD39W28.raw
6632	extraction	6632	labeling	6632	6632	2				1728	order			2			39			29			P			mass spectrometry	45			5.23E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W29.raw			1200			3014			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0173			1.5	kV			3.27			45:09:00	0		07-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			C5			flower_RD39			flower_RD39W29			/Volumes/data_archives3/flower/FDD/flower_RD39W29.raw	data transformation	6632	/Volumes/data_archives3/flower/FDD/flower_RD39W29.raw
6141	extraction	6141	labeling	6141	6141	2				1730	order			2			39			30			P			mass spectrometry	15			5.23E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W30.raw			1200			3012			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0174			1.5	kV			3.25			15:23	1		07-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			C6			flower_RD39			flower_RD39W30			/Volumes/data_archives3/flower/FDD/flower_RD39W30.raw	data transformation	6141	/Volumes/data_archives3/flower/FDD/flower_RD39W30.raw
9005	extraction	9005	labeling	9005	9005	2				1731	order			2			39			31			P			mass spectrometry	30			5.23E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W31.raw			1200			3015			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0174			1.5	kV			3.25			30:28:00	1		07-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			C7			flower_RD39			flower_RD39W31			/Volumes/data_archives3/flower/FDD/flower_RD39W31.raw	data transformation	9005	/Volumes/data_archives3/flower/FDD/flower_RD39W31.raw
7890	extraction	7890	labeling	7890	7890	2				1732	order			2			39			32			P			mass spectrometry	45			5.23E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W32.raw			1200			3016			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0174			1.5	kV			3.25			45:34:00	1		07-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			C8			flower_RD39			flower_RD39W32			/Volumes/data_archives3/flower/FDD/flower_RD39W32.raw	data transformation	7890	/Volumes/data_archives3/flower/FDD/flower_RD39W32.raw
8131	extraction	8131	labeling	8131	8131	2				1733	order			2			39			33			P			mass spectrometry	0			5.21E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W33.raw			1200			3012			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0174			1.5	kV			3.27			00:41	2		07-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			C9			flower_RD39			flower_RD39W33			/Volumes/data_archives3/flower/FDD/flower_RD39W33.raw	data transformation	8131	/Volumes/data_archives3/flower/FDD/flower_RD39W33.raw
5787	extraction	5787	labeling	5787	5787	2				1734	order			2			39			34			P			mass spectrometry	15			5.21E-07			50			120	Celcius			80			0.07	sec			20			15500			ES+			15			0.014	sec			15			/Volumes/data_archives3/flower/FDD/flower_RD39W34.raw			1200			3014			600	Celcius			1000	 L/Hr			150	L/Hr			ACQUITY UPLC BEH 1.7 ��������_m			6			0.0174			1.5	kV			3.25			15:49	2		07-Jun-15			2.86E+12			XEVO-G2SQTOF			ESI +			HILIC			PCSOP.017	FALSE			TRUE			TRUE			Sample			2			flower plasma 39			C10			flower_RD39			flower_RD39W34			/Volumes/data_archives3/flower/FDD/flower_RD39W34.raw	data transformation	5787	/Volumes/data_archives3/flower/FDD/flower_RD39W34.raw
