"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Batch run order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Run order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time Point]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Previous Malaria Infection]"	"Term Source REF"	"Term Accession Number"
"2588791"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_021"	"VT_150411_021.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"21"	""	""	"Baseline"	""	""	"Semi-immune"	""	""
"2588791"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_023"	"VT_150411_023.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"23"	""	""	"Baseline"	""	""	"Semi-immune"	""	""
"2588882"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_025"	"VT_150411_025.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"25"	""	""	"4 months"	""	""	"Semi-immune"	""	""
"2588882"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_027"	"VT_150411_027.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"27"	""	""	"4 months"	""	""	"Semi-immune"	""	""
"2588882"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_029"	"VT_150411_029.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"29"	""	""	"4 months"	""	""	"Semi-immune"	""	""
"2588863"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_031"	"VT_150411_031.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"31"	""	""	"Baseline"	""	""	"Naive"	""	""
"2588863"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_033"	"VT_150411_033.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"33"	""	""	"Baseline"	""	""	"Naive"	""	""
"2588863"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_035"	"VT_150411_035.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"35"	""	""	"Baseline"	""	""	"Naive"	""	""
"2588883"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_037"	"VT_150411_037.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"37"	""	""	"Baseline"	""	""	"Semi-immune"	""	""
"2588883"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_039"	"VT_150411_039.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"39"	""	""	"Baseline"	""	""	"Semi-immune"	""	""
"2588883"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_041"	"VT_150411_041.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"41"	""	""	"Baseline"	""	""	"Semi-immune"	""	""
"2588881"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_043"	"VT_150411_043.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"43"	""	""	"3 weeks"	""	""	"Semi-immune"	""	""
"2588881"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_045"	"VT_150411_045.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"45"	""	""	"3 weeks"	""	""	"Semi-immune"	""	""
"2588881"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_047"	"VT_150411_047.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"47"	""	""	"3 weeks"	""	""	"Semi-immune"	""	""
"2588872"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_049"	"VT_150411_049.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"49"	""	""	"Diagnosis"	""	""	"Semi-immune"	""	""
"2588872"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_051"	"VT_150411_051.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"51"	""	""	"Diagnosis"	""	""	"Semi-immune"	""	""
"2588872"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_053"	"VT_150411_053.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"53"	""	""	"Diagnosis"	""	""	"Semi-immune"	""	""
"2588871"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_055"	"VT_150411_055.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"55"	""	""	"Baseline"	""	""	"Semi-immune"	""	""
"2588871"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_057"	"VT_150411_057.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"57"	""	""	"Baseline"	""	""	"Semi-immune"	""	""
"2588871"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_059"	"VT_150411_059.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"59"	""	""	"Baseline"	""	""	"Semi-immune"	""	""
"2588894"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_061"	"VT_150411_061.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"61"	""	""	"4 months"	""	""	"Semi-immune"	""	""
"2588894"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_063"	"VT_150411_063.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"63"	""	""	"4 months"	""	""	"Semi-immune"	""	""
"2588894"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_065"	"VT_150411_065.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"65"	""	""	"4 months"	""	""	"Semi-immune"	""	""
"2588879"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_067"	"VT_150411_067.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"67"	""	""	"Baseline"	""	""	"Semi-immune"	""	""
"2588879"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_069"	"VT_150411_069.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"69"	""	""	"Baseline"	""	""	"Semi-immune"	""	""
"2588879"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_071"	"VT_150411_071.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"71"	""	""	"Baseline"	""	""	"Semi-immune"	""	""
"2588861"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_073"	"VT_150411_073.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"73"	""	""	"3 weeks"	""	""	"Naive"	""	""
"2588861"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_075"	"VT_150411_075.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"75"	""	""	"3 weeks"	""	""	"Naive"	""	""
"2588861"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_077"	"VT_150411_077.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"77"	""	""	"3 weeks"	""	""	"Naive"	""	""
"2588862"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_079"	"VT_150411_079.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"79"	""	""	"4 months"	""	""	"Naive"	""	""
