"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Batch run order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Run order]"	"Term Source REF"	"Term Accession Number"
"2416405"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_044"	"VT_150411_044.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_c18neg.tsv"	"1"	""	""	"44"	""	""
"2416405"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_046"	"VT_150411_046.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_c18neg.tsv"	"1"	""	""	"46"	""	""
"2416405"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_048"	"VT_150411_048.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_c18neg.tsv"	"1"	""	""	"48"	""	""
"2416406"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_050"	"VT_150411_050.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_c18neg.tsv"	"1"	""	""	"50"	""	""
"2416406"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_052"	"VT_150411_052.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_c18neg.tsv"	"1"	""	""	"52"	""	""
"2416406"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_054"	"VT_150411_054.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_c18neg.tsv"	"1"	""	""	"54"	""	""
"2416407"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_056"	"VT_150411_056.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_c18neg.tsv"	"1"	""	""	"56"	""	""
"2416407"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_058"	"VT_150411_058.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_c18neg.tsv"	"1"	""	""	"58"	""	""
"2416407"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_060"	"VT_150411_060.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_c18neg.tsv"	"1"	""	""	"60"	""	""
"2416408"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_062"	"VT_150411_062.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_c18neg.tsv"	"1"	""	""	"62"	""	""
"2416408"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_064"	"VT_150411_064.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_c18neg.tsv"	"1"	""	""	"64"	""	""
"2416408"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_066"	"VT_150411_066.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_c18neg.tsv"	"1"	""	""	"66"	""	""
"2416409"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_068"	"VT_150411_068.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_c18neg.tsv"	"1"	""	""	"68"	""	""
"2416409"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_070"	"VT_150411_070.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_c18neg.tsv"	"1"	""	""	"70"	""	""
"2416409"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_072"	"VT_150411_072.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_c18neg.tsv"	"1"	""	""	"72"	""	""
"2416540"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_074"	"VT_150411_074.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_c18neg.tsv"	"1"	""	""	"74"	""	""
"2416540"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_076"	"VT_150411_076.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_c18neg.tsv"	"1"	""	""	"76"	""	""
"2416540"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_078"	"VT_150411_078.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_c18neg.tsv"	"1"	""	""	"78"	""	""
"2416541"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_080"	"VT_150411_080.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_c18neg.tsv"	"1"	""	""	"80"	""	""
"2416541"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_082"	"VT_150411_082.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_c18neg.tsv"	"1"	""	""	"82"	""	""
"2416541"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_084"	"VT_150411_084.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_c18neg.tsv"	"1"	""	""	"84"	""	""
"2416542"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_086"	"VT_150411_086.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_c18neg.tsv"	"1"	""	""	"86"	""	""
"2416542"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_088"	"VT_150411_088.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_c18neg.tsv"	"1"	""	""	"88"	""	""
