"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time post exposure]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-NP01"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-NP02"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-NP03"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-NP04"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-NP05"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-NP06"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-NP07"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-NP08"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-NP09"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-NP10"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-D01"	"E-NP-D nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-D02"	"E-NP-D nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-D03"	"E-NP-D nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-D04"	"E-NP-D nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-D05"	"E-NP-D nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-D06"	"E-NP-D nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-D07"	"E-NP-D nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-D08"	"E-NP-D nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-D09"	"E-NP-D nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-D10"	"E-NP-D nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-DT01"	"E-NP-DT nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-DT02"	"E-NP-DT nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-DT03"	"E-NP-DT nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-DT04"	"E-NP-DT nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-DT05"	"E-NP-DT nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-DT06"	"E-NP-DT nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-DT07"	"E-NP-DT nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-DT08"	"E-NP-DT nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-DT09"	"E-NP-DT nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-DT10"	"E-NP-DT nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-DTS01"	"E-NP-DTS nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-DTS02"	"E-NP-DTS nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-DTS03"	"E-NP-DTS nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-DTS04"	"E-NP-DTS nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-DTS05"	"E-NP-DTS nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-DTS06"	"E-NP-DTS nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-DTS07"	"E-NP-DTS nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-DTS08"	"E-NP-DTS nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-DTS09"	"E-NP-DTS nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-DTS10"	"E-NP-DTS nanoparticle"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-PBS01"	"control"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-PBS02"	"control"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-PBS03"	"control"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-PBS04"	"control"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-PBS05"	"control"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-PBS06"	"control"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-PBS07"	"control"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-PBS08"	"control"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-PBS09"	"control"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-PBS10"	"control"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-NP01"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-NP02"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-NP03"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-NP04"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-NP05"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-NP06"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-NP07"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-NP08"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-NP09"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-NP10"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-D01"	"E-NP-D nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-D02"	"E-NP-D nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-D03"	"E-NP-D nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-D04"	"E-NP-D nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
