"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Neuropeptide Y and Y2 receptorblocker treatment]"	"Term Source REF"	"Term Accession Number"
"control of NPY treatment"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"11 y2r h ce"	"sterile water (control of NPY treatment)"	""	""
"control of NPY treatment"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"12 y2r h ce"	"sterile water (control of NPY treatment)"	""	""
"control of NPY treatment"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"13 y2r h ce"	"sterile water (control of NPY treatment)"	""	""
"control of NPY treatment"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"14 y2r h ce"	"sterile water (control of NPY treatment)"	""	""
"BIIE treatment"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"15 y2r h ce"	"BIIE treatment"	""	""
"BIIE treatment"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"16 y2r h ce"	"BIIE treatment"	""	""
"BIIE treatment"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"17 y2r h ce"	"BIIE treatment"	""	""
"BIIE treatment"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"18 y2r h ce"	"BIIE treatment"	""	""
"BIIE treatment"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"19 y2r h ce"	"BIIE treatment"	""	""
"BIIE treatment"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"20 y2r h ce"	"BIIE treatment"	""	""
"BIIE treatment"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"21 y2r h ce"	"BIIE treatment"	""	""
"BIIE treatment control"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"29 y2r h ce"	"BIIE treatment control (EtOH)"	""	""
"BIIE treatment control"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"30 y2r h ce"	"BIIE treatment control (EtOH)"	""	""
"BIIE treatment control"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"31 y2r h ce"	"BIIE treatment control (EtOH)"	""	""
"BIIE treatment control"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"32 y2r h ce"	"BIIE treatment control (EtOH)"	""	""
"BIIE treatment control"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"34 y2r h ce"	"BIIE treatment control (EtOH)"	""	""
"BIIE treatment control"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"33 y2r h ce"	"BIIE treatment control (EtOH)"	""	""
"BIIE treatment control"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"35 y2r h ce"	"BIIE treatment control (EtOH)"	""	""
"NPY and BIIE treatment"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"22 y2r h ce"	"NPY and BIIE treatment"	""	""
"NPY and BIIE treatment"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"23 y2r h ce"	"NPY and BIIE treatment"	""	""
"NPY and BIIE treatment"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"24 y2r h ce"	"NPY and BIIE treatment"	""	""
"NPY and BIIE treatment"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"25 y2r h ce"	"NPY and BIIE treatment"	""	""
"NPY and BIIE treatment"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"26 y2r h ce"	"NPY and BIIE treatment"	""	""
"NPY and BIIE treatment"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"27 y2r h ce"	"NPY and BIIE treatment"	""	""
"NPY and BIIE treatment"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"28 y2r h ce"	"NPY and BIIE treatment"	""	""
"NPY and BIIE treatment Control"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"36 y2r h ce"	"NPY and BIIE treatment Control (NPY in EtOH)"	""	""
"NPY and BIIE treatment Control"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"37 y2r h ce"	"NPY and BIIE treatment Control (NPY in EtOH)"	""	""
"NPY and BIIE treatment Control"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"38 y2r h ce"	"NPY and BIIE treatment Control (NPY in EtOH)"	""	""
"NPY and BIIE treatment Control"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"39 y2r h ce"	"NPY and BIIE treatment Control (NPY in EtOH)"	""	""
"NPY and BIIE treatment Control"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"40 y2r h ce"	"NPY and BIIE treatment Control (NPY in EtOH)"	""	""
"NPY and BIIE treatment Control"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"41 y2r h ce"	"NPY and BIIE treatment Control (NPY in EtOH)"	""	""
"NPY and BIIE treatment Control"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"42 y2r h ce"	"NPY and BIIE treatment Control (NPY in EtOH)"	""	""
