"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Protein challenge]"	"Term Source REF"	"Term Accession Number"
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"47"	"alpha synuclein monomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"48"	"alpha synuclein oligomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"49"	"alpha synuclein oligomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"50"	"alpha synuclein oligomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"51"	"alpha synuclein oligomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"52"	"alpha synuclein oligomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"53"	"alpha synuclein oligomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"54"	"alpha synuclein fibril"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"55"	"alpha synuclein fibril"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"56"	"alpha synuclein fibril"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"57"	"alpha synuclein fibril"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"58"	"alpha synuclein fibril"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"59"	"alpha synuclein fibril"	""	""
