"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[coculture]"	"Term Source REF"	"Term Accession Number"	"Factor Value[anaerobic]"	"Term Source REF"	"Term Accession Number"	"Factor Value[control]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Caco2]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Lactobacillus rhamnosus LGG]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Bacteroides caccae]"	"Term Source REF"	"Term Accession Number"
"PS_caco2_aneroctrl_P_88_1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"CACO-2"	"BTO"	""	"Sample collection"	"PS_caco2_aneroctrl_P_88_1"	"0"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"PS_caco2_aneroctrl_P_88_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"CACO-2"	"BTO"	""	"Sample collection"	"PS_caco2_aneroctrl_P_88_2"	"0"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"KG_Caco2_P_13_Coculture_1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"CACO-2"	"BTO"	""	"Sample collection"	"KG_Caco2_P_13_Coculture_1"	"1"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"KG_Caco2_P_13_Coculture_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"CACO-2"	"BTO"	""	"Sample collection"	"KG_Caco2_P_13_Coculture_2"	"1"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"KG_Caco2_P_14_Coculture_1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"CACO-2"	"BTO"	""	"Sample collection"	"KG_Caco2_P_14_Coculture_1"	"1"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"KG_Caco2_P_14_Coculture_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"CACO-2"	"BTO"	""	"Sample collection"	"KG_Caco2_P_14_Coculture_2"	"1"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"KG_Caco2_P_15_Coculture_1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"CACO-2"	"BTO"	""	"Sample collection"	"KG_Caco2_P_15_Coculture_1"	"1"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"KG_Caco2_P_15_Coculture_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"CACO-2"	"BTO"	""	"Sample collection"	"KG_Caco2_P_15_Coculture_2"	"1"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"PS_caco2_aneroctrl_P_56_1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"CACO-2"	"BTO"	""	"Sample collection"	"PS_caco2_aneroctrl_P_56_1"	"0"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"PS_caco2_aneroctrl_P_56_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"CACO-2"	"BTO"	""	"Sample collection"	"PS_caco2_aneroctrl_P_56_2"	"0"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"PS_caco2_aneroctrl_P_87_1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"CACO-2"	"BTO"	""	"Sample collection"	"PS_caco2_aneroctrl_P_87_1"	"0"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"PS_caco2_aneroctrl_P_87_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"CACO-2"	"BTO"	""	"Sample collection"	"PS_caco2_aneroctrl_P_87_2"	"0"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"PS_caco2_aneroctrl_P_88_1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"CACO-2"	"BTO"	""	"Sample collection"	"PS_caco2_aneroctrl_P_88_1"	"0"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"PS_caco2_aneroctrl_P_88_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"CACO-2"	"BTO"	""	"Sample collection"	"PS_caco2_aneroctrl_P_88_2"	"0"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"KG_Bac_P_5_anaeroLGG_1"	"Lactobacillus rhamnosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/47715"	"Lactobacillus rhamnosus GG"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_568703"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"KG_Bac_P_5_anaeroLGG_1"	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""
"KG_Bac_P_5_anaeroLGG_2"	"Lactobacillus rhamnosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/47715"	"Lactobacillus rhamnosus GG"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_568703"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"KG_Bac_P_5_anaeroLGG_2"	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""
"KG_Bac_P_6_anaeroLGG_1"	"Lactobacillus rhamnosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/47715"	"Lactobacillus rhamnosus GG"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_568703"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"KG_Bac_P_6_anaeroLGG_1"	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""
"KG_Bac_P_6_anaeroLGG_2"	"Lactobacillus rhamnosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/47715"	"Lactobacillus rhamnosus GG"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_568703"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"KG_Bac_P_6_anaeroLGG_2"	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""
"KG_Bac_P_7_anaeroLGG_1"	"Lactobacillus rhamnosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/47715"	"Lactobacillus rhamnosus GG"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_568703"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"KG_Bac_P_7_anaeroLGG_1"	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""
"KG_Bac_P_7_anaeroLGG_2"	"Lactobacillus rhamnosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/47715"	"Lactobacillus rhamnosus GG"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_568703"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"KG_Bac_P_7_anaeroLGG_2"	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""
"PS_LGG_P_79_1"	"Lactobacillus rhamnosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/47715"	"Lactobacillus rhamnosus GG"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_568703"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"PS_LGG_P_79_1"	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""
"PS_LGG_P_79_2"	"Lactobacillus rhamnosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/47715"	"Lactobacillus rhamnosus GG"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_568703"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"PS_LGG_P_79_2"	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""
"PS_LGG_P_83_1"	"Lactobacillus rhamnosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/47715"	"Lactobacillus rhamnosus GG"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_568703"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"PS_LGG_P_83_1"	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""
"PS_LGG_P_83_2"	"Lactobacillus rhamnosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/47715"	"Lactobacillus rhamnosus GG"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_568703"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"PS_LGG_P_83_2"	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""
"PS_LGG_P_91_1"	"Lactobacillus rhamnosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/47715"	"Lactobacillus rhamnosus GG"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_568703"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"PS_LGG_P_91_1"	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""
"PS_LGG_P_91_2"	"Lactobacillus rhamnosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/47715"	"Lactobacillus rhamnosus GG"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_568703"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"PS_LGG_P_91_2"	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""
