"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"LD01_Neg"	"Extraction"	"60 µl 4:1 methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"LD01_Neg"	"LD01_Neg.zip"	"Data transformation"	"IguchiNeg_80SF_Raw"	"IguchiNeg_80SF_Raw.csv"	""	"IguchiNeg_80SF_norm_knn"	"IguchiNeg_80SF_norm_knn.csv"	""	"IguchiNeg_80SF_norm_knn_glog"	"IguchiNeg_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_neg_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LD02_Neg"	"Extraction"	"60 µl 4:1 methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"LD02_Neg"	"LD02_Neg.zip"	"Data transformation"	"IguchiNeg_80SF_Raw"	"IguchiNeg_80SF_Raw.csv"	""	"IguchiNeg_80SF_norm_knn"	"IguchiNeg_80SF_norm_knn.csv"	""	"IguchiNeg_80SF_norm_knn_glog"	"IguchiNeg_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_neg_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LD03_Neg"	"Extraction"	"60 µl 4:1 methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"LD03_Neg"	"LD03_Neg.zip"	"Data transformation"	"IguchiNeg_80SF_Raw"	"IguchiNeg_80SF_Raw.csv"	""	"IguchiNeg_80SF_norm_knn"	"IguchiNeg_80SF_norm_knn.csv"	""	"IguchiNeg_80SF_norm_knn_glog"	"IguchiNeg_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_neg_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LD04_Neg"	"Extraction"	"60 µl 4:1 methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"LD04_Neg"	"LD04_Neg.zip"	"Data transformation"	"IguchiNeg_80SF_Raw"	"IguchiNeg_80SF_Raw.csv"	""	"IguchiNeg_80SF_norm_knn"	"IguchiNeg_80SF_norm_knn.csv"	""	"IguchiNeg_80SF_norm_knn_glog"	"IguchiNeg_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_neg_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LD05_Neg"	"Extraction"	"60 µl 4:1 methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"LD05_Neg"	"LD05_Neg.zip"	"Data transformation"	"IguchiNeg_80SF_Raw"	"IguchiNeg_80SF_Raw.csv"	""	"IguchiNeg_80SF_norm_knn"	"IguchiNeg_80SF_norm_knn.csv"	""	"IguchiNeg_80SF_norm_knn_glog"	"IguchiNeg_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_neg_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LD06_Neg"	"Extraction"	"60 µl 4:1 methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"LD06_Neg"	"LD06_Neg.zip"	"Data transformation"	"IguchiNeg_80SF_Raw"	"IguchiNeg_80SF_Raw.csv"	""	"IguchiNeg_80SF_norm_knn"	"IguchiNeg_80SF_norm_knn.csv"	""	"IguchiNeg_80SF_norm_knn_glog"	"IguchiNeg_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_neg_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LD07_Neg"	"Extraction"	"60 µl 4:1 methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"LD07_Neg"	"LD07_Neg.zip"	"Data transformation"	"IguchiNeg_80SF_Raw"	"IguchiNeg_80SF_Raw.csv"	""	"IguchiNeg_80SF_norm_knn"	"IguchiNeg_80SF_norm_knn.csv"	""	"IguchiNeg_80SF_norm_knn_glog"	"IguchiNeg_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_neg_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LD08_Neg"	"Extraction"	"60 µl 4:1 methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"LD08_Neg"	"LD08_Neg.zip"	"Data transformation"	"IguchiNeg_80SF_Raw"	"IguchiNeg_80SF_Raw.csv"	""	"IguchiNeg_80SF_norm_knn"	"IguchiNeg_80SF_norm_knn.csv"	""	"IguchiNeg_80SF_norm_knn_glog"	"IguchiNeg_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_neg_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LD09_Neg"	"Extraction"	"60 µl 4:1 methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"LD09_Neg"	"LD09_Neg.zip"	"Data transformation"	"IguchiNeg_80SF_Raw"	"IguchiNeg_80SF_Raw.csv"	""	"IguchiNeg_80SF_norm_knn"	"IguchiNeg_80SF_norm_knn.csv"	""	"IguchiNeg_80SF_norm_knn_glog"	"IguchiNeg_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_neg_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LD10_Neg"	"Extraction"	"60 µl 4:1 methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"LD10_Neg"	"LD10_Neg.zip"	"Data transformation"	"IguchiNeg_80SF_Raw"	"IguchiNeg_80SF_Raw.csv"	""	"IguchiNeg_80SF_norm_knn"	"IguchiNeg_80SF_norm_knn.csv"	""	"IguchiNeg_80SF_norm_knn_glog"	"IguchiNeg_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_neg_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"B01_Neg"	"Extraction"	"60 µl 4:1 methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"B01_Neg"	"B01_Neg.zip"	"Data transformation"	"IguchiNeg_80SF_Raw"	"IguchiNeg_80SF_Raw.csv"	""	"IguchiNeg_80SF_norm_knn"	"IguchiNeg_80SF_norm_knn.csv"	""	"IguchiNeg_80SF_norm_knn_glog"	"IguchiNeg_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_neg_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"B02_Neg"	"Extraction"	"60 µl 4:1 methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"B02_Neg"	"B02_Neg.zip"	"Data transformation"	"IguchiNeg_80SF_Raw"	"IguchiNeg_80SF_Raw.csv"	""	"IguchiNeg_80SF_norm_knn"	"IguchiNeg_80SF_norm_knn.csv"	""	"IguchiNeg_80SF_norm_knn_glog"	"IguchiNeg_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_neg_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"XB01_Neg"	"Extraction"	"60 µl 4:1 methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"XB01_Neg"	"XB01_Neg.zip"	"Data transformation"	"IguchiNeg_80SF_Raw"	"IguchiNeg_80SF_Raw.csv"	""	"IguchiNeg_80SF_norm_knn"	"IguchiNeg_80SF_norm_knn.csv"	""	"IguchiNeg_80SF_norm_knn_glog"	"IguchiNeg_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_neg_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"XB03_Neg"	"Extraction"	"60 µl 4:1 methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"XB03_Neg"	"XB03_Neg.zip"	"Data transformation"	"IguchiNeg_80SF_Raw"	"IguchiNeg_80SF_Raw.csv"	""	"IguchiNeg_80SF_norm_knn"	"IguchiNeg_80SF_norm_knn.csv"	""	"IguchiNeg_80SF_norm_knn_glog"	"IguchiNeg_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_neg_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"XB04_Neg"	"Extraction"	"60 µl 4:1 methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"XB04_Neg"	"XB04_Neg.zip"	"Data transformation"	"IguchiNeg_80SF_Raw"	"IguchiNeg_80SF_Raw.csv"	""	"IguchiNeg_80SF_norm_knn"	"IguchiNeg_80SF_norm_knn.csv"	""	"IguchiNeg_80SF_norm_knn_glog"	"IguchiNeg_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_neg_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC01_Neg"	"Extraction"	"60 µl 4:1 methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"QC01_Neg"	"QC01_Neg.zip"	"Data transformation"	"IguchiNeg_80SF_Raw"	"IguchiNeg_80SF_Raw.csv"	""	"IguchiNeg_80SF_norm_knn"	"IguchiNeg_80SF_norm_knn.csv"	""	"IguchiNeg_80SF_norm_knn_glog"	"IguchiNeg_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_neg_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC02_Neg"	"Extraction"	"60 µl 4:1 methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"QC02_Neg"	"QC02_Neg.zip"	"Data transformation"	"IguchiNeg_80SF_Raw"	"IguchiNeg_80SF_Raw.csv"	""	"IguchiNeg_80SF_norm_knn"	"IguchiNeg_80SF_norm_knn.csv"	""	"IguchiNeg_80SF_norm_knn_glog"	"IguchiNeg_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_neg_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC03_Neg"	"Extraction"	"60 µl 4:1 methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"QC03_Neg"	"QC03_Neg.zip"	"Data transformation"	"IguchiNeg_80SF_Raw"	"IguchiNeg_80SF_Raw.csv"	""	"IguchiNeg_80SF_norm_knn"	"IguchiNeg_80SF_norm_knn.csv"	""	"IguchiNeg_80SF_norm_knn_glog"	"IguchiNeg_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_neg_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
