"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"MTBSTFA _w_drying_Rep_2"	"MTBSTFA_w_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"MTBSTFA _w_drying_Rep_3"	"MTBSTFA_w_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"MTBSTFA _w_drying_Rep_4"	"MTBSTFA_w_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"MTBSTFA _w_drying_Rep_5"	"MTBSTFA_w_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"MTBSTFA _wo_drying_Rep_1"	"MTBSTFA_wo_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"MTBSTFA _wo_drying_Rep_2"	"MTBSTFA_wo_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"MTBSTFA _wo_drying_Rep_3"	"MTBSTFA_wo_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"MTBSTFA _wo_drying_Rep_4"	"MTBSTFA_wo_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"MTBSTFA _wo_drying_Rep_5"	"MTBSTFA_wo_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"BSTFA_w_drying_metabolite_mix_Rep_1"	"BSTFA_w_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"BSTFA_w_drying_metabolite_mix_Rep_2"	"BSTFA_w_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"BSTFA_w_drying_metabolite_mix_Rep_3"	"BSTFA_w_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"BSTFA_w_drying_metabolite_mix_Rep_4"	"BSTFA_w_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"BSTFA_w_drying_metabolite_mix_Rep_5"	"BSTFA_w_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"BSTFA_wo_drying_metabolite_mix_Rep_1"	"BSTFA_wo_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"BSTFA_wo_drying_metabolite_mix_Rep_2"	"BSTFA_wo_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"BSTFA_wo_drying_metabolite_mix_Rep_3"	"BSTFA_wo_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"BSTFA_wo_drying_metabolite_mix_Rep_4"	"BSTFA_wo_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"BSTFA_wo_drying_metabolite_mix_Rep_5"	"BSTFA_wo_drying"	""	""
"method development"	"Posidonia oceanica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/55489"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"BSTFA_w_drying_plant_Rep_1"	"BSTFA_w_drying"	""	""
"method development"	"Posidonia oceanica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/55489"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"BSTFA_wo_drying_plant_Rep_1"	"BSTFA_wo_drying"	""	""
"method development"	"Posidonia oceanica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/55489"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"BSTFA_w_drying_plant_Rep_2"	"BSTFA_w_drying"	""	""
"method development"	"Posidonia oceanica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/55489"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"BSTFA_wo_drying_plant_Rep_2"	"BSTFA_wo_drying"	""	""
"method development"	"Posidonia oceanica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/55489"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"BSTFA_w_drying_plant_Rep_3"	"BSTFA_w_drying"	""	""
"method development"	"Posidonia oceanica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/55489"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"BSTFA_wo_drying_plant_Rep_3"	"BSTFA_wo_drying"	""	""
"method development"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"BSTFA_wo_drying_yeast_Rep_1"	"BSTFA_wo_drying"	""	""
"method development"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"BSTFA_w_drying_yeast_Rep_1"	"BSTFA_w_drying"	""	""
"method development"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"BSTFA_wo_drying_yeast_Rep_2"	"BSTFA_wo_drying"	""	""
"method development"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"BSTFA_w_drying_yeast_Rep_2"	"BSTFA_w_drying"	""	""
"method development"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"BSTFA_wo_drying_yeast_Rep_3"	"BSTFA_wo_drying"	""	""
"method development"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"BSTFA_w_drying_yeast_Rep_3"	"BSTFA_w_drying"	""	""
"method development"	"Lumbricus terrestris L2"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/880541"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"BSTFA_wo_drying_tissue_Rep_1"	"BSTFA_wo_drying"	""	""
"method development"	"Lumbricus terrestris L2"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/880541"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"BSTFA_w_drying_tissue_Rep_1"	"BSTFA_w_drying"	""	""
"method development"	"Lumbricus terrestris L2"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/880541"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"BSTFA_wo_drying_tissue_Rep_2"	"BSTFA_wo_drying"	""	""
"method development"	"Lumbricus terrestris L2"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/880541"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"BSTFA_w_drying_tissue_Rep_2"	"BSTFA_w_drying"	""	""
"method development"	"Lumbricus terrestris L2"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/880541"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"BSTFA_wo_drying_tissue_Rep_3"	"BSTFA_wo_drying"	""	""
"method development"	"Lumbricus terrestris L2"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/880541"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"BSTFA_w_drying_tissue_Rep_3"	"BSTFA_w_drying"	""	""
"method development"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"BSTFA_wo_drying_urine_Rep_1"	"BSTFA_wo_drying"	""	""
"method development"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"BSTFA_w_drying_urine_Rep_1"	"BSTFA_w_drying"	""	""
"method development"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"BSTFA_wo_drying_urine_Rep_2"	"BSTFA_wo_drying"	""	""
"method development"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"BSTFA_w_drying_urine_Rep_2"	"BSTFA_w_drying"	""	""
"method development"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"BSTFA_wo_drying_urine_Rep_3"	"BSTFA_wo_drying"	""	""
"method development"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"BSTFA_w_drying_urine_Rep_3"	"BSTFA_w_drying"	""	""
