"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Time Point]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch run order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Run order]"	"Term Source REF"	"Term Accession Number"
"2421736"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_021"	"VT_150908_021.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 3"	""	""	"1"	""	""	"21"	""	""
"2421736"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_023"	"VT_150908_023.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 3"	""	""	"1"	""	""	"23"	""	""
"2453189"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_025"	"VT_150908_025.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 5"	""	""	"1"	""	""	"25"	""	""
"2453189"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_027"	"VT_150908_027.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 5"	""	""	"1"	""	""	"27"	""	""
"2453189"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_029"	"VT_150908_029.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 5"	""	""	"1"	""	""	"29"	""	""
"2413683"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_031"	"VT_150908_031.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 2"	""	""	"1"	""	""	"31"	""	""
"2413683"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_033"	"VT_150908_033.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 2"	""	""	"1"	""	""	"33"	""	""
"2413683"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_035"	"VT_150908_035.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 2"	""	""	"1"	""	""	"35"	""	""
"2473983"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_037"	"VT_150908_037.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 7"	""	""	"1"	""	""	"37"	""	""
"2473983"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_039"	"VT_150908_039.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 7"	""	""	"1"	""	""	"39"	""	""
"2473983"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_041"	"VT_150908_041.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 7"	""	""	"1"	""	""	"41"	""	""
"2449083"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_043"	"VT_150908_043.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 3A"	""	""	"1"	""	""	"43"	""	""
"2449083"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_045"	"VT_150908_045.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 3A"	""	""	"1"	""	""	"45"	""	""
"2449083"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_047"	"VT_150908_047.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 3A"	""	""	"1"	""	""	"47"	""	""
"2464030"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_055"	"VT_150908_055.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 3A"	""	""	"1"	""	""	"49"	""	""
"2464030"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_057"	"VT_150908_057.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 3A"	""	""	"1"	""	""	"51"	""	""
"2464030"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_059"	"VT_150908_059.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 3A"	""	""	"1"	""	""	"53"	""	""
"2473567"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_061"	"VT_150908_061.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 5"	""	""	"1"	""	""	"55"	""	""
"2473567"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_063"	"VT_150908_063.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 5"	""	""	"1"	""	""	"57"	""	""
"2473567"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_065"	"VT_150908_065.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 5"	""	""	"1"	""	""	"59"	""	""
"2413684"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_067"	"VT_150908_067.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 2"	""	""	"1"	""	""	"61"	""	""
"2413684"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_069"	"VT_150908_069.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 2"	""	""	"1"	""	""	"63"	""	""
"2413684"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_071"	"VT_150908_071.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 2"	""	""	"1"	""	""	"65"	""	""
"2421361"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_079"	"VT_150908_079.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 3"	""	""	"1"	""	""	"67"	""	""
"2421361"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_081"	"VT_150908_081.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 3"	""	""	"1"	""	""	"69"	""	""
"2421361"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_083"	"VT_150908_083.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 3"	""	""	"1"	""	""	"71"	""	""
"2468045"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_085"	"VT_150908_085.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 4"	""	""	"1"	""	""	"73"	""	""
"2468045"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_087"	"VT_150908_087.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 4"	""	""	"1"	""	""	"75"	""	""
"2468045"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_089"	"VT_150908_089.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 4"	""	""	"1"	""	""	"77"	""	""
"2464837"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_091"	"VT_150908_091.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 3A"	""	""	"1"	""	""	"79"	""	""
"2464837"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_093"	"VT_150908_093.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 3A"	""	""	"1"	""	""	"81"	""	""
"2464837"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_095"	"VT_150908_095.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 3A"	""	""	"1"	""	""	"83"	""	""
"2418857"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_097"	"VT_150908_097.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 3"	""	""	"1"	""	""	"85"	""	""
"2418857"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150908_099"	"VT_150908_099.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_hilicpos.tsv"	"TimePoint 3"	""	""	"1"	""	""	"87"	""	""
