"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Purity]"	"Term Source REF"	"Term Accession Number"
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Torbat Rashtkhar"	"pure substance"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Code 4"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Sample 24"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Code T18"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Code T16"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Sample 28"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Code T17"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Sample 25"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Sample 27"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Code T20"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Code T1"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Sample 26"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Code S"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"T/S 10:90"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"T/S 90:10"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"T/S 80:20"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"T/S 70:30"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"T/S 60:40"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Tartrazine"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Synthetic dye"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Safflower 1"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Safflower 2"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Arabian Saffron"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"YC/S 70:30"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Saf1/S 30:70 "	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Saf1/S 50:50"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Saf1/S 70:30"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Saf2/S 30:70"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Saf2/S 50:50"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Ar-S/S 70:30"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Ar-S/S 30:70"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Ar-S/S 50:50"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"T/S 50:50"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"T/S 30:70"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"T/S 20:80"	"product counterfeit"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"T/S 40:60"	"product counterfeit"	""	""
