"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Protocol REF"	"Raw Spectral Data File"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"CC_WB_BAT_15"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_15"	"Data transformation"	"CC_WB_BAT_15.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_16"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_16"	"Data transformation"	"CC_WB_BAT_16.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_17"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_17"	"Data transformation"	"CC_WB_BAT_17.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_18"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_18"	"Data transformation"	"CC_WB_BAT_18.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_19"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_19"	"Data transformation"	"CC_WB_BAT_19.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_20"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_20"	"Data transformation"	"CC_WB_BAT_20.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_21"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_21"	"Data transformation"	"CC_WB_BAT_21.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_24"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_24"	"Data transformation"	"CC_WB_BAT_24.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_25"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_25"	"Data transformation"	"CC_WB_BAT_25.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_26"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_26"	"Data transformation"	"CC_WB_BAT_26.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_27"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_27"	"Data transformation"	"CC_WB_BAT_27.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_28"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_28"	"Data transformation"	"CC_WB_BAT_28.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_29"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_29"	"Data transformation"	"CC_WB_BAT_29.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_30"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_30"	"Data transformation"	"CC_WB_BAT_30.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_31"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_31"	"Data transformation"	"CC_WB_BAT_31.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_32"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_32"	"Data transformation"	"CC_WB_BAT_32.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_33"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_33"	"Data transformation"	"CC_WB_BAT_33.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_36"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_36"	"Data transformation"	"CC_WB_BAT_36.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_37"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_37"	"Data transformation"	"CC_WB_BAT_37.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_38"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_38"	"Data transformation"	"CC_WB_BAT_38.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_39"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_39"	"Data transformation"	"CC_WB_BAT_39.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_40"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_40"	"Data transformation"	"CC_WB_BAT_40.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_41"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_41"	"Data transformation"	"CC_WB_BAT_41.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_42"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_42"	"Data transformation"	"CC_WB_BAT_42.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_43"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_43"	"Data transformation"	"CC_WB_BAT_43.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_44"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_44"	"Data transformation"	"CC_WB_BAT_44.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_45"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_45"	"Data transformation"	"CC_WB_BAT_45.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_48"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_48"	"Data transformation"	"CC_WB_BAT_48.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_49"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_49"	"Data transformation"	"CC_WB_BAT_49.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_50"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_50"	"Data transformation"	"CC_WB_BAT_50.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC_WB_BAT_51"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CC_WB_BAT_51"	"Data transformation"	"CC_WB_BAT_51.raw"	""	""	"Metabolite identification"	""	"m_mice_adipose_tissue_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
