"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[wetting time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[successional stage]"	"Term Source REF"	"Term Accession Number"
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"4A-lateSS-3min"	"A"	""	""	"3"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"lateSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"4B-lateSS-3min"	"B"	""	""	"3"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"lateSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"4C-lateSS-3min"	"C"	""	""	"3"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"lateSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"4D-lateSS-3min"	"D"	""	""	"3"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"lateSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"4E-lateSS-3min"	"E"	""	""	"3"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"lateSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"5A-earlySS-9h"	"A"	""	""	"9"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlySS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"5B-earlySS-9h"	"B"	""	""	"9"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlySS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"5C-earlySS-9h"	"C"	""	""	"9"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlySS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"5D-earlySS-9h"	"D"	""	""	"9"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlySS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"5E-earlySS-9h"	"E"	""	""	"9"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlySS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"6A-earlymidSS-9h"	"A"	""	""	"9"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlymidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"6B-earlymidSS-9h"	"B"	""	""	"9"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlymidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"6C-earlymidSS-9h"	"C"	""	""	"9"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlymidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"6D-earlymidSS-9h"	"D"	""	""	"9"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlymidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"6E-earlymidSS-9h"	"E"	""	""	"9"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlymidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"7A-latemidSS-9h"	"A"	""	""	"9"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"latemidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"7B-latemidSS-9h"	"B"	""	""	"9"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"latemidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"7C-latemidSS-9h"	"C"	""	""	"9"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"latemidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"7D-latemidSS-9h"	"D"	""	""	"9"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"latemidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"7E-latemidSS-9h"	"E"	""	""	"9"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"latemidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"8A-lateSS-9h"	"A"	""	""	"9"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"lateSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"8B-lateSS-9h"	"B"	""	""	"9"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"lateSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"8C-lateSS-9h"	"C"	""	""	"9"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"lateSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"8D-lateSS-9h"	"D"	""	""	"9"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"lateSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"8E-lateSS-9h"	"E"	""	""	"9"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"lateSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"9A-earlySS-18h"	"A"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlySS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"9B-earlySS-18h"	"B"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlySS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"9C-earlySS-18h"	"C"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlySS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"9D-earlySS-18h"	"D"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlySS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"9E-earlySS-18h"	"E"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlySS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"10A-earlymidSS-18h"	"A"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlymidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"10B-earlymidSS-18h"	"B"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlymidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"10C-earlymidSS-18h"	"C"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlymidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"10D-earlymidSS-18h"	"D"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlymidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"10E-earlymidSS-18h"	"E"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlymidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"11A-latemidSS-18h"	"A"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"latemidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"11B-latemidSS-18h"	"B"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"latemidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"11C-latemidSS-18h"	"C"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"latemidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"11D-latemidSS-18h"	"D"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"latemidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"11E-latemidSS-18h"	"E"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"latemidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"12A-lateSS-18h"	"A"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"lateSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"12B-lateSS-18h"	"B"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"lateSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"12C-lateSS-18h"	"C"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"lateSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"12D-lateSS-18h"	"D"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"lateSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"12E-lateSS-18h"	"E"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"lateSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"13A-earlySS-42h"	"A"	""	""	"42"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlySS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"13B-earlySS-42h"	"B"	""	""	"42"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlySS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"13C-earlySS-42h"	"C"	""	""	"42"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlySS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"13D-earlySS-42h"	"D"	""	""	"42"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlySS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"13E-earlySS-42h"	"E"	""	""	"42"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlySS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"14A-earlymidSS-42h"	"A"	""	""	"42"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlymidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"14B-earlymidSS-42h"	"B"	""	""	"42"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlymidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"14C-earlymidSS-42h"	"C"	""	""	"42"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlymidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"14D-earlymidSS-42h"	"D"	""	""	"42"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlymidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"14E-earlymidSS-42h"	"E"	""	""	"42"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlymidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"15A-latemidSS-42h"	"A"	""	""	"42"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"latemidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"15B-latemidSS-42h"	"B"	""	""	"42"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"latemidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"15C-latemidSS-42h"	"C"	""	""	"42"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"latemidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"15D-latemidSS-42h"	"D"	""	""	"42"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"latemidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"15E-latemidSS-42h"	"E"	""	""	"42"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"latemidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"16A-lateSS-42h"	"A"	""	""	"42"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"lateSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"16B-lateSS-42h"	"B"	""	""	"42"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"lateSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"16C-lateSS-42h"	"C"	""	""	"42"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"lateSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"16D-lateSS-42h"	"D"	""	""	"42"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"lateSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"16E-lateSS-42h"	"E"	""	""	"42"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"lateSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"17A-earlySS-49h"	"A"	""	""	"49"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlySS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"17B-earlySS-49h"	"B"	""	""	"49"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlySS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"17C-earlySS-49h"	"C"	""	""	"49"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlySS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"17D-earlySS-49h"	"D"	""	""	"49"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlySS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"17E-earlySS-49h"	"E"	""	""	"49"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlySS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"18A-earlymidSS-49h"	"A"	""	""	"49"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlymidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"18B-earlymidSS-49h"	"B"	""	""	"49"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlymidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"18C-earlymidSS-49h"	"C"	""	""	"49"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlymidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"18D-earlymidSS-49h"	"D"	""	""	"49"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlymidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"18E-earlymidSS-49h"	"E"	""	""	"49"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"earlymidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"19A-latemidSS-49h"	"A"	""	""	"49"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"latemidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"19B-latemidSS-49h"	"B"	""	""	"49"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"latemidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"19C-latemidSS-49h"	"C"	""	""	"49"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"latemidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"19D-latemidSS-49h"	"D"	""	""	"49"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"latemidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"19E-latemidSS-49h"	"E"	""	""	"49"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"latemidSS"	""	""
