"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model 1]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column type 1]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model 2]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column type 2]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"MP2_10s"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"MP2_10s"	"MP2_10s.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"MP3_10s"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"MP3_10s"	"MP3_10s.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"PK1_10s"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"PK1_10s"	"PK1_10s.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"PK2_10s"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"PK2_10s"	"PK2_10s.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"PK3_10s"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"PK3_10s"	"PK3_10s.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SC1_10s"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"SC1_10s"	"SC1_10s.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SC2_10s"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"SC2_10s"	"SC2_10s.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SC3_10s"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"SC3_10s"	"SC3_10s.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"TD1_10s"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"TD1_10s"	"TD1_10s.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"TD2_10s"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"TD2_10s"	"TD2_10s.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"TD3_10s"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"TD3_10s"	"TD3_10s.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC1_10s"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC1_10s"	"QC1_10s.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC2_10s"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC2_10s"	"QC2_10s.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC3_10s"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC3_10s"	"QC3_10s.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC4_10s"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC4_10s"	"QC4_10s.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC5_10s"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC5_10s"	"QC5_10s.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC6_10s"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC6_10s"	"QC6_10s.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC7_10s"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC7_10s"	"QC7_10s.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CZ1_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"CZ1_5m"	"CZ1_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CZ2_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"CZ2_5m"	"CZ2_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CZ3_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"CZ3_5m"	"CZ3_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"KA1_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"KA1_5m"	"KA1_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"KA2_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"KA2_5m"	"KA2_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
