"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Strain]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Light]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"Pro_11"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus marinus str. MIT 9301"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_167546"	"exometabolome"	""	""	"Sample collection"	"Pro_11"	"MIT9301"	""	""	"10"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"A"	""	""
"Pro_12"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus marinus str. MIT 9301"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_167546"	"endometabolome"	""	""	"Sample collection"	"Pro_12"	"MIT9301"	""	""	"10"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"A"	""	""
"Pro_13"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus marinus str. MIT 9301"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_167546"	"exometabolome"	""	""	"Sample collection"	"Pro_13"	"MIT9301"	""	""	"10"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"B"	""	""
"Pro_14"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus marinus str. MIT 9301"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_167546"	"endometabolome"	""	""	"Sample collection"	"Pro_14"	"MIT9301"	""	""	"10"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"B"	""	""
"Pro_15"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus marinus str. MIT 9301"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_167546"	"exometabolome"	""	""	"Sample collection"	"Pro_15"	"MIT9301"	""	""	"10"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"C"	""	""
"Pro_16"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus marinus str. MIT 9301"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_167546"	"endometabolome"	""	""	"Sample collection"	"Pro_16"	"MIT9301"	""	""	"10"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"C"	""	""
"Pro_17"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus marinus str. MIT 9301"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_167546"	"exometabolome"	""	""	"Sample collection"	"Pro_17"	"MIT9301"	""	""	"50"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"A"	""	""
"Pro_18"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus marinus str. MIT 9301"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_167546"	"endometabolome"	""	""	"Sample collection"	"Pro_18"	"MIT9301"	""	""	"50"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"A"	""	""
"Pro_19"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus marinus str. MIT 9301"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_167546"	"exometabolome"	""	""	"Sample collection"	"Pro_19"	"MIT9301"	""	""	"50"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"B"	""	""
"Pro_20"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus marinus str. MIT 9301"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_167546"	"endometabolome"	""	""	"Sample collection"	"Pro_20"	"MIT9301"	""	""	"50"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"B"	""	""
"Pro_21"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus marinus str. MIT 9301"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_167546"	"exometabolome"	""	""	"Sample collection"	"Pro_21"	"MIT9301"	""	""	"50"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"C"	""	""
"Pro_22"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus marinus str. MIT 9301"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_167546"	"endometabolome"	""	""	"Sample collection"	"Pro_22"	"MIT9301"	""	""	"50"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"C"	""	""
"Pro_23"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus marinus str. MIT 9313"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_74547"	"exometabolome"	""	""	"Sample collection"	"Pro_23"	"MIT9313"	""	""	"5"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"A"	""	""
"Pro_24"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus marinus str. MIT 9313"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_74547"	"endometabolome"	""	""	"Sample collection"	"Pro_24"	"MIT9313"	""	""	"5"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"A"	""	""
"Pro_25"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus marinus str. MIT 9313"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_74547"	"exometabolome"	""	""	"Sample collection"	"Pro_25"	"MIT9313"	""	""	"5"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"B"	""	""
"Pro_26"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus marinus str. MIT 9313"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_74547"	"endometabolome"	""	""	"Sample collection"	"Pro_26"	"MIT9313"	""	""	"5"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"B"	""	""
"Pro_27"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus marinus str. MIT 9313"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_74547"	"exometabolome"	""	""	"Sample collection"	"Pro_27"	"MIT9313"	""	""	"5"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"C"	""	""
"Pro_28"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus marinus str. MIT 9313"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_74547"	"endometabolome"	""	""	"Sample collection"	"Pro_28"	"MIT9313"	""	""	"5"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"C"	""	""
"Pro_29"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus marinus str. MIT 9313"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_74547"	"exometabolome"	""	""	"Sample collection"	"Pro_29"	"MIT9313"	""	""	"10"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"A"	""	""
"Pro_30"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus marinus str. MIT 9313"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_74547"	"endometabolome"	""	""	"Sample collection"	"Pro_30"	"MIT9313"	""	""	"10"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"A"	""	""
"Pro_31"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus marinus str. MIT 9313"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_74547"	"exometabolome"	""	""	"Sample collection"	"Pro_31"	"MIT9313"	""	""	"10"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"B"	""	""
"Pro_32"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus marinus str. MIT 9313"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_74547"	"endometabolome"	""	""	"Sample collection"	"Pro_32"	"MIT9313"	""	""	"10"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"B"	""	""
"Pro_33"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus marinus str. MIT 9313"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_74547"	"exometabolome"	""	""	"Sample collection"	"Pro_33"	"MIT9313"	""	""	"10"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"C"	""	""
"Pro_34"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus marinus str. MIT 9313"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_74547"	"endometabolome"	""	""	"Sample collection"	"Pro_34"	"MIT9313"	""	""	"10"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"C"	""	""
