"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"YY10"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY10"	"Data transformation"	""	"YnYn-10d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY11"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY11"	"Data transformation"	""	"YnYn-11d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY14"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY14"	"Data transformation"	""	"YnYn-14d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY15"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY15"	"Data transformation"	""	"YnYn-15d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY16"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY16"	"Data transformation"	""	"YnYn-16d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY19-1"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY19-1"	"Data transformation"	""	"YnYn-19d-1.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY19-2"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY19-2"	"Data transformation"	""	"YnYn-19d-2.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY19-3"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY19-3"	"Data transformation"	""	"YnYn-19d-3.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY22"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY22"	"Data transformation"	""	"YnYn-22d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY23"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY23"	"Data transformation"	""	"YnYn-23d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY25"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY25"	"Data transformation"	""	"YnYn-25d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY26"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY26"	"Data transformation"	""	"YnYn-26d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY27"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY27"	"Data transformation"	""	"YnYn-27d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY29"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY29"	"Data transformation"	""	"YnYn-29d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY30"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY30"	"Data transformation"	""	"YnYn-30d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY31"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY31"	"Data transformation"	""	"YnYn-31d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY37"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY37"	"Data transformation"	""	"YnYn-37d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY46"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY46"	"Data transformation"	""	"YnYn-46d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"XYT10"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"XYT10"	"Data transformation"	""	"XYT-10d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"XYT11"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"XYT11"	"Data transformation"	""	"XYT-11d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"XYT12"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"XYT12"	"Data transformation"	""	"XYT-12d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"XYT13"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"XYT13"	"Data transformation"	""	"XYT-13d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"XYT16"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"XYT16"	"Data transformation"	""	"XYT-16d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"XYT20"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"XYT20"	"Data transformation"	""	"XYT-20d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"XYT30"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"XYT30"	"Data transformation"	""	"XYT-30d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"XYT31"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"XYT31"	"Data transformation"	""	"XYT-31d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"XYT34"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"XYT34"	"Data transformation"	""	"XYT-34d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"XYT35"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"XYT35"	"Data transformation"	""	"XYT-35d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"XYT36"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"XYT36"	"Data transformation"	""	"XYT-36d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
