"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Column model 2]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column type 2]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"OCC 24hr B"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCC 24hr B_1"	"OCC 24hr B_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCC 24hr C"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCC 24hr C_1"	"OCC 24hr C_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCC 48hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCC 48hr A_1"	"OCC 48hr A_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCC 48hr B"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCC 48hr B_1"	"OCC 48hr B_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCC 48hr C"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCC 48hr C_1"	"OCC 48hr C_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCC Initial A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCC Initial A_2"	"OCC Initial A_2.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCC Initial B"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCC Initial B_1"	"OCC Initial B_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCC Initial C"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCC Initial C_1"	"OCC Initial C_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCCmedia 24hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCCmedia 24hr A_1"	"OCCmedia 24hr A_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCCmedia 24hr B"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCCmedia 24hr B_2"	"OCCmedia 24hr B_2.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCCmedia 24hr C"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCCmedia 24hr C_1"	"OCCmedia 24hr C_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCCmedia 48hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCCmedia 48hr A_1"	"OCCmedia 48hr A_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCCmedia 48hr B"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCCmedia 48hr B_1"	"OCCmedia 48hr B_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCCmedia 48hr C"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCCmedia 48hr C_1"	"OCCmedia 48hr C_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCCmedia Initial A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCCmedia Initial A_1"	"OCCmedia Initial A_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCCmedia Initial B"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCCmedia Initial B_1"	"OCCmedia Initial B_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCCmedia Initial C"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCCmedia Initial C_1"	"OCCmedia Initial C_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCSC 0.25hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCSC 0.25hr A_1"	"OCSC 0.25hr A_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
