"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Thermal Desorption unit]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Ec_ASM_9"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_ASM_9"	"EC_ASM_12H_293811_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_ASM_10"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_ASM_10"	"EC_ASM_12H_293806_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_ASM_11"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_ASM_11"	"EC_ASM_12H_293807_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_ASM_12"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_ASM_12"	"EC_ASM_12H_293808_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_ASM_13"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_ASM_13"	"EC_ASM_24H_293816_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_ASM_14"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_ASM_14"	"EC_ASM_24H_293817_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_ASM_15"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_ASM_15"	"EC_ASM_24H_293818_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_ASM_16"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_ASM_16"	"EC_ASM_24H_293841_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_ASM_17"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_ASM_17"	"EC_ASM_24H_293842_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_ASM_18"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_ASM_18"	"EC_ASM_24H_293844_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_NB_1"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_NB_1"	"EC_NB_3H_293822_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_NB_2"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_NB_2"	"EC_NB_3H_293823_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_NB_3"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_NB_3"	"EC_NB_3H_293824_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_NB_4"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_NB_4"	"EC_NB_3H_293801_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_NB_5"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_NB_5"	"EC_NB_3H_293802_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_NB_6"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_NB_6"	"EC_NB_3H_293803_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_NB_7"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_NB_7"	"EC_NB_5H_293841_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_NB_8"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_NB_8"	"EC_NB_5H_293842_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_NB_9"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_NB_9"	"EC_NB_5H_293843_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_NB_10"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_NB_10"	"EC_NB_5H_293811_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_NB_11"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_NB_11"	"EC_NB_5H_293812_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_NB_12"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_NB_12"	"EC_NB_5H_293813_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_NB_13"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_NB_13"	"EC_NB_15H_293801_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_NB_14"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_NB_14"	"EC_NB_15H_293802_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_NB_15"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_NB_15"	"EC_NB_15H_293803_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
