"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Bacteria]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Media]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"N11"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_ASM_7"	"Escherichia coli"	"EFO"	""	"Artificial sputum medium"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N12"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_ASM_8"	"Escherichia coli"	"EFO"	""	"Artificial sputum medium"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N13"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_ASM_9"	"Escherichia coli"	"EFO"	""	"Artificial sputum medium"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N14"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_ASM_10"	"Escherichia coli"	"EFO"	""	"Artificial sputum medium"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N15"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_ASM_11"	"Escherichia coli"	"EFO"	""	"Artificial sputum medium"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N16"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_ASM_12"	"Escherichia coli"	"EFO"	""	"Artificial sputum medium"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N17"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_ASM_13"	"Escherichia coli"	"EFO"	""	"Artificial sputum medium"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N18"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_ASM_14"	"Escherichia coli"	"EFO"	""	"Artificial sputum medium"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N19"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_ASM_15"	"Escherichia coli"	"EFO"	""	"Artificial sputum medium"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N20"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_ASM_16"	"Escherichia coli"	"EFO"	""	"Artificial sputum medium"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N21"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_ASM_17"	"Escherichia coli"	"EFO"	""	"Artificial sputum medium"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N22"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_ASM_18"	"Escherichia coli"	"EFO"	""	"Artificial sputum medium"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N23"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_NB_1"	"Escherichia coli"	"EFO"	""	"Nutrient broth"	""	""	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N24"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_NB_2"	"Escherichia coli"	"EFO"	""	"Nutrient broth"	""	""	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N25"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_NB_3"	"Escherichia coli"	"EFO"	""	"Nutrient broth"	""	""	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N26"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_NB_4"	"Escherichia coli"	"EFO"	""	"Nutrient broth"	""	""	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N27"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_NB_5"	"Escherichia coli"	"EFO"	""	"Nutrient broth"	""	""	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N28"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_NB_6"	"Escherichia coli"	"EFO"	""	"Nutrient broth"	""	""	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N29"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_NB_7"	"Escherichia coli"	"EFO"	""	"Nutrient broth"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N30"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_NB_8"	"Escherichia coli"	"EFO"	""	"Nutrient broth"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N31"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_NB_9"	"Escherichia coli"	"EFO"	""	"Nutrient broth"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N32"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_NB_10"	"Escherichia coli"	"EFO"	""	"Nutrient broth"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N33"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_NB_11"	"Escherichia coli"	"EFO"	""	"Nutrient broth"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N34"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_NB_12"	"Escherichia coli"	"EFO"	""	"Nutrient broth"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N35"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_NB_13"	"Escherichia coli"	"EFO"	""	"Nutrient broth"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N36"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_NB_14"	"Escherichia coli"	"EFO"	""	"Nutrient broth"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N37"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_NB_15"	"Escherichia coli"	"EFO"	""	"Nutrient broth"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N38"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_NB_16"	"Escherichia coli"	"EFO"	""	"Nutrient broth"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N39"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_NB_17"	"Escherichia coli"	"EFO"	""	"Nutrient broth"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N40"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_NB_18"	"Escherichia coli"	"EFO"	""	"Nutrient broth"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N41"	"Klebsiella pneumoniae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/573"	"Klebsiella pneumoniae ATCC 13887"	""	""	"headspace"	""	""	"Sample collection"	"Kp_NB_1"	"Klebsiella pneumoniae"	"EFO"	""	"Nutrient broth"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N42"	"Klebsiella pneumoniae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/573"	"Klebsiella pneumoniae ATCC 13887"	""	""	"headspace"	""	""	"Sample collection"	"Kp_NB_2"	"Klebsiella pneumoniae"	"EFO"	""	"Nutrient broth"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N43"	"Klebsiella pneumoniae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/573"	"Klebsiella pneumoniae ATCC 13887"	""	""	"headspace"	""	""	"Sample collection"	"Kp_NB_3"	"Klebsiella pneumoniae"	"EFO"	""	"Nutrient broth"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N44"	"Klebsiella pneumoniae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/573"	"Klebsiella pneumoniae ATCC 13887"	""	""	"headspace"	""	""	"Sample collection"	"Kp_NB_4"	"Klebsiella pneumoniae"	"EFO"	""	"Nutrient broth"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N45"	"Klebsiella pneumoniae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/573"	"Klebsiella pneumoniae ATCC 13887"	""	""	"headspace"	""	""	"Sample collection"	"Kp_NB_5"	"Klebsiella pneumoniae"	"EFO"	""	"Nutrient broth"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N46"	"Klebsiella pneumoniae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/573"	"Klebsiella pneumoniae ATCC 13887"	""	""	"headspace"	""	""	"Sample collection"	"Kp_NB_6"	"Klebsiella pneumoniae"	"EFO"	""	"Nutrient broth"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N47"	"Klebsiella pneumoniae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/573"	"Klebsiella pneumoniae ATCC 13887"	""	""	"headspace"	""	""	"Sample collection"	"Kp_NB_7"	"Klebsiella pneumoniae"	"EFO"	""	"Nutrient broth"	""	""	"7"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N48"	"Klebsiella pneumoniae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/573"	"Klebsiella pneumoniae ATCC 13887"	""	""	"headspace"	""	""	"Sample collection"	"Kp_NB_8"	"Klebsiella pneumoniae"	"EFO"	""	"Nutrient broth"	""	""	"7"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N49"	"Klebsiella pneumoniae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/573"	"Klebsiella pneumoniae ATCC 13887"	""	""	"headspace"	""	""	"Sample collection"	"Kp_NB_9"	"Klebsiella pneumoniae"	"EFO"	""	"Nutrient broth"	""	""	"7"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N50"	"Klebsiella pneumoniae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/573"	"Klebsiella pneumoniae ATCC 13887"	""	""	"headspace"	""	""	"Sample collection"	"Kp_NB_10"	"Klebsiella pneumoniae"	"EFO"	""	"Nutrient broth"	""	""	"7"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N51"	"Klebsiella pneumoniae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/573"	"Klebsiella pneumoniae ATCC 13887"	""	""	"headspace"	""	""	"Sample collection"	"Kp_NB_11"	"Klebsiella pneumoniae"	"EFO"	""	"Nutrient broth"	""	""	"7"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N52"	"Klebsiella pneumoniae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/573"	"Klebsiella pneumoniae ATCC 13887"	""	""	"headspace"	""	""	"Sample collection"	"Kp_NB_12"	"Klebsiella pneumoniae"	"EFO"	""	"Nutrient broth"	""	""	"7"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N53"	"Klebsiella pneumoniae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/573"	"Klebsiella pneumoniae ATCC 13887"	""	""	"headspace"	""	""	"Sample collection"	"Kp_NB_13"	"Klebsiella pneumoniae"	"EFO"	""	"Nutrient broth"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N54"	"Klebsiella pneumoniae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/573"	"Klebsiella pneumoniae ATCC 13887"	""	""	"headspace"	""	""	"Sample collection"	"Kp_NB_14"	"Klebsiella pneumoniae"	"EFO"	""	"Nutrient broth"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N55"	"Klebsiella pneumoniae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/573"	"Klebsiella pneumoniae ATCC 13887"	""	""	"headspace"	""	""	"Sample collection"	"Kp_NB_15"	"Klebsiella pneumoniae"	"EFO"	""	"Nutrient broth"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N56"	"Klebsiella pneumoniae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/573"	"Klebsiella pneumoniae ATCC 13887"	""	""	"headspace"	""	""	"Sample collection"	"Kp_NB_16"	"Klebsiella pneumoniae"	"EFO"	""	"Nutrient broth"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N57"	"Klebsiella pneumoniae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/573"	"Klebsiella pneumoniae ATCC 13887"	""	""	"headspace"	""	""	"Sample collection"	"Kp_NB_17"	"Klebsiella pneumoniae"	"EFO"	""	"Nutrient broth"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N58"	"Klebsiella pneumoniae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/573"	"Klebsiella pneumoniae ATCC 13887"	""	""	"headspace"	""	""	"Sample collection"	"Kp_NB_18"	"Klebsiella pneumoniae"	"EFO"	""	"Nutrient broth"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N67"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_ASM_1"	"Pseudomonas aeruginosa"	"EFO"	""	"Artificial sputum medium"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N68"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_ASM_2"	"Pseudomonas aeruginosa"	"EFO"	""	"Artificial sputum medium"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N69"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_ASM_3"	"Pseudomonas aeruginosa"	"EFO"	""	"Artificial sputum medium"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N70"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_ASM_4"	"Pseudomonas aeruginosa"	"EFO"	""	"Artificial sputum medium"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N71"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_ASM_5"	"Pseudomonas aeruginosa"	"EFO"	""	"Artificial sputum medium"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N72"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_ASM_6"	"Pseudomonas aeruginosa"	"EFO"	""	"Artificial sputum medium"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N73"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_ASM_7"	"Pseudomonas aeruginosa"	"EFO"	""	"Artificial sputum medium"	""	""	"7"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N74"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_ASM_8"	"Pseudomonas aeruginosa"	"EFO"	""	"Artificial sputum medium"	""	""	"7"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N75"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_ASM_9"	"Pseudomonas aeruginosa"	"EFO"	""	"Artificial sputum medium"	""	""	"7"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N76"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_ASM_10"	"Pseudomonas aeruginosa"	"EFO"	""	"Artificial sputum medium"	""	""	"7"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N77"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_ASM_11"	"Pseudomonas aeruginosa"	"EFO"	""	"Artificial sputum medium"	""	""	"7"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N78"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_ASM_12"	"Pseudomonas aeruginosa"	"EFO"	""	"Artificial sputum medium"	""	""	"7"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N79"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_ASM_13"	"Pseudomonas aeruginosa"	"EFO"	""	"Artificial sputum medium"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N80"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_ASM_14"	"Pseudomonas aeruginosa"	"EFO"	""	"Artificial sputum medium"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N81"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_ASM_15"	"Pseudomonas aeruginosa"	"EFO"	""	"Artificial sputum medium"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N82"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_ASM_16"	"Pseudomonas aeruginosa"	"EFO"	""	"Artificial sputum medium"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N83"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_ASM_17"	"Pseudomonas aeruginosa"	"EFO"	""	"Artificial sputum medium"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
