"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[tracer]"	"Term Source REF"	"Term Accession Number"
"Pellet_4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C1_2D_hsq_repl3"	"[1,2]-13C glucose "	""	""
"Pellet_4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C1_2D_hsq_repl4"	"[1,2]-13C glucose "	""	""
"Pellet_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C2_1D_c12"	"[1,2]-13C glucose "	""	""
"Pellet_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C2_1D_c12c13"	"[1,2]-13C glucose "	""	""
"Pellet_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C2_1D_noesy_repl1"	"[1,2]-13C glucose "	""	""
"Pellet_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C2_1D_noesy_repl2"	"[1,2]-13C glucose "	""	""
"Pellet_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C2_2D_hsq_repl1"	"[1,2]-13C glucose "	""	""
"Pellet_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C2_2D_hsq_repl2"	"[1,2]-13C glucose "	""	""
"Pellet_6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C3_1D_c12"	"[1,2]-13C glucose "	""	""
"Pellet_6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C3_1D_c12c13"	"[1,2]-13C glucose "	""	""
"Pellet_6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C3_1D_noesy_repl1"	"[1,2]-13C glucose "	""	""
"Pellet_6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C3_1D_noesy_repl2"	"[1,2]-13C glucose "	""	""
"Pellet_6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C3_2D_hsq_repl1"	"[1,2]-13C glucose "	""	""
"Pellet_6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"C3_2D_hsq_repl2"	"[1,2]-13C glucose "	""	""
"commercial glucose_mix"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"glucose_mix_ 2D_hsq"	""	""	""
"commercial glucose_mix"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"glucose_mix_1D_c12"	""	""	""
"commercial glucose_mix"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"glucose_mix_1D_c12c13"	""	""	""
