"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[compound]"	"Term Source REF"	"Term Accession Number"	"Factor Value[dose]"	"Term Source REF"	"Term Accession Number"	"Factor Value[time post exposure]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"J03_1"	"Negative Control"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64357"	"no dose"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"J24A1-2_1"	"Negative Control"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64357"	"no dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"J24A2_1"	"Negative Control"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64357"	"no dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"J24B1_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"J24B2_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"J24B3_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"J24C1_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"J24C2_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"J24C3_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"J48A1_1"	"Negative Control"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64357"	"no dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"J48A2_1"	"Negative Control"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64357"	"no dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"J48B1_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"J48B2_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"J48B3_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"J48C1_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"J48C2_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"J48C3_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"J72A1_1"	"Negative Control"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64357"	"medium dose"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"J72A2_1"	"Negative Control"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64357"	"medium dose"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"J72B1_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"J72B2_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"J72B3_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"J72C1_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"J72C2_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"J72C3_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Non cancerous Lymphoblast"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lymphoblast"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000772"	"Sample collection"	"L24A1_1"	"Negative Control"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64357"	"no dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Non cancerous Lymphoblast"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lymphoblast"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000772"	"Sample collection"	"L24A2_1"	"Negative Control"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64357"	"no dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Non cancerous Lymphoblast"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lymphoblast"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000772"	"Sample collection"	"L24A3_1"	"Negative Control"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64357"	"no dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Non cancerous Lymphoblast"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lymphoblast"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000772"	"Sample collection"	"L48A1_1"	"Negative Control"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64357"	"no dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Non cancerous Lymphoblast"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lymphoblast"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000772"	"Sample collection"	"L48A2_1"	"Negative Control"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64357"	"no dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Non cancerous Lymphoblast"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lymphoblast"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000772"	"Sample collection"	"L48A3_1"	"Negative Control"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64357"	"no dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Non cancerous Lymphoblast"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lymphoblast"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000772"	"Sample collection"	"L72A1_1"	"Negative Control"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64357"	"no dose"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Non cancerous Lymphoblast"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lymphoblast"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000772"	"Sample collection"	"L72A2_1"	"Negative Control"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64357"	"no dose"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Non cancerous Lymphoblast"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lymphoblast"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000772"	"Sample collection"	"L72A3_1"	"Negative Control"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64357"	"no dose"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Non cancerous Lymphoblast"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lymphoblast"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000772"	"Sample collection"	"L24B1_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Non cancerous Lymphoblast"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lymphoblast"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000772"	"Sample collection"	"L24B2_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Non cancerous Lymphoblast"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lymphoblast"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000772"	"Sample collection"	"L24B3_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Non cancerous Lymphoblast"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lymphoblast"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000772"	"Sample collection"	"L24C1_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Non cancerous Lymphoblast"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lymphoblast"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000772"	"Sample collection"	"L24C2_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Non cancerous Lymphoblast"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lymphoblast"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000772"	"Sample collection"	"l24C3_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Non cancerous Lymphoblast"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lymphoblast"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000772"	"Sample collection"	"L48B1_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Non cancerous Lymphoblast"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lymphoblast"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000772"	"Sample collection"	"L48B2_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Non cancerous Lymphoblast"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lymphoblast"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000772"	"Sample collection"	"L48B3_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Non cancerous Lymphoblast"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lymphoblast"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000772"	"Sample collection"	"L48C1_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Non cancerous Lymphoblast"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lymphoblast"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000772"	"Sample collection"	"L48C2_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Non cancerous Lymphoblast"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lymphoblast"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000772"	"Sample collection"	"L48C3_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Non cancerous Lymphoblast"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lymphoblast"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000772"	"Sample collection"	"L72B1_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Non cancerous Lymphoblast"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lymphoblast"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000772"	"Sample collection"	"L72B2_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Non cancerous Lymphoblast"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lymphoblast"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000772"	"Sample collection"	"L72B3_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Non cancerous Lymphoblast"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lymphoblast"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000772"	"Sample collection"	"L72C1_1"	"menaquinone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16374"	"medium dose"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
