Source Name	Comment[ENA_SAMPLE]	Characteristics[organism]	Characteristics[cell type]	Characteristics[phenotype]	Characteristics[batch]	Characteristics[single cell well quality]	Material Type	Description	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Comment[spike sequence file]	Comment[spike_in_concentration.txt]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[phenotype]	Factor value [individual]
cell10S10	ERS756064	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S10	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S10	sequencing assay	ERX1000507	cell10S10.fastq.gz	cell10S10.fastq.gz	ERR920973	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920973/ERR920973_1.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S10
cell10S10	ERS756064	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S10	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S10	sequencing assay	ERX1000507	cell10S10.fastq.gz	cell10S10.fastq.gz	ERR920973	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920973/ERR920973_2.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S10
cell10S11	ERS756065	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S11	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S11	sequencing assay	ERX1000508	cell10S11.fastq.gz	cell10S11.fastq.gz	ERR920974	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920974/ERR920974_1.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S11
cell10S11	ERS756065	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S11	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S11	sequencing assay	ERX1000508	cell10S11.fastq.gz	cell10S11.fastq.gz	ERR920974	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920974/ERR920974_2.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S11
cell10S12	ERS756066	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S12	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S12	sequencing assay	ERX1000509	cell10S12.fastq.gz	cell10S12.fastq.gz	ERR920975	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920975/ERR920975_1.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S12
cell10S12	ERS756066	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S12	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S12	sequencing assay	ERX1000509	cell10S12.fastq.gz	cell10S12.fastq.gz	ERR920975	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920975/ERR920975_2.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S12
cell10S13	ERS756067	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S13	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S13	sequencing assay	ERX1000510	cell10S13.fastq.gz	cell10S13.fastq.gz	ERR920976	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920976/ERR920976_1.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S13
cell10S13	ERS756067	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S13	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S13	sequencing assay	ERX1000510	cell10S13.fastq.gz	cell10S13.fastq.gz	ERR920976	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920976/ERR920976_2.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S13
cell10S14	ERS756068	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S14	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S14	sequencing assay	ERX1000511	cell10S14.fastq.gz	cell10S14.fastq.gz	ERR920977	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920977/ERR920977_1.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S14
cell10S14	ERS756068	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S14	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S14	sequencing assay	ERX1000511	cell10S14.fastq.gz	cell10S14.fastq.gz	ERR920977	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920977/ERR920977_2.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S14
cell10S15	ERS756069	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S15	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S15	sequencing assay	ERX1000512	cell10S15.fastq.gz	cell10S15.fastq.gz	ERR920978	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920978/ERR920978_1.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S15
cell10S15	ERS756069	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S15	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S15	sequencing assay	ERX1000512	cell10S15.fastq.gz	cell10S15.fastq.gz	ERR920978	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920978/ERR920978_2.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S15
cell10S16	ERS756070	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S16	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S16	sequencing assay	ERX1000513	cell10S16.fastq.gz	cell10S16.fastq.gz	ERR920979	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920979/ERR920979_1.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S16
cell10S16	ERS756070	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S16	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S16	sequencing assay	ERX1000513	cell10S16.fastq.gz	cell10S16.fastq.gz	ERR920979	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920979/ERR920979_2.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S16
cell10S17	ERS756071	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S17	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S17	sequencing assay	ERX1000514	cell10S17.fastq.gz	cell10S17.fastq.gz	ERR920980	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920980/ERR920980_1.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S17
cell10S17	ERS756071	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S17	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S17	sequencing assay	ERX1000514	cell10S17.fastq.gz	cell10S17.fastq.gz	ERR920980	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920980/ERR920980_2.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S17
cell10S18	ERS756072	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S18	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S18	sequencing assay	ERX1000515	cell10S18.fastq.gz	cell10S18.fastq.gz	ERR920981	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920981/ERR920981_1.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S18
cell10S18	ERS756072	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S18	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S18	sequencing assay	ERX1000515	cell10S18.fastq.gz	cell10S18.fastq.gz	ERR920981	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920981/ERR920981_2.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S18
cell10S19	ERS756073	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S19	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S19	sequencing assay	ERX1000516	cell10S19.fastq.gz	cell10S19.fastq.gz	ERR920982	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920982/ERR920982_1.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S19
