"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Extraction replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Injection replicate]"	"Term Source REF"	"Term Accession Number"
"WTA08-21_1-E,3_01_28969"	"Extraction"	""	""	"WTA08-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA08-21_1-E,3_01_28969"	"WTA08-21_1-E,3_01_28969.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"1"	""	""
"WTA08-22_1-E,3_01_29034"	"Extraction"	""	""	"WTA08-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA08-22_1-E,3_01_29034"	"WTA08-22_1-E,3_01_29034.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"2"	""	""
"WTA11-11_1-C,7_01_28955"	"Extraction"	""	""	"WTA11-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA11-11_1-C,7_01_28955"	"WTA11-11_1-C,7_01_28955.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"1"	""	""
"WTA11-12_1-C,7_01_29020"	"Extraction"	""	""	"WTA11-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA11-12_1-C,7_01_29020"	"WTA11-12_1-C,7_01_29020.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"2"	""	""
"WTA11-21_2-A,2_01_28986"	"Extraction"	""	""	"WTA11-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA11-21_2-A,2_01_28986"	"WTA11-21_2-A,2_01_28986.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"1"	""	""
"WTA11-22_2-A,2_01_29051"	"Extraction"	""	""	"WTA11-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA11-22_2-A,2_01_29051"	"WTA11-22_2-A,2_01_29051.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"2"	""	""
"WTA13-11_1-D,5_01_28961"	"Extraction"	""	""	"WTA13-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA13-11_1-D,5_01_28961"	"WTA13-11_1-D,5_01_28961.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"1"	""	""
"WTA13-12_1-D,5_01_29026"	"Extraction"	""	""	"WTA13-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA13-12_1-D,5_01_29026"	"WTA13-12_1-D,5_01_29026.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"2"	""	""
"WTA13-21_2-A,8_01_28992"	"Extraction"	""	""	"WTA13-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA13-21_2-A,8_01_28992"	"WTA13-21_2-A,8_01_28992.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"1"	""	""
"WTA13-22_2-A,8_01_29057"	"Extraction"	""	""	"WTA13-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA13-22_2-A,8_01_29057"	"WTA13-22_2-A,8_01_29057.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"2"	""	""
"WTA15-11_1-C,4_01_28952"	"Extraction"	""	""	"WTA15-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA15-11_1-C,4_01_28952"	"WTA15-11_1-C,4_01_28952.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"1"	""	""
"WTA15-12_1-C,4_01_29017"	"Extraction"	""	""	"WTA15-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA15-12_1-C,4_01_29017"	"WTA15-12_1-C,4_01_29017.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"2"	""	""
"WTA15-21_1-F,7_01_28983"	"Extraction"	""	""	"WTA15-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA15-21_1-F,7_01_28983"	"WTA15-21_1-F,7_01_28983.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"1"	""	""
"WTA15-22_1-F,7_01_29048"	"Extraction"	""	""	"WTA15-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA15-22_1-F,7_01_29048"	"WTA15-22_1-F,7_01_29048.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"2"	""	""
"WTA19-11_1-D,4_01_28960"	"Extraction"	""	""	"WTA19-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA19-11_1-D,4_01_28960"	"WTA19-11_1-D,4_01_28960.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"1"	""	""
"WTA19-12_1-D,4_01_29025"	"Extraction"	""	""	"WTA19-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA19-12_1-D,4_01_29025"	"WTA19-12_1-D,4_01_29025.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"2"	""	""
"WTA19-21_2-A,7_01_28991"	"Extraction"	""	""	"WTA19-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA19-21_2-A,7_01_28991"	"WTA19-21_2-A,7_01_28991.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"1"	""	""
"WTA19-22_2-A,7_01_29056"	"Extraction"	""	""	"WTA19-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA19-22_2-A,7_01_29056"	"WTA19-22_2-A,7_01_29056.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"2"	""	""
"WTA29-11_1-D,3_01_28959"	"Extraction"	""	""	"WTA29-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA29-11_1-D,3_01_28959"	"WTA29-11_1-D,3_01_28959.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"1"	""	""
"WTA29-12_1-D,3_01_29024"	"Extraction"	""	""	"WTA29-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA29-12_1-D,3_01_29024"	"WTA29-12_1-D,3_01_29024.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"2"	""	""
"WTA29-21_2-A,6_01_28990"	"Extraction"	""	""	"WTA29-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA29-21_2-A,6_01_28990"	"WTA29-21_2-A,6_01_28990.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"1"	""	""
"WTA29-22_2-A,6_01_29055"	"Extraction"	""	""	"WTA29-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA29-22_2-A,6_01_29055"	"WTA29-22_2-A,6_01_29055.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"2"	""	""
"WTA33-11_1-C,5_01_28953"	"Extraction"	""	""	"WTA33-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA33-11_1-C,5_01_28953"	"WTA33-11_1-C,5_01_28953.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"1"	""	""
"WTA33-12_1-C,5_01_29018"	"Extraction"	""	""	"WTA33-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA33-12_1-C,5_01_29018"	"WTA33-12_1-C,5_01_29018.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"2"	""	""
"WTA33-21_1-F,8_01_28984"	"Extraction"	""	""	"WTA33-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA33-21_1-F,8_01_28984"	"WTA33-21_1-F,8_01_28984.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"1"	""	""
"WTA33-22_1-F,8_01_29049"	"Extraction"	""	""	"WTA33-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA33-22_1-F,8_01_29049"	"WTA33-22_1-F,8_01_29049.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"2"	""	""
"WTA38-11S_1-B,6_01_27735"	"Extraction"	""	""	"WTA38-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA38-11S_1-B,6_01_27735"	"WTA38-11S_1-B,6_01_27735.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"1"	""	""
