Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[cell]	Term Source REF	Term Accession Number	Characteristics[cell provider]	Characteristics[cellular component]	Term Source REF	Term Accession Number	Characteristics[life cycle stage]	Characteristics[genotype]	Characteristics[passage number]	Protocol REF	Parameter Value[cell culture vessel]	Parameter Value[cell culture configuration]	Parameter Value[cell culture matrix]	Term Source REF	Term Accession Number	Parameter Value[seeding density]	Parameter Value[cell culture medium]	Parameter Value[cell culture serum]	Parameter Value[cell culture serum concentration]	Unit	Term Source REF	Term Accession Number	Parameter Value[cell culture antibiotics]	Parameter Value[cell culture temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[cell culture CO2 partial pressure]	Parameter Value[cell confluence level]	Unit	Term Source REF	Term Accession Number	Parameter Value[plate identifier]	Parameter Value[plate well number]	Parameter Value[plate well column coordinate]	Parameter Value[plate well row coordinate]	Protocol REF	Parameter Value[perturbation order]	Parameter Value[perturbation agent type]	Parameter Value[perturbation agent]	Term Source REF	Term Accession Number	Parameter Value[perturbation agent delivery]	Parameter Value[perturbation agent solvent]	Term Source REF	Term Accession Number	Parameter Value[perturbation agent solvent concentration]	Unit	Term Source REF	Term Accession Number	Parameter Value[perturbation dose]	Parameter Value[perturbation duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[targeted gene identifier]	Parameter Value[gene construct tag]	Parameter Value[mode of expression]	Sample Name	Factor Value[perturbation agent]	Term Source REF	Term Accession Number	Factor Value[perturbation dose]	Unit	Term Source REF	Term Accession Number	Factor Value[perturbation time post exposure]	Unit	Term Source REF	Term Accession Number
CL1	Homo sapiens			MDA-MB-231	CLO	http://purl.obolibrary.org/obo/CLO_0007634					N/A		1	cell growth	coated microplate	confluent layer	2_mg/ml collagen			45000 cells/well	DMEM GlutaMAX	fetal bovine serum heat inactivated	10	%	UO	 http://purl.obolibrary.org/obo/UO_0000175												11	3	F	perturbation	1	chemical compound	EGF	PR	http://purl.obolibrary.org/obo/PR_000006928	addition to medium	N/A			5	nanomolar	UO	http://purl.obolibrary.org/obo/UO_0000065									culture11	EGF	PR	http://purl.obolibrary.org/obo/PR_000006928	5	nanomolar	UO	http://purl.obolibrary.org/obo/UO_0000065	0		UO	 http://purl.obolibrary.org/obo/UO_0000032
CL1	Homo sapiens			MDA-MB-231	CLO	http://purl.obolibrary.org/obo/CLO_0007634					N/A		1	cell growth	coated microplate	confluent layer	2_mg/ml collagen			45000 cells/well	DMEM GlutaMAX	fetal bovine serum heat inactivated	10	%	UO	 http://purl.obolibrary.org/obo/UO_0000176												12	3	G	perturbation	1	chemical compound	EGF	PR	http://purl.obolibrary.org/obo/PR_000006928	addition to medium	N/A			5	nanomolar	UO	http://purl.obolibrary.org/obo/UO_0000065									culture12	EGF	PR	http://purl.obolibrary.org/obo/PR_000006928	5	nanomolar	UO	http://purl.obolibrary.org/obo/UO_0000065	0		UO	 http://purl.obolibrary.org/obo/UO_0000032
CL1	Homo sapiens			MDA-MB-231	CLO	http://purl.obolibrary.org/obo/CLO_0007634					N/A		1	cell growth	coated microplate	confluent layer	2_mg/ml collagen			45000 cells/well	DMEM GlutaMAX	fetal bovine serum heat inactivated	10	%	UO	 http://purl.obolibrary.org/obo/UO_0000177												13	4	B	perturbation	1	chemical compound	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	addition to medium	N/A			1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064									culture13	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0		UO	 http://purl.obolibrary.org/obo/UO_0000032
CL1	Homo sapiens			MDA-MB-231	CLO	http://purl.obolibrary.org/obo/CLO_0007634					N/A		1	cell growth	coated microplate	confluent layer	2_mg/ml collagen			45000 cells/well	DMEM GlutaMAX	fetal bovine serum heat inactivated	10	%	UO	 http://purl.obolibrary.org/obo/UO_0000178												14	4	C	perturbation	1	chemical compound	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	addition to medium	N/A			1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064									culture14	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0		UO	 http://purl.obolibrary.org/obo/UO_0000032
CL1	Homo sapiens			MDA-MB-231	CLO	http://purl.obolibrary.org/obo/CLO_0007634					N/A		1	cell growth	coated microplate	confluent layer	2_mg/ml collagen			45000 cells/well	DMEM GlutaMAX	fetal bovine serum heat inactivated	10	%	UO	 http://purl.obolibrary.org/obo/UO_0000179												15	4	D	perturbation	1	chemical compound	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	addition to medium	N/A			1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064									culture15	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0		UO	 http://purl.obolibrary.org/obo/UO_0000033
CL1	Homo sapiens			MDA-MB-231	CLO	http://purl.obolibrary.org/obo/CLO_0007634					N/A		1	cell growth	coated microplate	confluent layer	2_mg/ml collagen			45000 cells/well	DMEM GlutaMAX	fetal bovine serum heat inactivated	10	%	UO	 http://purl.obolibrary.org/obo/UO_0000180												16	4	E	perturbation	1	chemical compound	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	addition to medium	N/A			1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064									culture16	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0		UO	 http://purl.obolibrary.org/obo/UO_0000032
CL1	Homo sapiens			MDA-MB-231	CLO	http://purl.obolibrary.org/obo/CLO_0007634					N/A		1	cell growth	coated microplate	confluent layer	2_mg/ml collagen			45000 cells/well	DMEM GlutaMAX	fetal bovine serum heat inactivated	10	%	UO	 http://purl.obolibrary.org/obo/UO_0000181												17	4	F	perturbation	1	chemical compound	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	addition to medium	N/A			1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064									culture17	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0		UO	 http://purl.obolibrary.org/obo/UO_0000032
CL1	Homo sapiens			MDA-MB-231	CLO	http://purl.obolibrary.org/obo/CLO_0007634					N/A		1	cell growth	coated microplate	confluent layer	2_mg/ml collagen			45000 cells/well	DMEM GlutaMAX	fetal bovine serum heat inactivated	10	%	UO	 http://purl.obolibrary.org/obo/UO_0000182												18	4	G	perturbation	1	chemical compound	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	addition to medium	N/A			1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064									culture18	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0		UO	 http://purl.obolibrary.org/obo/UO_0000032
CL1	Homo sapiens			MDA-MB-231	CLO	http://purl.obolibrary.org/obo/CLO_0007634					N/A		1	cell growth	coated microplate	confluent layer	2_mg/ml collagen			45000 cells/well	DMEM GlutaMAX	fetal bovine serum heat inactivated	10	%	UO	 http://purl.obolibrary.org/obo/UO_0000183												19	5	B	perturbation	1	chemical compound	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	addition to medium	N/A			5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064									culture19	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0		UO	 http://purl.obolibrary.org/obo/UO_0000032
CL1	Homo sapiens			MDA-MB-231	CLO	http://purl.obolibrary.org/obo/CLO_0007634					N/A		1	cell growth	coated microplate	confluent layer	2_mg/ml collagen			45000 cells/well	DMEM GlutaMAX	fetal bovine serum heat inactivated	10	%	UO	 http://purl.obolibrary.org/obo/UO_0000184												20	5	C	perturbation	1	chemical compound	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	addition to medium	N/A			5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064									culture20	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0		UO	 http://purl.obolibrary.org/obo/UO_0000032
CL1	Homo sapiens			MDA-MB-231	CLO	http://purl.obolibrary.org/obo/CLO_0007634					N/A		1	cell growth	coated microplate	confluent layer	2_mg/ml collagen			45000 cells/well	DMEM GlutaMAX	fetal bovine serum heat inactivated	10	%	UO	 http://purl.obolibrary.org/obo/UO_0000185												21	5	D	perturbation	1	chemical compound	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	addition to medium	N/A			5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064									culture21	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0		UO	 http://purl.obolibrary.org/obo/UO_0000032
CL1	Homo sapiens			MDA-MB-231	CLO	http://purl.obolibrary.org/obo/CLO_0007634					N/A		1	cell growth	coated microplate	confluent layer	2_mg/ml collagen			45000 cells/well	DMEM GlutaMAX	fetal bovine serum heat inactivated	10	%	UO	 http://purl.obolibrary.org/obo/UO_0000186												22	5	E	perturbation	1	chemical compound	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	addition to medium	N/A			5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064									culture22	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0		UO	 http://purl.obolibrary.org/obo/UO_0000032
CL1	Homo sapiens			MDA-MB-231	CLO	http://purl.obolibrary.org/obo/CLO_0007634					N/A		1	cell growth	coated microplate	confluent layer	2_mg/ml collagen			45000 cells/well	DMEM GlutaMAX	fetal bovine serum heat inactivated	10	%	UO	 http://purl.obolibrary.org/obo/UO_0000187												23	5	F	perturbation	1	chemical compound	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	addition to medium	N/A			5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064									culture23	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0		UO	 http://purl.obolibrary.org/obo/UO_0000032
CL1	Homo sapiens			MDA-MB-231	CLO	http://purl.obolibrary.org/obo/CLO_0007634					N/A		1	cell growth	coated microplate	confluent layer	2_mg/ml collagen			45000 cells/well	DMEM GlutaMAX	fetal bovine serum heat inactivated	10	%	UO	 http://purl.obolibrary.org/obo/UO_0000188												24	5	G	perturbation	1	chemical compound	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	addition to medium	N/A			5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064									culture24	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0		UO	 http://purl.obolibrary.org/obo/UO_0000032
CL1	Homo sapiens			MDA-MB-231	CLO	http://purl.obolibrary.org/obo/CLO_0007634					N/A		1	cell growth	coated microplate	confluent layer	2_mg/ml collagen			45000 cells/well	DMEM GlutaMAX	fetal bovine serum heat inactivated	10	%	UO	 http://purl.obolibrary.org/obo/UO_0000189												25	6	B	perturbation	1	chemical compound	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	addition to medium	N/A			1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064									culture25	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0		UO	 http://purl.obolibrary.org/obo/UO_0000032
CL1	Homo sapiens			MDA-MB-231	CLO	http://purl.obolibrary.org/obo/CLO_0007634					N/A		1	cell growth	coated microplate	confluent layer	2_mg/ml collagen			45000 cells/well	DMEM GlutaMAX	fetal bovine serum heat inactivated	10	%	UO	 http://purl.obolibrary.org/obo/UO_0000190												26	6	C	perturbation	1	chemical compound	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	addition to medium	N/A			1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064									culture26	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0		UO	 http://purl.obolibrary.org/obo/UO_0000033
CL1	Homo sapiens			MDA-MB-231	CLO	http://purl.obolibrary.org/obo/CLO_0007634					N/A		1	cell growth	coated microplate	confluent layer	2_mg/ml collagen			45000 cells/well	DMEM GlutaMAX	fetal bovine serum heat inactivated	10	%	UO	 http://purl.obolibrary.org/obo/UO_0000191												27	6	D	perturbation	1	chemical compound	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	addition to medium	N/A			1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064									culture27	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0		UO	 http://purl.obolibrary.org/obo/UO_0000032
CL1	Homo sapiens			MDA-MB-231	CLO	http://purl.obolibrary.org/obo/CLO_0007634					N/A		1	cell growth	coated microplate	confluent layer	2_mg/ml collagen			45000 cells/well	DMEM GlutaMAX	fetal bovine serum heat inactivated	10	%	UO	 http://purl.obolibrary.org/obo/UO_0000192												28	6	E	perturbation	1	chemical compound	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	addition to medium	N/A			1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064									culture28	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0		UO	 http://purl.obolibrary.org/obo/UO_0000032
CL1	Homo sapiens			MDA-MB-231	CLO	http://purl.obolibrary.org/obo/CLO_0007634					N/A		1	cell growth	coated microplate	confluent layer	2_mg/ml collagen			45000 cells/well	DMEM GlutaMAX	fetal bovine serum heat inactivated	10	%	UO	 http://purl.obolibrary.org/obo/UO_0000193												29	6	F	perturbation	1	chemical compound	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	addition to medium	N/A			1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064									culture29	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0		UO	 http://purl.obolibrary.org/obo/UO_0000032
CL1	Homo sapiens			MDA-MB-231	CLO	http://purl.obolibrary.org/obo/CLO_0007634					N/A		1	cell growth	coated microplate	confluent layer	2_mg/ml collagen			45000 cells/well	DMEM GlutaMAX	fetal bovine serum heat inactivated	10	%	UO	 http://purl.obolibrary.org/obo/UO_0000194												30	6	G	perturbation	1	chemical compound	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	addition to medium	N/A			1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064									culture30	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0		UO	 http://purl.obolibrary.org/obo/UO_0000032
CL1	Homo sapiens			MDA-MB-231	CLO	http://purl.obolibrary.org/obo/CLO_0007634					N/A		1	cell growth	coated microplate	confluent layer	2_mg/ml collagen			45000 cells/well	DMEM GlutaMAX	fetal bovine serum heat inactivated	10	%	UO	 http://purl.obolibrary.org/obo/UO_0000195												31	7	B	perturbation	1	chemical compound	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	addition to medium	N/A			5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064									culture31	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0		UO	 http://purl.obolibrary.org/obo/UO_0000032
CL1	Homo sapiens			MDA-MB-231	CLO	http://purl.obolibrary.org/obo/CLO_0007634					N/A		1	cell growth	coated microplate	confluent layer	2_mg/ml collagen			45000 cells/well	DMEM GlutaMAX	fetal bovine serum heat inactivated	10	%	UO	 http://purl.obolibrary.org/obo/UO_0000196												32	7	C	perturbation	1	chemical compound	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	addition to medium	N/A			5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064									culture32	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0		UO	 http://purl.obolibrary.org/obo/UO_0000032
CL1	Homo sapiens			MDA-MB-231	CLO	http://purl.obolibrary.org/obo/CLO_0007634					N/A		1	cell growth	coated microplate	confluent layer	2_mg/ml collagen			45000 cells/well	DMEM GlutaMAX	fetal bovine serum heat inactivated	10	%	UO	 http://purl.obolibrary.org/obo/UO_0000197												33	7	D	perturbation	1	chemical compound	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	addition to medium	N/A			5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064									culture33	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0		UO	 http://purl.obolibrary.org/obo/UO_0000032
CL1	Homo sapiens			MDA-MB-231	CLO	http://purl.obolibrary.org/obo/CLO_0007634					N/A		1	cell growth	coated microplate	confluent layer	2_mg/ml collagen			45000 cells/well	DMEM GlutaMAX	fetal bovine serum heat inactivated	10	%	UO	 http://purl.obolibrary.org/obo/UO_0000198												34	7	E	perturbation	1	chemical compound	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	addition to medium	N/A			5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064									culture34	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0		UO	 http://purl.obolibrary.org/obo/UO_0000032
CL1	Homo sapiens			MDA-MB-231	CLO	http://purl.obolibrary.org/obo/CLO_0007634					N/A		1	cell growth	coated microplate	confluent layer	2_mg/ml collagen			45000 cells/well	DMEM GlutaMAX	fetal bovine serum heat inactivated	10	%	UO	 http://purl.obolibrary.org/obo/UO_0000199												35	7	F	perturbation	1	chemical compound	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	addition to medium	N/A			5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064									culture35	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0		UO	 http://purl.obolibrary.org/obo/UO_0000032
CL1	Homo sapiens			MDA-MB-231	CLO	http://purl.obolibrary.org/obo/CLO_0007634					N/A		1	cell growth	coated microplate	confluent layer	2_mg/ml collagen			45000 cells/well	DMEM GlutaMAX	fetal bovine serum heat inactivated	10	%	UO	 http://purl.obolibrary.org/obo/UO_0000200												36	7	G	perturbation	1	chemical compound	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	addition to medium	N/A			5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064									culture36	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0		UO	 http://purl.obolibrary.org/obo/UO_0000032
CL1	Homo sapiens			MDA-MB-231	CLO	http://purl.obolibrary.org/obo/CLO_0007634					N/A		1	cell growth	coated microplate	confluent layer	2_mg/ml collagen			45000 cells/well	DMEM GlutaMAX	fetal bovine serum heat inactivated	10	%	UO	 http://purl.obolibrary.org/obo/UO_0000201												37	8	B	perturbation	1	chemical compound	gefitinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49668	addition to medium	N/A			5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064									culture37	gefitinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49668	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0		UO	 http://purl.obolibrary.org/obo/UO_0000033
