Sample Name	Protocol REF	Parameter Value[medium]	Parameter Value[serum]	Parameter Value[serum concentration]	Unit	Term Source REF	Term Accession Number	Parameter Value[medium volume]	Unit	Term Source REF	Term Accession Number	Parameter Value[migration modulator]	Parameter Value[modulator concentration]	Unit	Term Source REF	Term Accession Number	Parameter Value[modulator distribution]	Protocol REF	Parameter Value[imaging technique]	Parameter Value[imaging technique temporal feature]	Parameter Value[acquisition duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[time interval]	Unit	Term Source REF	Term Accession Number	Parameter Value[objective type]	Term Source REF	Term Accession Number	Parameter Value[objective magnification]	Parameter Value[objective numerical aperture]	Parameter Value[acquisition channel count]	Parameter Value[reporter]	Parameter Value[voxel size]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[software]	Term Source REF	Term Accession Number	Data Transformation Name	Derived Data File	Factor Value[perturbation agent]	Term Source REF	Term Accession Number	Factor Value[perturbation dose]	Unit	Term Source REF	Term Accession Number	Factor Value[perturbation time post exposure]	Unit	Term Source REF	Term Accession Number
culture14	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A14	/path/to/A14_raw_images.tiff	data transformation	CELLMIA			DT14	/path/to/DT14_trackfile.json	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture15	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A15	/path/to/A15_raw_images.tiff	data transformation	CELLMIA			DT15	/path/to/DT15_trackfile.json	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture16	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A16	/path/to/A16_raw_images.tiff	data transformation	CELLMIA			DT16	/path/to/DT16_trackfile.json	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture17	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A17	/path/to/A17_raw_images.tiff	data transformation	CELLMIA			DT17	/path/to/DT17_trackfile.json	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture18	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A18	/path/to/A18_raw_images.tiff	data transformation	CELLMIA			DT18	/path/to/DT18_trackfile.json	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture19	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A19	/path/to/A19_raw_images.tiff	data transformation	CELLMIA			DT19	/path/to/DT19_trackfile.json	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture20	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A20	/path/to/A20_raw_images.tiff	data transformation	CELLMIA			DT20	/path/to/DT20_trackfile.json	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture21	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A21	/path/to/A21_raw_images.tiff	data transformation	CELLMIA			DT21	/path/to/DT21_trackfile.json	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture22	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A22	/path/to/A22_raw_images.tiff	data transformation	CELLMIA			DT22	/path/to/DT22_trackfile.json	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture23	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A23	/path/to/A23_raw_images.tiff	data transformation	CELLMIA			DT23	/path/to/DT23_trackfile.json	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture24	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A24	/path/to/A24_raw_images.tiff	data transformation	CELLMIA			DT24	/path/to/DT24_trackfile.json	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture25	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A25	/path/to/A25_raw_images.tiff	data transformation	CELLMIA			DT25	/path/to/DT25_trackfile.json	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture26	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A26	/path/to/A26_raw_images.tiff	data transformation	CELLMIA			DT26	/path/to/DT26_trackfile.json	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture27	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A27	/path/to/A27_raw_images.tiff	data transformation	CELLMIA			DT27	/path/to/DT27_trackfile.json	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture28	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A28	/path/to/A28_raw_images.tiff	data transformation	CELLMIA			DT28	/path/to/DT28_trackfile.json	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture29	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A29	/path/to/A29_raw_images.tiff	data transformation	CELLMIA			DT29	/path/to/DT29_trackfile.json	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture30	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A30	/path/to/A30_raw_images.tiff	data transformation	CELLMIA			DT30	/path/to/DT30_trackfile.json	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture31	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A31	/path/to/A31_raw_images.tiff	data transformation	CELLMIA			DT31	/path/to/DT31_trackfile.json	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture32	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A32	/path/to/A32_raw_images.tiff	data transformation	CELLMIA			DT32	/path/to/DT32_trackfile.json	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture33	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A33	/path/to/A33_raw_images.tiff	data transformation	CELLMIA			DT33	/path/to/DT33_trackfile.json	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture34	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A34	/path/to/A34_raw_images.tiff	data transformation	CELLMIA			DT34	/path/to/DT34_trackfile.json	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture35	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A35	/path/to/A35_raw_images.tiff	data transformation	CELLMIA			DT35	/path/to/DT35_trackfile.json	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture36	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A36	/path/to/A36_raw_images.tiff	data transformation	CELLMIA			DT36	/path/to/DT36_trackfile.json	foretinib	PubChem	https://pubchem.ncbi.nlm.nih.gov/compound/Foretinib	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture37	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A37	/path/to/A37_raw_images.tiff	data transformation	CELLMIA			DT37	/path/to/DT37_trackfile.json	gefitinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49668	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture38	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A38	/path/to/A38_raw_images.tiff	data transformation	CELLMIA			DT38	/path/to/DT38_trackfile.json	gefitinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49668	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture39	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A39	/path/to/A39_raw_images.tiff	data transformation	CELLMIA			DT39	/path/to/DT39_trackfile.json	gefitinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49668	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture40	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A40	/path/to/A40_raw_images.tiff	data transformation	CELLMIA			DT40	/path/to/DT40_trackfile.json	gefitinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49668	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture41	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A41	/path/to/A41_raw_images.tiff	data transformation	CELLMIA			DT41	/path/to/DT41_trackfile.json	gefitinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49668	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture42	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A42	/path/to/A42_raw_images.tiff	data transformation	CELLMIA			DT42	/path/to/DT42_trackfile.json	gefitinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49668	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture43	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A43	/path/to/A43_raw_images.tiff	data transformation	CELLMIA			DT43	/path/to/DT43_trackfile.json	gefitinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49668	10	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture44	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A44	/path/to/A44_raw_images.tiff	data transformation	CELLMIA			DT44	/path/to/DT44_trackfile.json	gefitinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49668	10	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture45	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A45	/path/to/A45_raw_images.tiff	data transformation	CELLMIA			DT45	/path/to/DT45_trackfile.json	gefitinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49668	10	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture46	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A46	/path/to/A46_raw_images.tiff	data transformation	CELLMIA			DT46	/path/to/DT46_trackfile.json	gefitinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49668	10	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture47	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A47	/path/to/A47_raw_images.tiff	data transformation	CELLMIA			DT47	/path/to/DT47_trackfile.json	gefitinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49668	10	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture48	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A48	/path/to/A48_raw_images.tiff	data transformation	CELLMIA			DT48	/path/to/DT48_trackfile.json	gefitinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49668	10	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture49	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A49	/path/to/A49_raw_images.tiff	data transformation	CELLMIA			DT49	/path/to/DT49_trackfile.json	lapatinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49603	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture50	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A50	/path/to/A50_raw_images.tiff	data transformation	CELLMIA			DT50	/path/to/DT50_trackfile.json	lapatinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49603	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture51	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A51	/path/to/A51_raw_images.tiff	data transformation	CELLMIA			DT51	/path/to/DT51_trackfile.json	lapatinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49603	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture52	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A52	/path/to/A52_raw_images.tiff	data transformation	CELLMIA			DT52	/path/to/DT52_trackfile.json	lapatinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49603	5	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
