"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Run order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_011_POS"	"13"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006093_POS"	"14"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006004_POS"	"15"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006034_POS"	"16"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006094_POS"	"17"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006005_POS"	"18"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006035_POS"	"19"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006095_POS"	"20"	""	""	"1"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_012_POS"	"21"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006096_POS"	"22"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006007_POS"	"23"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006037_POS"	"24"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006097_POS"	"25"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006008_POS"	"26"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006038_POS"	"27"	""	""	"1"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_013_POS"	"28"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006098_POS"	"29"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006009_POS"	"30"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006039_POS"	"31"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006099_POS"	"32"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006010_POS"	"33"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006040_POS"	"34"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006100_POS"	"35"	""	""	"1"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_014_POS"	"36"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006011_POS"	"37"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006041_POS"	"38"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006101_POS"	"39"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006012_POS"	"40"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006042_POS"	"41"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006102_POS"	"42"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006013_POS"	"43"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006043_POS"	"44"	""	""	"1"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_015_POS"	"45"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006103_POS"	"46"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006014_POS"	"47"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006104_POS"	"48"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006045_POS"	"49"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006105_POS"	"50"	""	""	"1"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_016_POS"	"51"	""	""	"1"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_017_POS"	"52"	""	""	"1"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_018_POS"	"53"	""	""	"1"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_024_POS"	"54"	""	""	"2"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_025_POS"	"55"	""	""	"2"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_026_POS"	"56"	""	""	"2"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_027_POS"	"57"	""	""	"2"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_028_POS"	"58"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006016"	"59"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006076"	"60"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006106"	"61"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006017"	"62"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006077"	"63"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006107"	"64"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006018"	"65"	""	""	"2"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_030_POS"	"66"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006078"	"67"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006108"	"68"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006049"	"69"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006079"	"70"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006109"	"71"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006020"	"72"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006080"	"73"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006110"	"74"	""	""	"2"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_031_POS"	"75"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006021"	"76"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006051"	"77"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006081"	"78"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006111"	"79"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006082"	"80"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006112"	"81"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006023"	"82"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006053"	"83"	""	""	"2"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_032_POS"	"84"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006083"	"85"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006113"	"86"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006024"	"87"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006054"	"88"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006084"	"89"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006114"	"90"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006025"	"91"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006055"	"92"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006085"	"93"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006115"	"94"	""	""	"2"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_033_POS"	"95"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006026"	"96"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006056"	"97"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006086"	"98"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006116"	"99"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006057"	"100"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006087"	"101"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006117"	"102"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006028"	"103"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006058"	"104"	""	""	"2"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_034_POS"	"105"	""	""	"2"	""	""
