"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Sample Type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Medium]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Infection]"	"Term Source REF"	"Term Accession Number"
"WIZ_LC-MSMS"	"Emiliania huxleyi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/2903"	"Emiliania huxleyi str. CCMP2090"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"2090_V_T424-72_MSMS45_P_J_180407_4"	"E. huxleyi extract"	""	""	"Liquid"	""	""	"infected cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000152"
"WIZ_LC-MSMS"	"Emiliania huxleyi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/2903"	"Emiliania huxleyi str. CCMP2090"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"A67_2090_C_T48_P_MSMS45_P_E_12_12_2017_50"	"E. huxleyi extract"	""	""	"Liquid"	""	""	"Control Uninfected"	""	""
"WIZ_LC-MS"	"Emiliania huxleyi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/2903"	"Emiliania huxleyi str. CCMP2090"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"71-4_P_230817_33"	"ASW Blank"	""	""	"Agarose"	""	""	""	""	""
"WIZ_LC-MS"	"Emiliania huxleyi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/2903"	"Emiliania huxleyi str. CCMP2090"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"71-5_P_230817_43"	"ASW Blank"	""	""	"Agarose"	""	""	""	""	""
"WIZ_LC-MS"	"Emiliania huxleyi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/2903"	"Emiliania huxleyi str. CCMP2090"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"71-6_P_230817_53"	"ASW Blank"	""	""	"Agarose"	""	""	""	""	""
"WIZ_LC-MS"	"Emiliania huxleyi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/2903"	"Emiliania huxleyi str. CCMP2090"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"71-13_P_230817_36"	"E. huxleyi extract"	""	""	"Agarose"	""	""	"Control Uninfected"	""	""
"WIZ_LC-MS"	"Emiliania huxleyi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/2903"	"Emiliania huxleyi str. CCMP2090"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"71-14_P_230817_46"	"E. huxleyi extract"	""	""	"Agarose"	""	""	"Control Uninfected"	""	""
"WIZ_LC-MS"	"Emiliania huxleyi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/2903"	"Emiliania huxleyi str. CCMP2090"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"71-15_P_230817_56"	"E. huxleyi extract"	""	""	"Agarose"	""	""	"Control Uninfected"	""	""
"WIZ_LC-MS"	"Emiliania huxleyi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/2903"	"Emiliania huxleyi str. CCMP2090"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"71-19_P_230817_38"	"E. huxleyi extract"	""	""	"Agarose"	""	""	"plaque assay"	"CRISP"	"http://purl.bioontology.org/ontology/CSP/0415-4488"
"WIZ_LC-MS"	"Emiliania huxleyi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/2903"	"Emiliania huxleyi str. CCMP2090"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"71-20_P_230817_48"	"E. huxleyi extract"	""	""	"Agarose"	""	""	"plaque assay"	"CRISP"	"http://purl.bioontology.org/ontology/CSP/0415-4488"
"WIZ_GC-MS"	"Emiliania huxleyi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/2903"	"Emiliania huxleyi str. CCMP2090"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"FAME_Frac1_1"	"E. huxleyi extract"	""	""	"Liquid"	""	""	"plaque assay"	"CRISP"	"http://purl.bioontology.org/ontology/CSP/0415-4488"
"WIZ_GC-MS"	"Emiliania huxleyi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/2903"	"Emiliania huxleyi str. CCMP2090"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"FAME_Frac2_1"	"E. huxleyi extract"	""	""	"Liquid"	""	""	"plaque assay"	"CRISP"	"http://purl.bioontology.org/ontology/CSP/0415-4488"
"WIZ_GC-MS"	"Emiliania huxleyi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/2903"	"Emiliania huxleyi str. CCMP2090"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"FAME_Frac3_1"	"E. huxleyi extract"	""	""	"Liquid"	""	""	"plaque assay"	"CRISP"	"http://purl.bioontology.org/ontology/CSP/0415-4488"
"WIZ_GC-MS"	"Emiliania huxleyi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/2903"	"Emiliania huxleyi str. CCMP2090"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"FAME_Frac4_1"	"E. huxleyi extract"	""	""	"Liquid"	""	""	"plaque assay"	"CRISP"	"http://purl.bioontology.org/ontology/CSP/0415-4488"
"WIZ_GC-MS"	"Emiliania huxleyi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/2903"	"Emiliania huxleyi str. CCMP2090"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"FAME_C15_10ug_1"	"Chemical Standard"	""	""	""	""	""	""	""	""
"WIZ_GC-MS"	"Emiliania huxleyi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/2903"	"Emiliania huxleyi str. CCMP2090"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"FAME_MeC14_10ug_1"	"Chemical Standard"	""	""	""	""	""	""	""	""
