"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[control]"	"Term Source REF"	"Term Accession Number"	"Factor Value[time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[carbon source]"	"Term Source REF"	"Term Accession Number"
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_11_int"	"with Ruegeria"	""	""	"38"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_12_int"	"with Ruegeria"	""	""	"38"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_13_int"	"with Ruegeria"	""	""	"43"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_14_int"	"with Ruegeria"	""	""	"43"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_15_int"	"cell-free control"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_16_int"	"with Ruegeria"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_17_int"	"with Ruegeria"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_18_int"	"cell-free control"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_19_int"	"with Ruegeria"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_20_int"	"with Ruegeria"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_21_int"	"with Ruegeria"	""	""	"60"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_22_int"	"with Ruegeria"	""	""	"60"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_23_int"	"with Ruegeria"	""	""	"60"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_24_int"	"with Ruegeria"	""	""	"60"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_25_int"	"cell-free control"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_26_int"	"with Ruegeria"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_27_int"	"with Ruegeria"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_28_int"	"cell-free control"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_29_int"	"with Ruegeria"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_30_int"	"with Ruegeria"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_1_ext"	"cell-free control"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_2_ext"	"with Ruegeria"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_3_ext"	"with Ruegeria"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_4_ext"	"cell-free control"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_5_ext"	"with Ruegeria"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_6_ext"	"with Ruegeria"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_7_ext"	"with Ruegeria"	""	""	"32"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_8_ext"	"with Ruegeria"	""	""	"32"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_9_ext"	"with Ruegeria"	""	""	"32"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_10_ext"	"with Ruegeria"	""	""	"32"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_11_ext"	"with Ruegeria"	""	""	"38"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_12_ext"	"with Ruegeria"	""	""	"38"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_13_ext"	"with Ruegeria"	""	""	"43"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_14_ext"	"with Ruegeria"	""	""	"43"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_15_ext"	"cell-free control"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_16_ext"	"with Ruegeria"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_17_ext"	"with Ruegeria"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_18_ext"	"cell-free control"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_19_ext"	"with Ruegeria"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_20_ext"	"with Ruegeria"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_21_ext"	"with Ruegeria"	""	""	"60"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_22_ext"	"with Ruegeria"	""	""	"60"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_23_ext"	"with Ruegeria"	""	""	"60"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_24_ext"	"with Ruegeria"	""	""	"60"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_25_ext"	"cell-free control"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_26_ext"	"with Ruegeria"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_27_ext"	"with Ruegeria"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_28_ext"	"cell-free control"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_29_ext"	"with Ruegeria"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"exometabolome"	""	""	"Sample collection"	"Rpom3_30_ext"	"with Ruegeria"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
