"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Stress]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Gene knockout]"	"Term Source REF"	"Term Accession Number"
"B114"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"14"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Gas toluene and liquid "	""	""	"wild type genotype"	""	""
"B115"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"15"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Toluene liquid"	""	""	"mutant strain"	""	""
"B116"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"16"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Gas toluene"	""	""	"wild type genotype"	""	""
"B117"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"17"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Gas toluene and liquid "	""	""	"wild type genotype"	""	""
"B118"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"18"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Gas toluene and liquid "	""	""	"mutant strain"	""	""
"B119"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"19"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Gas toluene and liquid "	""	""	"mutant strain"	""	""
"B120"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"20"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Gas toluene"	""	""	"mutant strain"	""	""
"B121"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"21"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Control"	""	""	"mutant strain"	""	""
"B122"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"22"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Gas toluene and liquid "	""	""	"mutant strain"	""	""
"B123"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"23"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Gas toluene"	""	""	"mutant strain"	""	""
"B124"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"24"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Control"	""	""	"mutant strain"	""	""
"B125"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"25"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Control"	""	""	"wild type genotype"	""	""
"B126"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"26"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Control"	""	""	"mutant strain"	""	""
"B127"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"27"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Toluene liquid"	""	""	"wild type genotype"	""	""
"B128"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"28"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Gas toluene"	""	""	"wild type genotype"	""	""
"B129"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"29"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Gas toluene and liquid "	""	""	"mutant strain"	""	""
"B130"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"30"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Gas toluene"	""	""	"mutant strain"	""	""
"B131"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"31"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Control"	""	""	"mutant strain"	""	""
"B132"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"32"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Gas toluene"	""	""	"wild type genotype"	""	""
"B133"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"33"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Gas toluene"	""	""	"wild type genotype"	""	""
"B134"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"34"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Gas toluene"	""	""	"mutant strain"	""	""
"B135"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"35"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Toluene liquid"	""	""	"wild type genotype"	""	""
"B136"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"36"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Gas toluene"	""	""	"wild type genotype"	""	""
"B137"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"37"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Toluene liquid"	""	""	"mutant strain"	""	""
"B138"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"38"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Toluene liquid"	""	""	"mutant strain"	""	""
"B139"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"39"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Control"	""	""	"wild type genotype"	""	""
"B140"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"40"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Control"	""	""	"mutant strain"	""	""
"B21"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"41"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Toluene liquid"	""	""	"mutant strain"	""	""
"B22"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"42"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Toluene liquid"	""	""	"mutant strain"	""	""
"B23"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"43"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Toluene liquid"	""	""	"wild type genotype"	""	""
"B24"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"44"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Gas toluene"	""	""	"mutant strain"	""	""
"B25"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"45"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Gas toluene"	""	""	"mutant strain"	""	""
"B26"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"46"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Gas toluene"	""	""	"wild type genotype"	""	""
"B27"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"47"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Toluene liquid"	""	""	"wild type genotype"	""	""
"B28"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"48"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Gas toluene"	""	""	"mutant strain"	""	""
"B29"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"49"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Control"	""	""	"mutant strain"	""	""
"B210"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Gas toluene and liquid "	""	""	"wild type genotype"	""	""
"B211"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"51"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Gas toluene"	""	""	"mutant strain"	""	""
"B212"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"52"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Control"	""	""	"mutant strain"	""	""
"B213"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"53"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Toluene liquid"	""	""	"wild type genotype"	""	""
"B214"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"54"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Toluene liquid"	""	""	"mutant strain"	""	""
"B215"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"55"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Toluene liquid"	""	""	"mutant strain"	""	""
"B216"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"56"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Control"	""	""	"mutant strain"	""	""
"B217"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"57"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Gas toluene"	""	""	"mutant strain"	""	""
"B218"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"58"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Gas toluene and liquid "	""	""	"mutant strain"	""	""
"B219"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"59"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Toluene liquid"	""	""	"mutant strain"	""	""
"B220"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"60"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Gas toluene"	""	""	"mutant strain"	""	""
