"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Mtab_FT_012611_31"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_012611_31"	"Mtab_FT_012611_31.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_012611_32"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_012611_32"	"Mtab_FT_012611_32.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_020211_03"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_020211_03"	"Mtab_FT_020211_03.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_020211_05"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_020211_05"	"Mtab_FT_020211_05.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_020211_07"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_020211_07"	"Mtab_FT_020211_07.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_020211_09"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_020211_09"	"Mtab_FT_020211_09.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_020211_11"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_020211_11"	"Mtab_FT_020211_11.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_020211_13"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_020211_13"	"Mtab_FT_020211_13.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_020211_17"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_020211_17"	"Mtab_FT_020211_17.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_020211_19"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_020211_19"	"Mtab_FT_020211_19.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_020211_21"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_020211_21"	"Mtab_FT_020211_21.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_020211_23"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_020211_23"	"Mtab_FT_020211_23.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_020211_25"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_020211_25"	"Mtab_FT_020211_25.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_020211_27"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_020211_27"	"Mtab_FT_020211_27.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_020311_02"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_020311_02"	"Mtab_FT_020311_02.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_020311_04"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_020311_04"	"Mtab_FT_020311_04.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_020311_06"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_020311_06"	"Mtab_FT_020311_06.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_020311_08"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_020311_08"	"Mtab_FT_020311_08.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_020311_10"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_020311_10"	"Mtab_FT_020311_10.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_020311_12"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_020311_12"	"Mtab_FT_020311_12.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_020311_16"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_020311_16"	"Mtab_FT_020311_16.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_020311_18"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_020311_18"	"Mtab_FT_020311_18.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
