"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Variability Level]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Experiment ]"	"Term Source REF"	"Term Accession Number"
"Twn027_SH37"	"Seriatopora hystrix"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/51070"	"endometabolome"	""	""	"Sample collection"	"Twn027_SH37"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn028_SH40"	"Seriatopora hystrix"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/51070"	"endometabolome"	""	""	"Sample collection"	"Twn028_SH40"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn029_SH31"	"Seriatopora hystrix"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/51070"	"endometabolome"	""	""	"Sample collection"	"Twn029_SH31"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn030_SH35"	"Seriatopora hystrix"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/51070"	"endometabolome"	""	""	"Sample collection"	"Twn030_SH35"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn031_SH34"	"Seriatopora hystrix"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/51070"	"endometabolome"	""	""	"Sample collection"	"Twn031_SH34"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn032_SH32"	"Seriatopora hystrix"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/51070"	"endometabolome"	""	""	"Sample collection"	"Twn032_SH32"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn033_SH33"	"Seriatopora hystrix"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/51070"	"endometabolome"	""	""	"Sample collection"	"Twn033_SH33"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Var_PC1"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"Var_PC1"	"WithinColony"	""	""	"N/A"	""	""	"Variability"	""	""
"Var_PC2"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"Var_PC2"	"WithinColony"	""	""	"N/A"	""	""	"Variability"	""	""
"Var_PC3"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"Var_PC3"	"WithinColony"	""	""	"N/A"	""	""	"Variability"	""	""
"Var_PC4"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"Var_PC4"	"WithinColony"	""	""	"N/A"	""	""	"Variability"	""	""
"Var_PC5"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"Var_PC5"	"WithinColony"	""	""	"N/A"	""	""	"Variability"	""	""
"Var_PC6"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"Var_PC6"	"BetweenColony"	""	""	"N/A"	""	""	"Variability"	""	""
"Var_PC7"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"Var_PC7"	"BetweenColony"	""	""	"N/A"	""	""	"Variability"	""	""
"Var_PC8"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"Var_PC8"	"BetweenColony"	""	""	"N/A"	""	""	"Variability"	""	""
"Var_PC9"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"Var_PC9"	"BetweenColony"	""	""	"N/A"	""	""	"Variability"	""	""
"Var_PC10"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"Var_PC10"	"BetweenColony"	""	""	"N/A"	""	""	"Variability"	""	""
"Var_PC11"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"Var_PC11"	"Technical"	""	""	"N/A"	""	""	"Variability"	""	""
"Var_PC12"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"Var_PC12"	"Technical"	""	""	"N/A"	""	""	"Variability"	""	""
"Var_PC13"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"Var_PC13"	"Technical"	""	""	"N/A"	""	""	"Variability"	""	""
"Var_PC14"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"Var_PC14"	"Technical"	""	""	"N/A"	""	""	"Variability"	""	""
"Var_PC15"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"Var_PC15"	"Technical"	""	""	"N/A"	""	""	"Variability"	""	""
"Var_PC16"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"Var_PC16"	"BetweenColony"	""	""	"N/A"	""	""	"Variability"	""	""
"Var_PC17"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"Var_PC17"	"BetweenColony"	""	""	"N/A"	""	""	"Variability"	""	""
"Var_PC18"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"Var_PC18"	"BetweenColony"	""	""	"N/A"	""	""	"Variability"	""	""
"Var_PC19"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"Var_PC19"	"BetweenColony"	""	""	"N/A"	""	""	"Variability"	""	""
"Var_PC20"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"Var_PC20"	"BetweenColony"	""	""	"N/A"	""	""	"Variability"	""	""
"SPIK_01"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"SPIK_01"	"N/A"	""	""	"control"	""	""	"Spiking"	""	""
"SPIK_02"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"SPIK_02"	"N/A"	""	""	"control"	""	""	"Spiking"	""	""
"SPIK_03"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"SPIK_03"	"N/A"	""	""	"control"	""	""	"Spiking"	""	""
"SPIK_04"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"SPIK_04"	"N/A"	""	""	"control"	""	""	"Spiking"	""	""
"SPIK_05"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"SPIK_05"	"N/A"	""	""	"control"	""	""	"Spiking"	""	""
"SPIK_06"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"SPIK_06"	"N/A"	""	""	"control"	""	""	"Spiking"	""	""
"SPIK_07"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"SPIK_07"	"N/A"	""	""	"0.1 mM"	""	""	"Spiking"	""	""
"SPIK_08"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"SPIK_08"	"N/A"	""	""	"0.1 mM"	""	""	"Spiking"	""	""
"SPIK_09"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"SPIK_09"	"N/A"	""	""	"0.1 mM"	""	""	"Spiking"	""	""
"SPIK_10"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"SPIK_10"	"N/A"	""	""	"0.1 mM"	""	""	"Spiking"	""	""
"SPIK_11"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"SPIK_11"	"N/A"	""	""	"0.1 mM"	""	""	"Spiking"	""	""
"SPIK_12"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"SPIK_12"	"N/A"	""	""	"0.1 mM"	""	""	"Spiking"	""	""
"SPIK_13"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"SPIK_13"	"N/A"	""	""	"10 mM"	""	""	"Spiking"	""	""
"SPIK_14"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"SPIK_14"	"N/A"	""	""	"10 mM"	""	""	"Spiking"	""	""
"SPIK_15"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"SPIK_15"	"N/A"	""	""	"10 mM"	""	""	"Spiking"	""	""
"SPIK_16"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"SPIK_16"	"N/A"	""	""	"10 mM"	""	""	"Spiking"	""	""
"SPIK_17"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"SPIK_17"	"N/A"	""	""	"10 mM"	""	""	"Spiking"	""	""
"SPIK_18"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"SPIK_18"	"NA"	""	""	"10 mM"	""	""	"Spiking"	""	""
