"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Experiment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Timepoint]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"DFMO_low"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"GMS234"	"DFMO_low"	""	""	"20 µM DFMO"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"DFMO_low"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"GMS235"	"DFMO_low"	""	""	"20 µM DFMO"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"DFMO_low"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"GMS236"	"DFMO_low"	""	""	"20 µM DFMO"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"DFMO_low"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"GMS237"	"DFMO_low"	""	""	"20 µM DFMO"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"DFMO_low"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"Iz_TC_DMSF_0hr_04"	"DFMO_low"	""	""	"No drug"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"DFMO_low"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"Iz_TC_DMSF_1hr_07"	"DFMO_low"	""	""	"20 µM DFMO"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"DFMO_low"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"Iz_TC_DMSF_24hr_10"	"DFMO_low"	""	""	"20 µM DFMO"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"DFMO_low"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"Iz_TC_DMSF_48hr_13"	"DFMO_low"	""	""	"20 µM DFMO"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"DFMO_low"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"Iz_TC_DMSF_72hr_16"	"DFMO_low"	""	""	"20 µM DFMO"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"DFMO_low"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"GMS268a"	"DFMO_low"	""	""	"No drug"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"5"	""	""
"DFMO_low"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"GMS269a"	"DFMO_low"	""	""	"20 µM DFMO"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"5"	""	""
"DFMO_low"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"GMS270a"	"DFMO_low"	""	""	"20 µM DFMO"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"5"	""	""
"DFMO_low"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"GMS271a"	"DFMO_low"	""	""	"20 µM DFMO"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"5"	""	""
"DFMO_low"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"GMS272a"	"DFMO_low"	""	""	"20 µM DFMO"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"5"	""	""
"DFMO_low"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"GMS279A"	"DFMO_low"	""	""	"No drug"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"6"	""	""
"DFMO_low"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"GMS280A"	"DFMO_low"	""	""	"20 µM DFMO"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"6"	""	""
"DFMO_low"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"GMS281A"	"DFMO_low"	""	""	"20 µM DFMO"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"6"	""	""
"DFMO_low"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"GMS282A"	"DFMO_low"	""	""	"20 µM DFMO"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"6"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"0cIV057"	"DFMO_high"	""	""	"No drug"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"05cIV065"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"0.5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"1cIV097"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"2cIV103"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"5cIV107"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"24cIV109"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"48cIV111"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"0cIV187"	"DFMO_high"	""	""	"No drug"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"05cIV189"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"0.5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"1cIV191"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"2cIV193"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"5cIV195"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"24cIV197"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"48cIV199"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"0cIV270"	"DFMO_high"	""	""	"No drug"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"05cIV272"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"0.5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"1cIV274"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"2cIV283"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"5cIV276"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"24cIV278"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"48cIV280"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"0cIV384"	"DFMO_high"	""	""	"No drug"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"05cIV386"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"0.5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"1cIV388"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"2cIV390"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"5cIV392"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"48cIV396"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"0cIV433"	"DFMO_high"	""	""	"No drug"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"5"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"05cIV435"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"0.5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"5"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"1cIV437"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"5"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"2cIV439"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"5"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"5cIV441"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"5"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"24cIV443"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"5"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"48cIV445"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"5"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"0cIV449"	"DFMO_high"	""	""	"No drug"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"6"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"05cIV451"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"0.5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"6"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"1cIV453"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"6"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"2cIV455"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"6"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"5cIV457"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"6"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"24cIV459"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"6"	""	""
"DFMO_high"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"48cIV461"	"DFMO_high"	""	""	"500 µM DFMO"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"6"	""	""
"Glutamine"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"GMS391"	"Glutamine"	""	""	"+15N-glutamine"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
