"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[control]"	"Term Source REF"	"Term Accession Number"	"Factor Value[time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[inorganic phosphate]"	"Unit"	"Term Source REF"	"Term Accession Number"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Tps6_sample22"	"with Thalassiosira"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"0.4"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Tps6_sample20"	"with Thalassiosira"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"0.4"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Tps6_sample23"	"cell-free control"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"0.4"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Tps6_sample9"	"with Thalassiosira"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"36"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Tps6_sample12"	"cell-free control"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"36"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Tps6_sample21"	"with Thalassiosira"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"0.4"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Tps6_sample18"	"with Thalassiosira"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"0.4"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Tps6_sample1"	"with Thalassiosira"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"36"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Tps6_sample4"	"with Thalassiosira"	""	""	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"36"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Tps6_sample13"	"cell-free control"	""	""	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"0.4"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Tps6_sample16"	"with Thalassiosira"	""	""	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"0.4"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Tps6_sample17"	"with Thalassiosira"	""	""	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"0.4"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Tps6_sample25"	"cell-free control"	""	""	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"36"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Tps6_sample10"	"with Thalassiosira"	""	""	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"36"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
