"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Kimchi]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"30MKB"	"kimchi with myeolchi-jeot"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"30SKA"	"kimchi with saeu-jeot"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"30SKB"	"kimchi with saeu-jeot"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"40CKA"	"kimchi without jeotgal"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"40CKB"	"kimchi without jeotgal"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"40NKA"	"kimchi with salinity adjusted with salt instead of jeotgal"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"40NKB"	"kimchi with salinity adjusted with salt instead of jeotgal"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"40MKA"	"kimchi with myeolchi-jeot"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"40MKB"	"kimchi with myeolchi-jeot"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"40SKA"	"kimchi with saeu-jeot"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"40SKB"	"kimchi with saeu-jeot"	""	""	"B"	""	""
