"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan m/z range]"	"Parameter Value[Scan polarity]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"12"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"12"	"12_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"2"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"2"	"2_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"14"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"14"	"14_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"1"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"1"	"1_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"3"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"3"	"3_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"4"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"4"	"4_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"5"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"5"	"5_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"6"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"6"	"6_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"7"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"7"	"7_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"21"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"21"	"21_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"22"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"22"	"22_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"23"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"23"	"23_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"24"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"24"	"24_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"25"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"25"	"25_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"26"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"26"	"26_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"27"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"27"	"27_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"28"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"28"	"28_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"29"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"29"	"29_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"30"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"30"	"30_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"31"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"31"	"31_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"32"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"32"	"32_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"33"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"33"	"33_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"34"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"34"	"34_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"35"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"35"	"35_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"36"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"36"	"36_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"37"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"37"	"37_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"38"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"38"	"38_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"78"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"78"	"78_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"79"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"79"	"79_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"80"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"80"	"80_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"82"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"82"	"82_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"83"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"83"	"83_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"84"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"84"	"84_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
