"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"V12 11 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V12 11 2"	"V12 11 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"V12 12 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V12 12 2"	"V12 12 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"V12 13 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V12 13 2"	"V12 13 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"V12 14 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V12 14 2"	"V12 14 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"V2 11 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V2 11 2"	"V2 11 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"V2 12 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V2 12 2"	"V2 12 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"V2 13 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V2 13 2"	"V2 13 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"V2 14 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V2 14 2"	"V2 14 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"V3 11 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V3 11 2"	"V3 11 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"V3 12 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V3 12 2"	"V3 12 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"V3 13 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V3 13 2"	"V3 13 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"V3 14 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V3 14 2"	"V3 14 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"V4 11 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V4 11 2"	"V4 11 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"V4 12 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V4 12 2"	"V4 12 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"V4 13 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V4 13 2"	"V4 13 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"V4 14 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V4 14 2"	"V4 14 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"V5 11 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V5 11 2"	"V5 11 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"V5 12 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V5 12 2"	"V5 12 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"V5 13 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V5 13 2"	"V5 13 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"V5 14 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V5 14 2"	"V5 14 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"V6 11 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V6 11 2"	"V6 11 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"V6 12 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V6 12 2"	"V6 12 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"V6 13 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V6 13 2"	"V6 13 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"V6 14 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V6 14 2"	"V6 14 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"V7 11 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V7 11 2"	"V7 11 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"V7 12 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V7 12 2"	"V7 12 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"V7 13 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V7 13 2"	"V7 13 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"V7 14 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V7 14 2"	"V7 14 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"V8 11 2"	"Extraction"	"sample dissolved in initial mobile phase"	"urine"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"150-800"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"V8 11 2"	"V8 11 2.raw"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_bovine_urine_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
