"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Run order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch number]"	"Term Source REF"	"Term Accession Number"
"A11"	"Extraction"	""	""	"ex_A11"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid2_20121114_Lipdi_2_B8_20"	"targeted_positive_lipid2_20121114_Lipdi_2_B8_20.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"119"	""	""	"2"	""	""
"A12"	"Extraction"	""	""	"ex_A12"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid2_20121114_Lipdi_2_A12_12"	"targeted_positive_lipid2_20121114_Lipdi_2_A12_12.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"99"	""	""	"2"	""	""
"A14"	"Extraction"	""	""	"ex_A14"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid2_20121114_Lipdi_2_A4_4"	"targeted_positive_lipid2_20121114_Lipdi_2_A4_4.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"103"	""	""	"2"	""	""
"A15"	"Extraction"	""	""	"ex_A15"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid1_20121114_Lipid_1_B4_16"	"targeted_positive_lipid1_20121114_Lipid_1_B4_16.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"19"	""	""	"1"	""	""
"A16"	"Extraction"	""	""	"ex_A16"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid1_20121114_Lipid_1_H5_89"	"targeted_positive_lipid1_20121114_Lipid_1_H5_89.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"92"	""	""	"1"	""	""
"A17"	"Extraction"	""	""	"ex_A17"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid1_20121114_Lipid_1_D4_40"	"targeted_positive_lipid1_20121114_Lipid_1_D4_40.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"43"	""	""	"1"	""	""
"A18"	"Extraction"	""	""	"ex_A18"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid1_20121114_Lipid_1_D1_37"	"targeted_positive_lipid1_20121114_Lipid_1_D1_37.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"40"	""	""	"1"	""	""
"A19"	"Extraction"	""	""	"ex_A19"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid1_20121114_Lipid_1_H9_93"	"targeted_positive_lipid1_20121114_Lipid_1_H9_93.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"96"	""	""	"1"	""	""
"A20"	"Extraction"	""	""	"ex_A20"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid2_20121114_Lipdi_2_F9_69"	"targeted_positive_lipid2_20121114_Lipdi_2_F9_69.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"168"	""	""	"2"	""	""
"A21"	"Extraction"	""	""	"ex_A21"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid1_20121114_Lipid_1_H3_87"	"targeted_positive_lipid1_20121114_Lipid_1_H3_87.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"90"	""	""	"1"	""	""
"A22"	"Extraction"	""	""	"ex_A22"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid2_20121114_Lipdi_2_C11_35"	"targeted_positive_lipid2_20121114_Lipdi_2_C11_35.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"122"	""	""	"2"	""	""
"A23"	"Extraction"	""	""	"ex_A23"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid1_20121114_Lipid_1_E3_51"	"targeted_positive_lipid1_20121114_Lipid_1_E3_51.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"54"	""	""	"1"	""	""
"A24"	"Extraction"	""	""	"ex_A24"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid2_20121114_Lipdi_2_G8_80"	"targeted_positive_lipid2_20121114_Lipdi_2_G8_80.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"179"	""	""	"2"	""	""
"A25"	"Extraction"	""	""	"ex_A25"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid2_20121114_Lipdi_2_F4_64"	"targeted_positive_lipid2_20121114_Lipdi_2_F4_64.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"163"	""	""	"2"	""	""
"A26"	"Extraction"	""	""	"ex_A26"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid2_20121114_Lipdi_2_D6_42"	"targeted_positive_lipid2_20121114_Lipdi_2_D6_42.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"141"	""	""	"2"	""	""
"A27"	"Extraction"	""	""	"ex_A27"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid1_20121114_Lipid_1_F7_67"	"targeted_positive_lipid1_20121114_Lipid_1_F7_67.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"70"	""	""	"1"	""	""
"A28"	"Extraction"	""	""	"ex_A28"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid1_20121114_Lipid_1_H7_91"	"targeted_positive_lipid1_20121114_Lipid_1_H7_91.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"94"	""	""	"1"	""	""
"A29"	"Extraction"	""	""	"ex_A29"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid1_20121114_Lipid_1_D2_38"	"targeted_positive_lipid1_20121114_Lipid_1_D2_38.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"41"	""	""	"1"	""	""
"A30"	"Extraction"	""	""	"ex_A30"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid2_20121114_Lipdi_2_G10_82"	"targeted_positive_lipid2_20121114_Lipdi_2_G10_82.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"169"	""	""	"2"	""	""
"B01"	"Extraction"	""	""	"ex_B01"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid1_20121114_Lipid_1_F12_72"	"targeted_positive_lipid1_20121114_Lipid_1_F12_72.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"63"	""	""	"1"	""	""
"B02"	"Extraction"	""	""	"ex_B02"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid1_20121114_Lipid_1_B12_24"	"targeted_positive_lipid1_20121114_Lipid_1_B12_24.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"15"	""	""	"1"	""	""
"B03"	"Extraction"	""	""	"ex_B03"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid2_20121114_Lipdi_2_D2_38"	"targeted_positive_lipid2_20121114_Lipdi_2_D2_38.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"137"	""	""	"2"	""	""
"B04"	"Extraction"	""	""	"ex_B04"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid1_20121114_Lipid_1_F4_64"	"targeted_positive_lipid1_20121114_Lipid_1_F4_64.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"67"	""	""	"1"	""	""
"B05"	"Extraction"	""	""	"ex_B05"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid2_20121114_Lipdi_2_H2_86"	"targeted_positive_lipid2_20121114_Lipdi_2_H2_86.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"185"	""	""	"2"	""	""
"B06"	"Extraction"	""	""	"ex_B06"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid2_20121114_Lipdi_2_C10_34"	"targeted_positive_lipid2_20121114_Lipdi_2_C10_34.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"121"	""	""	"2"	""	""
"B07"	"Extraction"	""	""	"ex_B07"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid2_20121114_Lipdi_2_E7_55"	"targeted_positive_lipid2_20121114_Lipdi_2_E7_55.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"154"	""	""	"2"	""	""
"B08"	"Extraction"	""	""	"ex_B08"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid2_20121114_Lipdi_2_H12_96"	"targeted_positive_lipid2_20121114_Lipdi_2_H12_96.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"183"	""	""	"2"	""	""
