"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Tissue type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"
"CAFLA VecEV3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFLA VecEV3"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/low-miR-105 exosome"	""	""
"NIH105EV1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"NIH-3T3 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000944"	"Sample collection"	"NIH105EV1"	"mouse NIH/3T3 cells"	""	""	"10A/high-miR-105 exosome"	""	""
"NIH105EV2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"NIH-3T3 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000944"	"Sample collection"	"NIH105EV2"	"mouse NIH/3T3 cells"	""	""	"10A/high-miR-105 exosome"	""	""
"NIH105EV3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"NIH-3T3 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000944"	"Sample collection"	"NIH105EV3"	"mouse NIH/3T3 cells"	""	""	"10A/high-miR-105 exosome"	""	""
"NIH231EV1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"NIH-3T3 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000944"	"Sample collection"	"NIH231EV1"	"mouse NIH/3T3 cells"	""	""	"231/high-miR-105 exosome"	""	""
"NIH231EV2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"NIH-3T3 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000944"	"Sample collection"	"NIH231EV2"	"mouse NIH/3T3 cells"	""	""	"231/high-miR-105 exosome"	""	""
"NIH231EV3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"NIH-3T3 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000944"	"Sample collection"	"NIH231EV3"	"mouse NIH/3T3 cells"	""	""	"231/high-miR-105 exosome"	""	""
"NIHPBS1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"NIH-3T3 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000944"	"Sample collection"	"NIHPBS1"	"mouse NIH/3T3 cells"	""	""	"PBS"	""	""
"NIHPBS2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"NIH-3T3 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000944"	"Sample collection"	"NIHPBS2"	"mouse NIH/3T3 cells"	""	""	"PBS"	""	""
"NIHPBS3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"NIH-3T3 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000944"	"Sample collection"	"NIHPBS3"	"mouse NIH/3T3 cells"	""	""	"PBS"	""	""
"NIHVECEV1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"NIH-3T3 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000944"	"Sample collection"	"NIHVECEV1"	"mouse NIH/3T3 cells"	""	""	"10A/low-miR-105 exosome"	""	""
"NIHVECEV2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"NIH-3T3 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000944"	"Sample collection"	"NIHVECEV2"	"mouse NIH/3T3 cells"	""	""	"10A/low-miR-105 exosome"	""	""
"NIHVECEV3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"NIH-3T3 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000944"	"Sample collection"	"NIHVECEV3"	"mouse NIH/3T3 cells"	""	""	"10A/low-miR-105 exosome"	""	""
"CAFGLUC 105EV1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFGLUC 105EV1"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/high-miR-105 exosome"	""	""
"CAFGLUC 105EV2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFGLUC 105EV2"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/high-miR-105 exosome"	""	""
"CAFGLUC 105EV3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFGLUC 105EV3"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/high-miR-105 exosome"	""	""
"CAFGLUC 231EV1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFGLUC 231EV1"	"human cancer-associated fibroblasts (CAF)"	""	""	"231/high-miR-105 exosome"	""	""
"CAFGLUC 231EV2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFGLUC 231EV2"	"human cancer-associated fibroblasts (CAF)"	""	""	"231/high-miR-105 exosome"	""	""
"CAFGLUC 231EV3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFGLUC 231EV3"	"human cancer-associated fibroblasts (CAF)"	""	""	"231/high-miR-105 exosome"	""	""
"CAFGLUC PBS1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFGLUC PBS1"	"human cancer-associated fibroblasts (CAF)"	""	""	"PBS"	""	""
"CAFGLUC PBS2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFGLUC PBS2"	"human cancer-associated fibroblasts (CAF)"	""	""	"PBS"	""	""
"CAFGLUC PBS3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFGLUC PBS3"	"human cancer-associated fibroblasts (CAF)"	""	""	"PBS"	""	""
"CAFGLUC VecEV1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFGLUC VecEV1"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/low-miR-105 exosome"	""	""
"CAFGLUC VecEV2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFGLUC VecEV2"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/low-miR-105 exosome"	""	""
"CAFGLUC VecEV3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFGLUC VecEV3"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/low-miR-105 exosome"	""	""
"CAFLA 105EV1 2D"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFLA 105EV1 2D"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/high-miR-105 exosome"	""	""
"CAFLA 105EV2 2D"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFLA 105EV2 2D"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/high-miR-105 exosome"	""	""
"CAFLA 105EV3 2D"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFLA 105EV3 2D"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/high-miR-105 exosome"	""	""
"CAFLA 231EV1 2D"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFLA 231EV1 2D"	"human cancer-associated fibroblasts (CAF)"	""	""	"231/high-miR-105 exosome"	""	""
"CAFLA 231EV2 2D"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFLA 231EV2 2D"	"human cancer-associated fibroblasts (CAF)"	""	""	"231/high-miR-105 exosome"	""	""
"CAFLA 231EV3 2D"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFLA 231EV3 2D"	"human cancer-associated fibroblasts (CAF)"	""	""	"231/high-miR-105 exosome"	""	""
"CAFLA PBS1 2D"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFLA PBS1 2D"	"human cancer-associated fibroblasts (CAF)"	""	""	"PBS"	""	""
"CAFLA PBS2 2D"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFLA PBS2 2D"	"human cancer-associated fibroblasts (CAF)"	""	""	"PBS"	""	""
"CAFLA PBS3 2D"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFLA PBS3 2D"	"human cancer-associated fibroblasts (CAF)"	""	""	"PBS"	""	""
"CAFLA VecEV1 2D"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFLA VecEV1 2D"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/low-miR-105 exosome"	""	""
"CAFLA VecEV2 2D"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFLA VecEV2 2D"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/low-miR-105 exosome"	""	""
"CAFLA VecEV3 2D"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFLA VecEV3 2D"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/low-miR-105 exosome"	""	""
"CAFQ105EV1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFQ105EV1"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/high-miR-105 exosome"	""	""
"CAFQ105EV2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFQ105EV2"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/high-miR-105 exosome"	""	""
"CAFQ105EV3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFQ105EV3"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/high-miR-105 exosome"	""	""
"CAFQ231EV1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFQ231EV1"	"human cancer-associated fibroblasts (CAF)"	""	""	"231/high-miR-105 exosome"	""	""
"CAFQ231EV2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFQ231EV2"	"human cancer-associated fibroblasts (CAF)"	""	""	"231/high-miR-105 exosome"	""	""
"CAFQ231EV3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFQ231EV3"	"human cancer-associated fibroblasts (CAF)"	""	""	"231/high-miR-105 exosome"	""	""
"CAFQPBS1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFQPBS1"	"human cancer-associated fibroblasts (CAF)"	""	""	"PBS"	""	""
"CAFQPBS2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFQPBS2"	"human cancer-associated fibroblasts (CAF)"	""	""	"PBS"	""	""
"CAFQPBS3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFQPBS3"	"human cancer-associated fibroblasts (CAF)"	""	""	"PBS"	""	""
"CAFQVecEV1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFQVecEV1"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/low-miR-105 exosome"	""	""
"CAFQVecEV2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFQVecEV2"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/low-miR-105 exosome"	""	""
"CAFQVecEV3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFQVecEV3"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/low-miR-105 exosome"	""	""
"MGluc2D105EV1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"MGluc2D105EV1"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/high-miR-105 exosome"	""	""
"MGluc2D105EV2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"MGluc2D105EV2"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/high-miR-105 exosome"	""	""
"MGluc2D105EV3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"MGluc2D105EV3"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/high-miR-105 exosome"	""	""
"MGluc2D231EV1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"MGluc2D231EV1"	"human cancer-associated fibroblasts (CAF)"	""	""	"231/high-miR-105 exosome"	""	""
"MGluc2D231EV2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"MGluc2D231EV2"	"human cancer-associated fibroblasts (CAF)"	""	""	"231/high-miR-105 exosome"	""	""
"MGluc2D231EV3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"MGluc2D231EV3"	"human cancer-associated fibroblasts (CAF)"	""	""	"231/high-miR-105 exosome"	""	""
