database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	K-1	L-1	M-1	N-1	K-3	L-3	M-3	N-3	K-5	L-5	M-5	N-5	L-6	M-6	N-6
CHEBI:9171		Cc1c[nH]c2ccccc12	InChI=1S/C9H9N/c1-7-6-10-9-5-3-2-4-8(7)9/h2-6,10H,1H3	3-Methylindole																	228.23	44.13	149.47	11726.46	61.57	26.74	431.81	4015.35	392.42	51.78	540.65	8060.35	17190.62	68.49	12445.25
				3-Methylpentanoic acid																	27.2	17.78	16.84	177.79	329.37	183.69	431.81	597.34	2432.74	218.03	540.65	42.32	148.98	19.05	215.01
CHEBI:30763		OC(=O)c1ccc(O)cc1	InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)	4-Hydroxybenzoic acid																	75.23	88.89	98.31	90.38	112.92	71.58	175.36	439.4	44.91	117.07	460.63	155.27	169.59	268.19	53.38
CHEBI:36090		[H]C(=Cc1ccc(O)cc1)C(O)=O	InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)	4-Hydroxycinnamic acid																	518.38	2661.5	361.11	2095.19	6920.5	784.42	890.01	507.51	367.62	7391.86	6645.08	3269.59	5761	2114.3	1357.34
CHEBI:15999		OC(=O)C(=O)Cc1ccc(O)cc1	InChI=1S/C9H8O4/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,10H,5H2,(H,12,13)	4-Hydroxyphenylpyruvic acid																	351.95	318.36	821.44	369.22	1075.58	284.46	542.88	840.97	219.96	482.62	584.98	1573.2	641.59	1127.36	229.94
				4-Methylhexanoic acid																	22848.12	55448.03	76550.09	195323.68	133898.3	238.18	431.81	161368.47	96179.41	354.8	540.65	176.21	2063.16	554.58	1264.67
CHEBI:83044		CCCCCCC=CCCCC(O)=O	InChI=1S/C12H22O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h7-8H,2-6,9-11H2,1H3,(H,13,14)	5-Dodecenoic acid																	21.41	222.16	22.28	44.01	82.97	71.83	128.1	158.29	96.66	83.04	1320.26	33.34	78.8	147.47	174.01
CHEBI:53486		CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O	InChI=1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13H,2-5,8,11,14-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-	8,11,14-Eicosatrienoic acid																	135.29	165.55	160.61	164.03	213.59	164.91	320.5	135.32	142.53	336.89	367.91	105.58	389.55	327.7	159.46
CHEBI:15366		CC(O)=O	InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)	Acetic acid																	12135.6	6855.42	149.47	18056.55	11647.4	22763.71	20382.85	2936.62	22028.17	38225.93	24701.32	29254.21	58375.3	3519.49	12462.26
CHEBI:30832		OC(=O)CCCCC(O)=O	InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)	Adipic acid																	109.14	243.72	32.77	254.04	143.11	150.35	167.45	250.38	93.76	167.39	67.85	304.61	359.8	112.37	155.12
CHEBI:27432		CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O	InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h3-4,6-7,9-10H,2,5,8,11-17H2,1H3,(H,19,20)/b4-3-,7-6-,10-9-	Alpha-Linolenic acid																	1264.4	977.78	1170.11	1926.82	1191.95	1135.9	7899.24	996.1	1338.71	713.83	4074.85	3015.65	400.5	2340.33	767.38
CHEBI:37024		NC(CCCC(O)=O)C(O)=O	InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)	Aminoadipic acid																	136.57	274.86	135.87	164.77	208.96	430.08	431.81	214.91	151.74	247.01	496.58	137.39	1992.32	431.94	1264.67
CHEBI:28822		CCCCCCCCCCCCCCCCCCCC(O)=O	InChI=1S/C20H40O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h2-19H2,1H3,(H,21,22)	Arachidic acid																	582.72	1505.69	102.45	2386.68	1226.18	1032.76	706.01	3091.31	2130.82	178.78	2473.73	1603.93	3240.72	2899.41	1136.47
CHEBI:15843		CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O	InChI=1S/C20H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13,15-16H,2-5,8,11,14,17-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-,16-15-	Arachidonic acid																	253.69	2143.3	231.98	1697.7	4106.32	1775.3	2191.43	617.72	2406.54	1010.5	880.71	716.15	4039.49	1083.27	121.58
CHEBI:28941		CCCCCCCCCCCCCCCCCCCCCC(O)=O	InChI=1S/C22H44O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h2-21H2,1H3,(H,23,24)	Behenic acid																	27.43	88.01	149.47	19.22	42.31	238.18	36.94	23.75	42.91	10.1	30.01	13.93	39.4	97.82	121.58
CHEBI:16958		NCCC(O)=O	InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)	Beta-Alanine																	505.76	591.08	539.59	2021.67	252.34	657.51	3138.06	680.2	340.97	807.3	1273.49	394.02	3766.83	817.21	1262.21
CHEBI:30772		CCCC(O)=O	InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)	Butyric acid																	1896.31	6244.29	175.76	9280.03	1611.17	4086.44	7024.82	21.28	3708.58	2975.18	3297.4	3790.84	9803.88	1125.65	1295.46
CHEBI:30813		C(CCCCCC)CCC(=O)O	InChI=1S/C10H20O2/c1-2-3-4-5-6-7-8-9-10(11)12/h2-9H2,1H3,(H,11,12)	Capric acid																	44.91	34.04	12.05	48.48	28.53	12.35	43.42	81.62	23.61	25.08	127.86	109.89	42.79	187.5	72.08
CHEBI:28837		CCCCCCCC(O)=O	InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)	Caprylic acid																	26.27	38.46	444.65	66.58	31.74	9.56	41.98	46.72	13.44	25.4	604.71	31.18	47.75	2174.88	28.72
CHEBI:27386		[H]C(=Cc1ccccc1)C(O)=O	InChI=1S/C9H8O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-7H,(H,10,11)	Cinnamic acid																	16.32	20.68	54.92	482.67	11.05	15.31	17.27	42.67	17.67	24.26	20.27	14.2	26.61	23.76	17.57
CHEBI:17626		C\C(=C\C(O)=O)C(O)=O	InChI=1S/C5H6O4/c1-3(5(8)9)2-4(6)7/h2H,1H3,(H,6,7)(H,8,9)/b3-2-	Citraconic acid																	90.5	107.04	154.65	25.42	61.57	69.63	91.16	175.96	86.19	139.22	257.62	187.44	74.36	265.63	160.98
CHEBI:15584		CC(O)(CC(O)=O)C(O)=O	InChI=1S/C5H8O5/c1-5(10,4(8)9)2-3(6)7/h10H,2H2,1H3,(H,6,7)(H,8,9)	Citramalic acid																	175.8	185.09	161	1342.99	163.55	141.72	189.28	113.48	129.54	181.55	620.39	227.61	566.97	1146.19	152.85
CHEBI:30769		OC(=O)CC(O)(CC(O)=O)C(O)=O	InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)	Citric acid																	375.67	494.75	1241.61	585.45	484.6	567.4	2426.53	1439.1	217.22	899.29	3638.82	1788.49	2646.2	7477.98	511.93
				D-2-Hydroxyglutaric acid																	104.62	241.2	155.56	164.77	111.85	114.99	641.96	185.42	42.76	295.53	759.07	245.31	577.67	891.91	114.02
CHEBI:36005				Docosahexaenoic acid																	57.87	96.33	149.47	31.37	462.14	252.82	111.79	108.98	185.07	48.36	373.05	555.76	6809.88	78.98	1780.75
				Docosapentaenoic acid n6																	82.52	215.86	58.67	66.83	8520.26	4636.83	5777.85	213.56	2202.09	1755.44	80.02	87.07	17692.91	1791.53	4768.64
CHEBI:82846				Docosatrienoic acid																	80.44	187.49	149.47	41.78	44.57	209.16	178.72	20.83	16.26	46.89	102.45	496.18	273.96	209.55	824.06
CHEBI:30805		CCCCCCCCCCCC(O)=O	InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)	Dodecanoic acid																	666.28	212.83	59.06	230.73	75.48	66	110.11	151.87	91.76	79.62	1252.68	439.4	64.71	153.9	165.32
CHEBI:32425		C(=O)(CCCCCCCCC/C=C\CCCCCCCC)O	InChI=1S/C20H38O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h9-10H,2-8,11-19H2,1H3,(H,21,22)/b10-9-	Eicosenoic acid																	135.18	617.18	174.73	439.02	120.41	649.72	463.72	3858.64	1044.07	368.97	489.83	111.51	832.32	364.73	441.08
CHEBI:28792		CCCCCCCC\C=C/CCCCCCCCCCCC(O)=O	InChI=1S/C22H42O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h9-10H,2-8,11-21H2,1H3,(H,23,24)/b10-9-	Erucic acid																	586.78	39.97	689.71	55.67	115.06	73.53	57.33	56.06	29.77	18.89	1463.8	91.29	221	435.36	638.05
CHEBI:37070		CCC(C)C(O)=O	InChI=1S/C5H10O2/c1-3-4(2)5(6)7/h4H,3H2,1-2H3,(H,6,7)	Ethylmethylacetic acid																	143100.91	219417.23	201660.98	264757.27	75059.51	155575.59	155428.9	158750.79	176505.23	111549.73	53316.65	195206.96	172901.09	180569.25	219317.08
CHEBI:18012		OC(=O)\C=C\C(O)=O	InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/b2-1+	Fumaric acid																	670.45	538.63	559.15	716.5	307.14	401.98	1042.58	444.12	268	354.8	2671.6	685.42	1788.57	2303.52	1264.67
CHEBI:16865		NCCCC(O)=O	InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)	Gamma-Aminobutyric acid																	82.4	100.61	98.83	9969.74	1873.38	339.03	191.68	2011.34	123.08	191.48	2096.09	1771.96	1186.38	18815.12	336.88
CHEBI:17859		OC(=O)CCCC(O)=O	InChI=1S/C5H8O4/c6-4(7)2-1-3-5(8)9/h1-3H2,(H,6,7)(H,8,9)	Glutaric acid																	657.37	513.92	595.55	1390.72	430.4	187.67	271.32	1207.41	497.02	137.75	540.65	1181.87	171.16	894.27	1057.02
CHEBI:16856		N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O	InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1	Glutathione																	4007.08	4977.4	5640.99	4944.45	5946.9	7290.3	8413.09	8985.04	3417.94	5641.47	9044.2	16149.09	2818.67	10271.86	7722.52
CHEBI:33508		OCC(O)C(O)=O	InChI=1S/C3H6O4/c4-1-2(5)3(6)7/h2,4-5H,1H2,(H,6,7)	Glyceric acid																	1628.73	3894.85	2625.17	164.77	29571.18	4817.73	8815.39	154.35	1311.77	5315.49	11662.82	2448.84	24013.84	5126.73	1699.32
CHEBI:15428		NCC(O)=O	InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)	Glycine																	931.43	1149.63	1847.52	2971.26	932.71	11.42	2938.46	2246.74	521.29	1410.57	15840.94	2233.82	6674.99	8957.22	673.57
CHEBI:17497		OCC(O)=O	InChI=1S/C2H4O3/c3-1-2(4)5/h3H,1H2,(H,4,5)	Glycolic acid																	488.98	779.83	216.3	783.82	397.83	822.08	1231.62	512.01	289.97	710.74	1796.3	501.22	2501.13	880.35	267.44
CHEBI:32365		CCCCCCCCCCCCCCCCC(O)=O	InChI=1S/C17H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h2-16H2,1H3,(H,18,19)	Heptadecanoic acid																	114.58	292.26	54.14	164.77	146.68	11.59	37.66	17.45	112.25	186.11	540.65	50.95	339.95	554.58	14.26
CHEBI:45571		CCCCCCC(O)=O	InChI=1S/C7H14O2/c1-2-3-4-5-6-7(8)9/h2-6H2,1H3,(H,8,9)	Heptanoic acid																	11.34	19.54	6.74	549.37	6.78	5.84	10.32	8.22	21.01	11.4	540.65	15.46	10.44	19.26	9.07
CHEBI:30776		CCCCCC(O)=O	InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)	Caproic acid																	284.01	141.84	193.9	1582.77	187.21	89.94	179.92	177.76	148.55	47.06	186.25	186.18	325.1	276.11	219.74
CHEBI:17230		NC(CCS)C(O)=O	InChI=1S/C4H9NO2S/c5-3(1-2-8)4(6)7/h3,8H,1-2,5H2,(H,6,7)	Homocysteine																	379720.01	4787.27	245397.43	106462.47	52386.49	278977.16	55500.25	19097.45	166435.14	16954.86	43413.36	196852.04	145186.43	338992.67	69398.7
CHEBI:28631		OC(=O)CCc1ccccc1	InChI=1S/C9H10O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H,10,11)	Hydrocinnamic acid																	251.14	92.55	34.32	1828.88	871.14	70.65	515.05	334.47	1953.54	125.54	132.46	1026.06	212.38	554.58	2526.31
				Hydroxyphenyllactic acid																	252.76	1042.71	512.91	206.18	342.32	1300.21	849.23	149.17	117.74	2987.39	986.41	139.73	1299.36	410.53	772.67
CHEBI:35581				Indole																	33957.27	92409.19	3417.34	2089.61	105622.6	50451.34	4607.17	8276.47	22935.34	26164.19	1817.11	4400.06	34388.08	1753	7174.69
CHEBI:16411		OC(=O)Cc1c[nH]c2ccccc12	InChI=1S/C10H9NO2/c12-10(13)5-7-6-11-9-4-2-1-3-8(7)9/h1-4,6,11H,5H2,(H,12,13)	Indoleacetic acid																	197.79	238.05	559.41	853.62	241.88	213.64	431.81	1902.02	415.28	354.8	459.28	601.23	354.84	639.77	485.39
CHEBI:16135		CC(C)C(O)=O	InChI=1S/C4H8O2/c1-3(2)4(5)6/h3H,1-2H3,(H,5,6)	Isobutyric acid																	679.48	207.03	949.66	2624.6	921.3	1042.15	1097.28	980.34	1528.61	688.76	399.27	1218.54	705.25	995.72	232.4
CHEBI:28484		CC(C)CC(O)=O	InChI=1S/C5H10O2/c1-4(2)3-5(6)7/h4H,3H2,1-2H3,(H,6,7)	Isovaleric acid																	146.52	1020.77	972.72	1719.65	196.95	776.64	735.76	175.4	958.92	526.42	215.18	923.9	756.39	641.06	1095.38
CHEBI:30838		C(C(CC(O)=O)=C)(O)=O	InChI=1S/C5H6O4/c1-3(5(8)9)2-4(6)7/h1-2H2,(H,6,7)(H,8,9)	Itaconic acid																	28.82	274.86	47.66	164.77	17.95	14.89	431.81	49.42	31.85	32.4	540.65	44.39	30.53	83.05	35.14
CHEBI:16977		C[C@H](N)C(O)=O	InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1	L-Alanine																	465.6	574.69	923.5	1485.2	466.3	5.75	1468.87	1123.09	260.57	705.2	7917.77	1116.55	3336.32	4477.11	336.78
CHEBI:35619		CC[C@H](N)C(O)=O	InChI=1S/C4H9NO2/c1-2-3(5)4(6)7/h3H,2,5H2,1H3,(H,6,7)/t3-/m0/s1	L-Alpha-aminobutyric acid																	92.01	99.98	1605.83	370.59	246.16	62.7	3419.21	312.07	481.35	409.18	2734.05	224.46	1075.49	254.71	113.74
CHEBI:17196		N[C@@H](CC(N)=O)C(O)=O	InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1	L-Asparagine																	253.81	433.98	196.62	15045.74	260.43	322.37	569.51	21970.8	272.08	585.2	1003.44	598.62	1303.01	1127.36	155.21
CHEBI:17053		N[C@@H](CC(O)=O)C(O)=O	InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1	L-Aspartic acid																	1973.39	5046.12	3698.92	1779.28	911.55	4004.2	5560.99	6400.9	1138.57	8698.87	6296.1	1924.98	7891.38	9821.09	2752.85
CHEBI:16283		N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O	InChI=1S/C6H12N2O4S2/c7-3(5(9)10)1-13-14-2-4(8)6(11)12/h3-4H,1-2,7-8H2,(H,9,10)(H,11,12)/t3-,4-/m0/s1	L-Cystine																	315.49	274.86	9290.69	2103.5	168.49	238.18	431.81	154.35	117.7	354.8	3125.21	929.11	4113.59	1516.06	1264.67
CHEBI:16015		N[C@@H](CCC(O)=O)C(O)=O	InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1	L-Glutamic acid																	17874.77	22077.24	17391.07	9526.38	2485.4	10052.75	8019.42	18195.92	2613.51	18516.69	24851.08	16288.27	5667.6	28134.29	13683.47
CHEBI:15971		N[C@@H](Cc1c[nH]cn1)C(O)=O	InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1	L-Histidine																	793.25	1505.94	1301.97	618.3	142.63	834.26	3890.36	1633.3	440.82	1290.08	1490.56	493.22	5051.05	2569.57	562.95
CHEBI:15699		N[C@@H](CCO)C(O)=O	InChI=1S/C4H9NO3/c5-3(1-2-6)4(7)8/h3,6H,1-2,5H2,(H,7,8)/t3-/m0/s1	L-Homoserine																	178.93	1585.63	183.28	138.49	124.92	202.39	3394.02	180.13	1151.79	260.2	374.94	210.53	458.95	8352.76	1040.4
CHEBI:17191		OC([C@H]([C@H](CC)C)N)=O	InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1	L-Isoleucine																	1973.74	1966.9	4020.53	5071.41	1512.99	810.32	6991	7062.42	1000.12	735	8578.98	2552.27	6349.63	7155.2	1404.48
CHEBI:15603		CC(C)C[C@H](N)C(O)=O	InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1	L-Leucine																	3699.69	4298.44	7110.43	9963.67	2618.77	2869.06	11228.97	8695.6	919.28	3832.62	15198.65	6494.7	13362.76	11309.54	3312.49
CHEBI:18019		NCCCC[C@H](N)C(O)=O	InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1	L-Lysine																	7117.69	11908.72	758.36	7766.81	3090.65	7884.52	9869.73	8909.5	2478.92	4612.89	7416.32	6371.5	22639.08	21865.65	6494.04
CHEBI:16643		CSCC[C@H](N)C(O)=O	InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1	L-Methionine																	16356.44	16989.76	19622.49	46020.99	11300.44	10833.28	40634.48	59105.21	12166.17	16718.92	26058.88	29841.78	40777.89	57148.72	8882.99
CHEBI:18347		CCCC[C@H](N)C(O)=O	InChI=1S/C6H13NO2/c1-2-3-4-5(7)6(8)9/h5H,2-4,7H2,1H3,(H,8,9)/t5-/m0/s1	L-Norleucine																	19.91	32.03	20.85	25.91	23.06	19.21	48.7	3216.72	34.74	27.84	76.5	1377.94	96.28	26.11	24.75
CHEBI:17295		N[C@@H](Cc1ccccc1)C(O)=O	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1	L-Phenylalanine																	1152.37	324.67	624.82	2395.61	715.43	1453.1	4738.63	3962.78	198.73	336.08	5403.22	1831.17	641.07	5339.06	166.83
CHEBI:17203		OC(=O)[C@@H]1CCCN1	InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1	L-Proline																	1135.71	931	741.91	3561.92	1200.27	622.48	3113.35	3754.17	457	952.54	6127.42	2923.91	6437.3	1973.68	377.03
CHEBI:17115		N[C@@H](CO)C(O)=O	InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m0/s1	L-Serine																	1946.89	1661.53	1414.65	3716.65	1389.14	2599.41	1725.8	52.69	996.48	1634.62	7602.03	4583.64	6978.69	4977.75	864.96
CHEBI:16828		N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1	L-Tryptophan																	347.09	368.92	458.51	417.08	377.03	360.61	615.81	656.56	327.16	425.47	1278.9	345.68	1510.7	1261.13	216.52
CHEBI:17895		N[C@@H](Cc1ccc(O)cc1)C(O)=O	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1	L-Tyrosine																	1799.79	2221.47	2446.95	1245.29	1243.77	2566.92	3969.77	4925.56	873.69	2638.94	5288.87	1883.83	6030.01	7085.42	654.2
CHEBI:16414		CC(C)[C@H](N)C(O)=O	InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1	L-Valine																	2476.72	2484.6	3478.08	5415.96	2030.28	1537.21	9466.47	6194.55	2764.21	1798.26	12609.76	4160.78	9314.93	9676.18	2321.69
				Linoleic acid																	2649.4	1989.85	5468.98	3745.66	8198.74	2985.06	4909.2	1933.54	888.24	2364.41	5186.69	6929.96	986	4115.38	692.09
CHEBI:6650		OC(CC(O)=O)C(O)=O	InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)	Malic acid																	417.8	388.09	492.45	240.65	297.15	454.02	775.82	281	159.91	361.96	2791.9	1207.3	1966.78	2274.62	225.31
CHEBI:30794		OC(=O)CC(O)=O	InChI=1S/C3H4O4/c4-2(5)1-3(6)7/h1H2,(H,4,5)(H,6,7)	Malonic acid																	181.94	448.73	163.98	809.86	99.13	177.94	85.64	94.68	488.92	116.91	331.42	118.79	143.76	113.87	138.49
CHEBI:16796		C=1C=C(C=C2C(=CNC12)CCNC(=O)C)OC	InChI=1S/C13H16N2O2/c1-9(16)14-6-5-10-8-15-13-4-3-11(17-2)7-12(10)13/h3-4,7-8,15H,5-6H2,1-2H3,(H,14,16)	Melatonin																	315.49	274.86	500.22	183	168.49	71.83	431.81	93.44	148.03	171.95	419	85.09	244.74	173.59	1264.67
CHEBI:89843				Methylsuccinic acid																	38.42	40.35	287.93	109.85	39.11	123.62	74.85	61.81	59.61	86.79	250.05	52.12	190.99	414.38	103.16
