"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Timepoint]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"AZ1_CAZ"	"blank"	""	""	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"blank"	""	""	"Sample collection"	"CMW_BLANK"	"AZ1_CAZ"	""	""	"Blank"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"AZ1_CAZ"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"std1_1"	"AZ1_CAZ"	""	""	"Standards"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"AZ1_CAZ"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"std2_1"	"AZ1_CAZ"	""	""	"Standards"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"AZ1_CAZ"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"std3_1"	"AZ1_CAZ"	""	""	"Standards"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"AZ245"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"AZ2_T2_1"	"AZ245"	""	""	"2-(cyclobutylmethoxy)-5'-deoxyadenosine 32 ug/ml"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"AZ245"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"AZ2_T2_2"	"AZ245"	""	""	"2-(cyclobutylmethoxy)-5'-deoxyadenosine 32 ug/ml"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"AZ245"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"AZ2_T2_3"	"AZ245"	""	""	"2-(cyclobutylmethoxy)-5'-deoxyadenosine 32 ug/ml"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"AZ245"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"AZ2_T2_4"	"AZ245"	""	""	"2-(cyclobutylmethoxy)-5'-deoxyadenosine 32 ug/ml"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"AZ245"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"AZ2_T2_5"	"AZ245"	""	""	"2-(cyclobutylmethoxy)-5'-deoxyadenosine 32 ug/ml"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"5"	""	""
"AZ245"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"AZ2_T4_1"	"AZ245"	""	""	"2-(cyclobutylmethoxy)-5'-deoxyadenosine 32 ug/ml"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"AZ245"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"AZ2_T4_2"	"AZ245"	""	""	"2-(cyclobutylmethoxy)-5'-deoxyadenosine 32 ug/ml"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"AZ245"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"AZ2_T4_3"	"AZ245"	""	""	"2-(cyclobutylmethoxy)-5'-deoxyadenosine 32 ug/ml"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"AZ245"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"AZ2_T4_4"	"AZ245"	""	""	"2-(cyclobutylmethoxy)-5'-deoxyadenosine 32 ug/ml"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"AZ245"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"AZ2_T4_5"	"AZ245"	""	""	"2-(cyclobutylmethoxy)-5'-deoxyadenosine 32 ug/ml"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"5"	""	""
"AZ245"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"AZ4_T2_1"	"AZ245"	""	""	"fosmidomycin 8 ug/ml"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
