Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[sequencing type]	Characteristics[cell type]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[sequencing type]
Elf1_HPC7	ERS939099	SAMEA3631950	Mus musculus	HPC-7	Hi-C sequencing	haematopoietic stem/progenitor cell	cell	P-MTAB-47021	P-MTAB-47023	P-MTAB-47025	Elf1_HPC7	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-47027	Babraham Institute	Elf1_HPC7	sequencing assay	ERX1167949	Elf1_HPC7.fq.gz	Elf1_HPC7.fq.gz	ERR1088380	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/000/ERR1088380/ERR1088380.fastq.gz	P-MTAB-47028	P-MTAB-47030	P-MTAB-47031	P-MTAB-47032	P-MTAB-47033	Elf1_HPC7.bw	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.4.zip	P-MTAB-47028	P-MTAB-47029	P-MTAB-47030	P-MTAB-47032	P-MTAB-47033	Elf1_HPC7.bed	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.1.zip	Hi-C sequencing
Eto2_HPC7	ERS939100	SAMEA3631951	Mus musculus	HPC-7	Hi-C sequencing	haematopoietic stem/progenitor cell	cell	P-MTAB-47021	P-MTAB-47023	P-MTAB-47025	Eto2_HPC7	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-47027	Babraham Institute	Eto2_HPC7	sequencing assay	ERX1167950	Eto2_HPC7.fq.gz	Eto2_HPC7.fq.gz	ERR1088381	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/001/ERR1088381/ERR1088381.fastq.gz	P-MTAB-47028	P-MTAB-47030	P-MTAB-47031	P-MTAB-47032	P-MTAB-47033	Eto2_HPC7.bw	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.4.zip	P-MTAB-47028	P-MTAB-47029	P-MTAB-47030	P-MTAB-47032	P-MTAB-47033	Eto2_HPC7.bed	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.1.zip	Hi-C sequencing
Gata2_HPC7	ERS939101	SAMEA3631952	Mus musculus	HPC-7	Hi-C sequencing	haematopoietic stem/progenitor cell	cell	P-MTAB-47021	P-MTAB-47023	P-MTAB-47025	Gata2_HPC7	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-47027	Babraham Institute	Gata2_HPC7	sequencing assay	ERX1167951	Gata2_HPC7.fq.gz	Gata2_HPC7.fq.gz	ERR1088382	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/002/ERR1088382/ERR1088382.fastq.gz	P-MTAB-47028	P-MTAB-47030	P-MTAB-47031	P-MTAB-47032	P-MTAB-47033	Gata2_HPC7.bw	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.5.zip	P-MTAB-47028	P-MTAB-47029	P-MTAB-47030	P-MTAB-47032	P-MTAB-47033	Gata2_HPC7.bed	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.1.zip	Hi-C sequencing
H2A_AcK5_HPC7	ERS939102	SAMEA3631953	Mus musculus	HPC-7	Hi-C sequencing	haematopoietic stem/progenitor cell	cell	P-MTAB-47021	P-MTAB-47023	P-MTAB-47025	H2A_AcK5_HPC7	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-47027	Babraham Institute	H2A_AcK5_HPC7	sequencing assay	ERX1167952	H2A_AcK5_HPC7.fq.gz	H2A_AcK5_HPC7.fq.gz	ERR1088383	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/003/ERR1088383/ERR1088383.fastq.gz	P-MTAB-47028	P-MTAB-47030	P-MTAB-47031	P-MTAB-47032	P-MTAB-47033	H2A_AcK5_HPC7.bw	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.5.zip	  	  	  	  	  	  	  	Hi-C sequencing
H3K27me3_HPC7	ERS939103	SAMEA3631954	Mus musculus	HPC-7	Hi-C sequencing	haematopoietic stem/progenitor cell	cell	P-MTAB-47021	P-MTAB-47023	P-MTAB-47025	H3K27me3_HPC7	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-47027	Babraham Institute	H3K27me3_HPC7	sequencing assay	ERX1167953	H3K27me3_HPC7.fq.gz	H3K27me3_HPC7.fq.gz	ERR1088384	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/004/ERR1088384/ERR1088384.fastq.gz	P-MTAB-47028	P-MTAB-47030	P-MTAB-47031	P-MTAB-47032	P-MTAB-47033	H3K27me3_HPC7.bw	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.5.zip	  	  	  	  	  	  	  	Hi-C sequencing
H3K36me3_HPC7	ERS939104	SAMEA3631955	Mus musculus	HPC-7	Hi-C sequencing	haematopoietic stem/progenitor cell	cell	P-MTAB-47021	P-MTAB-47023	P-MTAB-47025	H3K36me3_HPC7	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-47027	Babraham Institute	H3K36me3_HPC7	sequencing assay	ERX1167954	H3K36me3_HPC7.fq.gz	H3K36me3_HPC7.fq.gz	ERR1088385	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/005/ERR1088385/ERR1088385.fastq.gz	P-MTAB-47028	P-MTAB-47030	P-MTAB-47031	P-MTAB-47032	P-MTAB-47033	H3K36me3_HPC7.bw	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.6.zip	  	  	  	  	  	  	  	Hi-C sequencing
H3K4me3_HPC7	ERS939105	SAMEA3631956	Mus musculus	HPC-7	Hi-C sequencing	haematopoietic stem/progenitor cell	cell	P-MTAB-47021	P-MTAB-47023	P-MTAB-47025	H3K4me3_HPC7	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-47027	Babraham Institute	H3K4me3_HPC7	sequencing assay	ERX1167955	H3K4me3_HPC7.fq.gz	H3K4me3_HPC7.fq.gz	ERR1088386	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/006/ERR1088386/ERR1088386.fastq.gz	P-MTAB-47028	P-MTAB-47030	P-MTAB-47031	P-MTAB-47032	P-MTAB-47033	H3K4me3_HPC7.bw	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.6.zip	  	  	  	  	  	  	  	Hi-C sequencing
HPC7_HiC_bioRep1	ERS939106	SAMEA3631957	Mus musculus	HPC-7	ChIP-Seq sequencing	haematopoietic stem/progenitor cell	cell	P-MTAB-47021	P-MTAB-47022	P-MTAB-47024	HPC7_HiC_bioRep1	SINGLE	other	GENOMIC	not applicable	OTHER	P-MTAB-47026	CRUK Cambridge Institute Genomics Core	HPC7_HiC_bioRep1	sequencing assay	ERX1167956	HPC7_HiC_bioRep1_R1.fastq.gz	HPC7_HiC_bioRep1_R1.fastq.gz	ERR1088387	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/007/ERR1088387/ERR1088387.fastq.gz	P-MTAB-47028	P-MTAB-47029	P-MTAB-47030	P-MTAB-47031	P-MTAB-47032	HPC7_Promoter_Capture_Interactions.ibed	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.6.zip	P-MTAB-47028	P-MTAB-47029	P-MTAB-47030	P-MTAB-47032	P-MTAB-47033	HPC7_HiC_bioRep1_uniques.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.HPC7_HiC_bioRep1_uniques.bam	ChIP-Seq sequencing
HPC7_HiC_bioRep1	ERS939106	SAMEA3631957	Mus musculus	HPC-7	ChIP-Seq sequencing	haematopoietic stem/progenitor cell	cell	P-MTAB-47021	P-MTAB-47022	P-MTAB-47024	HPC7_HiC_bioRep1	SINGLE	other	GENOMIC	not applicable	OTHER	P-MTAB-47026	CRUK Cambridge Institute Genomics Core	HPC7_HiC_bioRep1_1	sequencing assay	ERX1167956	HPC7_HiC_bioRep1_R2.fastq.gz	HPC7_HiC_bioRep1_R2.fastq.gz	ERR1088388	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/008/ERR1088388/ERR1088388.fastq.gz	P-MTAB-47028	P-MTAB-47029	P-MTAB-47030	P-MTAB-47031	P-MTAB-47032	HPC7_Promoter_Capture_Interactions.ibed	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.6.zip	P-MTAB-47028	P-MTAB-47029	P-MTAB-47030	P-MTAB-47032	P-MTAB-47033	HPC7_HiC_bioRep1_uniques.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.HPC7_HiC_bioRep1_uniques.bam	ChIP-Seq sequencing
HPC7_HiC_bioRep1	ERS939106	SAMEA3631957	Mus musculus	HPC-7	ChIP-Seq sequencing	haematopoietic stem/progenitor cell	cell	P-MTAB-47021	P-MTAB-47022	P-MTAB-47024	HPC7_HiC_bioRep1	SINGLE	other	GENOMIC	not applicable	OTHER	P-MTAB-47026	CRUK Cambridge Institute Genomics Core	HPC7_HiC_bioRep1_2	sequencing assay	ERX1167956	HPC7_HiC_bioRep1_R3.fastq.gz	HPC7_HiC_bioRep1_R3.fastq.gz	ERR1088389	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/009/ERR1088389/ERR1088389.fastq.gz	P-MTAB-47028	P-MTAB-47029	P-MTAB-47030	P-MTAB-47031	P-MTAB-47032	HPC7_Promoter_Capture_Interactions.ibed	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.6.zip	P-MTAB-47028	P-MTAB-47029	P-MTAB-47030	P-MTAB-47032	P-MTAB-47033	HPC7_HiC_bioRep1_uniques.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.HPC7_HiC_bioRep1_uniques.bam	ChIP-Seq sequencing
HPC7_HiC_bioRep2	ERS939107	SAMEA3631958	Mus musculus	HPC-7	ChIP-Seq sequencing	haematopoietic stem/progenitor cell	cell	P-MTAB-47021	P-MTAB-47022	P-MTAB-47024	HPC7_HiC_bioRep2	SINGLE	other	GENOMIC	not applicable	OTHER	P-MTAB-47026	CRUK Cambridge Institute Genomics Core	HPC7_HiC_bioRep2	sequencing assay	ERX1167957	HPC7_HiC_bioRep2_R1.fastq.gz	HPC7_HiC_bioRep2_R1.fastq.gz	ERR1088390	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/000/ERR1088390/ERR1088390.fastq.gz	P-MTAB-47028	P-MTAB-47029	P-MTAB-47030	P-MTAB-47031	P-MTAB-47032	HPC7_Promoter_Capture_Interactions.ibed	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.6.zip	P-MTAB-47028	P-MTAB-47029	P-MTAB-47030	P-MTAB-47032	P-MTAB-47033	HPC7_HiC_bioRep2_uniques.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.HPC7_HiC_bioRep2_uniques.bam	ChIP-Seq sequencing
HPC7_HiC_bioRep2	ERS939107	SAMEA3631958	Mus musculus	HPC-7	ChIP-Seq sequencing	haematopoietic stem/progenitor cell	cell	P-MTAB-47021	P-MTAB-47022	P-MTAB-47024	HPC7_HiC_bioRep2	SINGLE	other	GENOMIC	not applicable	OTHER	P-MTAB-47026	CRUK Cambridge Institute Genomics Core	HPC7_HiC_bioRep2_1	sequencing assay	ERX1167957	HPC7_HiC_bioRep2_R2.fastq.gz	HPC7_HiC_bioRep2_R2.fastq.gz	ERR1088391	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/001/ERR1088391/ERR1088391.fastq.gz	P-MTAB-47028	P-MTAB-47029	P-MTAB-47030	P-MTAB-47031	P-MTAB-47032	HPC7_Promoter_Capture_Interactions.ibed	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.6.zip	P-MTAB-47028	P-MTAB-47029	P-MTAB-47030	P-MTAB-47032	P-MTAB-47033	HPC7_HiC_bioRep2_uniques.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.HPC7_HiC_bioRep2_uniques.bam	ChIP-Seq sequencing
HPC7_HiC_bioRep2	ERS939107	SAMEA3631958	Mus musculus	HPC-7	ChIP-Seq sequencing	haematopoietic stem/progenitor cell	cell	P-MTAB-47021	P-MTAB-47022	P-MTAB-47024	HPC7_HiC_bioRep2	SINGLE	other	GENOMIC	not applicable	OTHER	P-MTAB-47026	CRUK Cambridge Institute Genomics Core	HPC7_HiC_bioRep2_2	sequencing assay	ERX1167957	HPC7_HiC_bioRep2_R3.fastq.gz	HPC7_HiC_bioRep2_R3.fastq.gz	ERR1088392	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/002/ERR1088392/ERR1088392.fastq.gz	P-MTAB-47028	P-MTAB-47029	P-MTAB-47030	P-MTAB-47031	P-MTAB-47032	HPC7_Promoter_Capture_Interactions.ibed	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.6.zip	P-MTAB-47028	P-MTAB-47029	P-MTAB-47030	P-MTAB-47032	P-MTAB-47033	HPC7_HiC_bioRep2_uniques.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.HPC7_HiC_bioRep2_uniques.bam	ChIP-Seq sequencing
