"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Description]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"
"QC"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"fetal serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000448"	"QC5"	""	""	"Sample collection"	"QC5"
"QC"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"fetal serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000448"	"QC3"	""	""	"Sample collection"	"QC3"
"Sugar_Mix"	"Standard"	""	""	"Chemical"	""	""	"Sugar Mix"	""	""	"Sample collection"	"Sugar_Mix"
"Culture Media 3"	"Culture Media"	"RH-MESH"	"http://phenomebrowser.net/ontologies/mesh/mesh.owl#D003470"	"media"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000579"	"Media Only"	""	""	"Sample collection"	"MO3"
"Candida albicans culture 3"	"Candida albicans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5476"	"intracellular part"	"EFO"	"http://purl.obolibrary.org/obo/GO_0044424"	"Candida Cells"	""	""	"Sample collection"	"CAC3"
"Coculture Biofilm 6"	"Staphylococcus aureus; NCBITAXON:Candida albicans"	"NCBITAXON"	""	"culture supernatant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002217"	"Co Media"	""	""	"Sample collection"	"SCM6"
"Staphylococcus aureus culture 6"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"intracellular part"	"EFO"	"http://purl.obolibrary.org/obo/GO_0044424"	"Saph Cells"	""	""	"Sample collection"	"SAC6"
"Coculture Biofilm 6"	"Staphylococcus aureus; NCBITAXON:Candida albicans"	"NCBITAXON"	""	"intracellular part"	"EFO"	"http://purl.obolibrary.org/obo/GO_0044424"	"Co Cells"	""	""	"Sample collection"	"SCC6"
"Staphylococcus aureus culture 3"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"intracellular part"	"EFO"	"http://purl.obolibrary.org/obo/GO_0044424"	"Saph Cells"	""	""	"Sample collection"	"SAC3"
"Candida albicans culture 4"	"Candida albicans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5476"	"culture supernatant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002217"	"Candida Media"	""	""	"Sample collection"	"CAM4"
"Sugar_Phosphate_Mix"	"Standard"	""	""	"Chemical"	""	""	"Sugar Phosphate Mix"	""	""	"Sample collection"	"Sugar_Phosphate_Mix"
"Coculture Biofilm 3"	"Staphylococcus aureus; NCBITAXON:Candida albicans"	"NCBITAXON"	""	"intracellular part"	"EFO"	"http://purl.obolibrary.org/obo/GO_0044424"	"Co Cells"	""	""	"Sample collection"	"SCC3"
"Candida albicans culture 1"	"Candida albicans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5476"	"intracellular part"	"EFO"	"http://purl.obolibrary.org/obo/GO_0044424"	"Candida Cells"	""	""	"Sample collection"	"CAC1"
"Coculture Biofilm 2"	"Staphylococcus aureus; NCBITAXON:Candida albicans"	"NCBITAXON"	""	"intracellular part"	"EFO"	"http://purl.obolibrary.org/obo/GO_0044424"	"Co Cells"	""	""	"Sample collection"	"SCC2"
"Candida albicans culture 5"	"Candida albicans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5476"	"culture supernatant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002217"	"Candida Media"	""	""	"Sample collection"	"CAM5"
"Internal_standards"	"Internal Standard"	""	""	"Chemical"	""	""	"Internal Standards"	""	""	"Sample collection"	"Internal_standards"
"Culture Media 1"	"Culture Media"	"RH-MESH"	"http://phenomebrowser.net/ontologies/mesh/mesh.owl#D003470"	"media"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000579"	"Media Only"	""	""	"Sample collection"	"MO1"
"Coculture Biofilm 1"	"Staphylococcus aureus; NCBITAXON:Candida albicans"	"NCBITAXON"	""	"intracellular part"	"EFO"	"http://purl.obolibrary.org/obo/GO_0044424"	"Co Cells"	""	""	"Sample collection"	"SCC1"
"Staphylococcus aureus culture 1"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"culture supernatant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002217"	"Saph Media"	""	""	"Sample collection"	"SAM1"
"Culture Media 4"	"Culture Media"	"RH-MESH"	"http://phenomebrowser.net/ontologies/mesh/mesh.owl#D003470"	"media"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000579"	"Media Only"	""	""	"Sample collection"	"MO4"
"Coculture Biofilm 3"	"Staphylococcus aureus; NCBITAXON:Candida albicans"	"NCBITAXON"	""	"culture supernatant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002217"	"Co Media"	""	""	"Sample collection"	"SCM3"
"Candida albicans culture 3"	"Candida albicans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5476"	"culture supernatant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002217"	"Candida Media"	""	""	"Sample collection"	"CAM3"
"Staphylococcus aureus culture 6"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"culture supernatant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002217"	"Saph Media"	""	""	"Sample collection"	"SAM6"
"Culture Media 5"	"Culture Media"	"RH-MESH"	"http://phenomebrowser.net/ontologies/mesh/mesh.owl#D003470"	"media"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000579"	"Media Only"	""	""	"Sample collection"	"MO5"
"QC"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"fetal serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000448"	"QC4"	""	""	"Sample collection"	"QC4"
"Culture Media 2"	"Culture Media"	"RH-MESH"	"http://phenomebrowser.net/ontologies/mesh/mesh.owl#D003470"	"media"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000579"	"Media Only"	""	""	"Sample collection"	"MO2"
"Coculture Biofilm 4"	"Staphylococcus aureus; NCBITAXON:Candida albicans"	"NCBITAXON"	""	"culture supernatant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002217"	"Co Media"	""	""	"Sample collection"	"SCM4"
"Candida albicans culture 6"	"Candida albicans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5476"	"culture supernatant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002217"	"Candida Media"	""	""	"Sample collection"	"CAM6"
"Candida albicans culture 4"	"Candida albicans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5476"	"intracellular part"	"EFO"	"http://purl.obolibrary.org/obo/GO_0044424"	"Candida Cells"	""	""	"Sample collection"	"CAC4"
"Candida albicans culture 2"	"Candida albicans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5476"	"culture supernatant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002217"	"Candida Media"	""	""	"Sample collection"	"CAM2"
"Staphylococcus aureus culture 5"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"culture supernatant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002217"	"Saph Media"	""	""	"Sample collection"	"SAM5"
"Coculture Biofilm 4"	"Staphylococcus aureus; NCBITAXON:Candida albicans"	"NCBITAXON"	""	"intracellular part"	"EFO"	"http://purl.obolibrary.org/obo/GO_0044424"	"Co Cells"	""	""	"Sample collection"	"SCC4"
"QC"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"fetal serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000448"	"QC2"	""	""	"Sample collection"	"QC2"
"Staphylococcus aureus culture 5"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"intracellular part"	"EFO"	"http://purl.obolibrary.org/obo/GO_0044424"	"Saph Cells"	""	""	"Sample collection"	"SAC5"
"Candida albicans culture 1"	"Candida albicans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5476"	"culture supernatant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002217"	"Candida Media"	""	""	"Sample collection"	"CAM1"
"Candida albicans culture 5"	"Candida albicans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5476"	"intracellular part"	"EFO"	"http://purl.obolibrary.org/obo/GO_0044424"	"Candida Cells"	""	""	"Sample collection"	"CAC5"
"QC"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"fetal serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000448"	"QC6"	""	""	"Sample collection"	"QC6"
"Staphylococcus aureus culture 1"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"intracellular part"	"EFO"	"http://purl.obolibrary.org/obo/GO_0044424"	"Saph Cells"	""	""	"Sample collection"	"SAC1"
"Staphylococcus aureus culture 4"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"culture supernatant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002217"	"Saph Media"	""	""	"Sample collection"	"SAM4"
"Coculture Biofilm 5"	"Staphylococcus aureus; NCBITAXON:Candida albicans"	"NCBITAXON"	""	"culture supernatant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002217"	"Co Media"	""	""	"Sample collection"	"SCM5"
"Coculture Biofilm 2"	"Staphylococcus aureus; NCBITAXON:Candida albicans"	"NCBITAXON"	""	"culture supernatant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002217"	"Co Media"	""	""	"Sample collection"	"SCM2"
"Staphylococcus aureus culture 2"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"culture supernatant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002217"	"Saph Media"	""	""	"Sample collection"	"SAM2"
"Coculture Biofilm 1"	"Staphylococcus aureus; NCBITAXON:Candida albicans"	"NCBITAXON"	""	"culture supernatant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002217"	"Co Media"	""	""	"Sample collection"	"SCM1"
"Staphylococcus aureus culture 4"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"intracellular part"	"EFO"	"http://purl.obolibrary.org/obo/GO_0044424"	"Saph Cells"	""	""	"Sample collection"	"SAC4"
"Candida albicans culture 2"	"Candida albicans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5476"	"intracellular part"	"EFO"	"http://purl.obolibrary.org/obo/GO_0044424"	"Candida Cells"	""	""	"Sample collection"	"CAC2"
"Coculture Biofilm 5"	"Staphylococcus aureus; NCBITAXON:Candida albicans"	"NCBITAXON"	""	"intracellular part"	"EFO"	"http://purl.obolibrary.org/obo/GO_0044424"	"Co Cells"	""	""	"Sample collection"	"SCC5"
"Candida albicans culture 6"	"Candida albicans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5476"	"intracellular part"	"EFO"	"http://purl.obolibrary.org/obo/GO_0044424"	"Candida Cells"	""	""	"Sample collection"	"CAC6"
"FBS_QC"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"fetal serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000448"	"Instrument Comparison"	""	""	"Sample collection"	"FBS150_New_FS_4"
"FBS_QC"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"fetal serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000448"	"Instrument Comparison"	""	""	"Sample collection"	"FBS150_new_1_FS120000_4"
