"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Gender]"	"Term Source REF"	"Term Accession Number"	"Factor Value[ABCC6 genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Ectonucleotidase inhibition]"	"Term Source REF"	"Term Accession Number"
"Cell culture medium"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK293(control)-3"	""	""	""	"Endogenous background"	""	""	"Control"	""	""
"Cell culture medium"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK293(ARL+AMPPCP)-1"	""	""	""	"Endogenous background"	""	""	"ARL67156+AMP-PCP"	""	""
"Cell culture medium"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK293(ARL+AMPPCP)-2"	""	""	""	"Endogenous background"	""	""	"ARL67156+AMP-PCP"	""	""
"Cell culture medium"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK293(ARL+AMPPCP)-3"	""	""	""	"Endogenous background"	""	""	"ARL67156+AMP-PCP"	""	""
"Cell culture medium"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK293/GFP(control)-1"	""	""	""	"Endogenous background"	""	""	"Control"	""	""
"Cell culture medium"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK293/GFP(control)-2"	""	""	""	"Endogenous background"	""	""	"Control"	""	""
"Cell culture medium"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK293/GFP(control)-3"	""	""	""	"Endogenous background"	""	""	"Control"	""	""
"Cell culture medium"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK293/GFP(ARL+AMPPCP)-1"	""	""	""	"Endogenous background"	""	""	"ARL67156+AMP-PCP"	""	""
"Cell culture medium"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK293/GFP(ARL+AMPPCP)-2"	""	""	""	"Endogenous background"	""	""	"ARL67156+AMP-PCP"	""	""
"Cell culture medium"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK293/GFP(ARL+AMPPCP)-3"	""	""	""	"Endogenous background"	""	""	"ARL67156+AMP-PCP"	""	""
"Cell culture medium"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK293/hABCC6(control)-1"	""	""	""	"hABCC6 overexpression"	""	""	"Control"	""	""
"Cell culture medium"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK293/hABCC6(control)-2"	""	""	""	"hABCC6 overexpression"	""	""	"Control"	""	""
"Cell culture medium"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK293/hABCC6(control)-3"	""	""	""	"hABCC6 overexpression"	""	""	"Control"	""	""
"Cell culture medium"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK293/hABCC6(ARL+AMPPCP)-1"	""	""	""	"hABCC6 overexpression"	""	""	"ARL67156+AMP-PCP"	""	""
"Cell culture medium"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK293/hABCC6(ARL+AMPPCP)-2"	""	""	""	"hABCC6 overexpression"	""	""	"ARL67156+AMP-PCP"	""	""
"Cell culture medium"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK293/hABCC6(ARL+AMPPCP)-3"	""	""	""	"hABCC6 overexpression"	""	""	"ARL67156+AMP-PCP"	""	""
"Cell culture medium"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK293/rABCC6(control)-1"	""	""	""	"rABCC6 overexpression"	""	""	"Control"	""	""
"Cell culture medium"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK293/rABCC6(control)-2"	""	""	""	"rABCC6 overexpression"	""	""	"Control"	""	""
"Cell culture medium"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK293/rABCC6(control)-3"	""	""	""	"rABCC6 overexpression"	""	""	"Control"	""	""
"Cell culture medium"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK293/rABCC6(ARL+AMPPCP)-1"	""	""	""	"rABCC6 overexpression"	""	""	"ARL67156+AMP-PCP"	""	""
"Cell culture medium"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK293/rABCC6(ARL+AMPPCP)-2"	""	""	""	"rABCC6 overexpression"	""	""	"ARL67156+AMP-PCP"	""	""
"Cell culture medium"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK293/rABCC6(ARL+AMPPCP)-3"	""	""	""	"rABCC6 overexpression"	""	""	"ARL67156+AMP-PCP"	""	""
