"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[PARP inhibitor concentration]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Radiation]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Cancer cell lysates"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MDA-MB-231 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000815"	"Sample collection"	"MDAMB231_C2"	"0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"	"0"	"gray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000134"
"Cancer cell lysates"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MDA-MB-231 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000815"	"Sample collection"	"MDAMB231_C3"	"0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"	"0"	"gray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000134"
"Cancer cell lysates"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MDA-MB-231 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000815"	"Sample collection"	"MDAMB231_PI1"	"50"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"	"0"	"gray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000134"
"Cancer cell lysates"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MDA-MB-231 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000815"	"Sample collection"	"MDAMB231_PI2"	"50"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"	"0"	"gray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000134"
"Cancer cell lysates"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MDA-MB-231 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000815"	"Sample collection"	"MDAMB231_PI3"	"50"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"	"0"	"gray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000134"
"Cancer cell lysates"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MDA-MB-231 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000815"	"Sample collection"	"MDAMB231_R1"	"0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"	"8"	"gray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000134"
"Cancer cell lysates"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MDA-MB-231 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000815"	"Sample collection"	"MDAMB231_R2"	"0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"	"8"	"gray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000134"
"Cancer cell lysates"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MDA-MB-231 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000815"	"Sample collection"	"MDAMB231_R3"	"0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"	"8"	"gray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000134"
"Cancer cell lysates"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"MCF7_C1"	"0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"	"0"	"gray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000134"
"Cancer cell lysates"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"MCF7_C2"	"0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"	"0"	"gray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000134"
"Cancer cell lysates"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"MCF7_C3"	"0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"	"0"	"gray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000134"
"Cancer cell lysates"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"MCF7_PI1"	"50"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"	"0"	"gray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000134"
"Cancer cell lysates"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"MCF7_PI2"	"50"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"	"0"	"gray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000134"
"Cancer cell lysates"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"MCF7_PI3"	"50"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"	"0"	"gray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000134"
"Cancer cell lysates"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"MCF7_R1"	"0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"	"8"	"gray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000134"
"Cancer cell lysates"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"MCF7_R2"	"0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"	"8"	"gray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000134"
"Cancer cell lysates"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"MCF7_R3"	"0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"	"8"	"gray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000134"
