"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Cell line]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Resveratrol concentration]"	"Unit"	"Term Source REF"	"Term Accession Number"
"HaCaT"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HaCaT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000552"	"Sample collection"	"HaCaT 2 RESV 20uM"	"HaCaT"	""	""	"20"	"micromole"	"UO"	"http://purl.obolibrary.org/obo/UO_0000039"
"HaCaT"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HaCaT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000552"	"Sample collection"	"HaCaT 3 RESV 20uM"	"HaCaT"	""	""	"20"	"micromole"	"UO"	"http://purl.obolibrary.org/obo/UO_0000039"
"HaCaT"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HaCaT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000552"	"Sample collection"	"HaCaT 1 RESV 200uM"	"HaCaT"	""	""	"200"	"micromole"	"UO"	"http://purl.obolibrary.org/obo/UO_0000039"
"HaCaT"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HaCaT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000552"	"Sample collection"	"HaCaT 2 RESV 200uM"	"HaCaT"	""	""	"200"	"micromole"	"UO"	"http://purl.obolibrary.org/obo/UO_0000039"
"C2C12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C2C12 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000165"	"Sample collection"	"C2C12 1 RESV 0uM"	"C2C12"	""	""	"0"	"micromole"	"UO"	"http://purl.obolibrary.org/obo/UO_0000039"
"C2C12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C2C12 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000165"	"Sample collection"	"C2C12 2 RESV 0uM"	"C2C12"	""	""	"0"	"micromole"	"UO"	"http://purl.obolibrary.org/obo/UO_0000039"
"C2C12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C2C12 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000165"	"Sample collection"	"C2C12 3 RESV 0uM"	"C2C12"	""	""	"0"	"micromole"	"UO"	"http://purl.obolibrary.org/obo/UO_0000039"
"C2C12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C2C12 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000165"	"Sample collection"	"C2C12 1 RESV 20uM"	"C2C12"	""	""	"20"	"micromole"	"UO"	"http://purl.obolibrary.org/obo/UO_0000039"
"C2C12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C2C12 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000165"	"Sample collection"	"C2C12 2 RESV 20uM"	"C2C12"	""	""	"20"	"micromole"	"UO"	"http://purl.obolibrary.org/obo/UO_0000039"
"C2C12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C2C12 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000165"	"Sample collection"	"C2C12 3 RESV 20uM"	"C2C12"	""	""	"20"	"micromole"	"UO"	"http://purl.obolibrary.org/obo/UO_0000039"
"C2C12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C2C12 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000165"	"Sample collection"	"C2C12 1 RESV 200uM"	"C2C12"	""	""	"200"	"micromole"	"UO"	"http://purl.obolibrary.org/obo/UO_0000039"
"C2C12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C2C12 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000165"	"Sample collection"	"C2C12 2 RESV 200uM"	"C2C12"	""	""	"200"	"micromole"	"UO"	"http://purl.obolibrary.org/obo/UO_0000039"
"C2C12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C2C12 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000165"	"Sample collection"	"C2C12 3 RESV 200uM"	"C2C12"	""	""	"200"	"micromole"	"UO"	"http://purl.obolibrary.org/obo/UO_0000039"
