"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Cell line]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Glucose source]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Level measurement type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Timepoint]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Cell number]"	"Term Source REF"	"Term Accession Number"
"1_11"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_11"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"1_12"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_12"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"1_13"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_13"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"1_14"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_14"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"1_15"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_15"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"1_16"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_16"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"1_17"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_17"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"1_18"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_18"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"1_19"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_19"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"1_20"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_20"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"1_21"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_21"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"1_22"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_22"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"1_23"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_23"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"1_24"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_24"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"1_25"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_25"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"1_26"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_26"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"1_27"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_27"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"1_28"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_28"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"1_29"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_29"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"1_30"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_30"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"1_31"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_31"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"1_32"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_32"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"1_33"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_33"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"1_34"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_34"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"1_35"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_35"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"1_36"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_36"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"1_37"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_37"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"1_38"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_38"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"1_39"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_39"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"1_40"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_40"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"1_41"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_41"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"1_42"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_42"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"1_43"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_43"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"1_44"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_44"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"1_45"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_45"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"1_46"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_46"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"1_47"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_47"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"1_48"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_48"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"1_49"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_49"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"1_50"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_50"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"1_51"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_51"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"1_52"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_52"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"1_53"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_53"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"1_54"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_54"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"1_55"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_55"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"1_56"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_56"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"1_57"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_57"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"1_58"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_58"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
