"Sample Name"	"Factor Value[season]"	"Term Source REF"	"Term Accession Number"	"Factor Value[species]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Summer_Plaund_03"	"Summer"	""	""	"Plagiomnium undulatum"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_11_Plaund_1-B.4_01_5687"	"pos_11_Plaund_1-B,4_01_5687.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_positive_mode.maf.tsv"
"Summer_Rhysqu_01"	"Summer"	""	""	"Rhytidiadelphus squarrosus"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_12_Rhysqu_1-B.5_01_5688"	"pos_12_Rhysqu_1-B,5_01_5688.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_positive_mode.maf.tsv"
"Summer_Rhysqu_02"	"Summer"	""	""	"Rhytidiadelphus squarrosus"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_13_Rhysqu_1-B.6_01_5689"	"pos_13_Rhysqu_1-B,6_01_5689.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_positive_mode.maf.tsv"
"Summer_Calcus_01"	"Summer"	""	""	"Calliergonella cuspidata"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_14_Calcus_1-B.7_01_5690"	"pos_14_Calcus_1-B,7_01_5690.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_positive_mode.maf.tsv"
"Summer_Calcus_02"	"Summer"	""	""	"Calliergonella cuspidata"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_15_Calcus_1-C.1_01_5693"	"pos_15_Calcus_1-C,1_01_5693.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_positive_mode.maf.tsv"
"Summer_Rhysqu_03"	"Summer"	""	""	"Rhytidiadelphus squarrosus"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_16_Rhysqu_1-C.2_01_5694"	"pos_16_Rhysqu_1-C,2_01_5694.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_positive_mode.maf.tsv"
"Summer_Calcus_03"	"Summer"	""	""	"Calliergonella cuspidata"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_17_Calcus_1-C.3_01_5695"	"pos_17_Calcus_1-C,3_01_5695.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_positive_mode.maf.tsv"
"Summer_Brarut_01"	"Summer"	""	""	"Brachythecium rutabulum"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_18_Brarut_1-C.4_01_5696"	"pos_18_Brarut_1-C,4_01_5696.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_positive_mode.maf.tsv"
"Summer_Brarut_02"	"Summer"	""	""	"Brachythecium rutabulum"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_19_Brarut_1-C.5_01_5697"	"pos_19_Brarut_1-C,5_01_5697.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_positive_mode.maf.tsv"
"Summer_Hypcup_02"	"Summer"	""	""	"Hypnum cupressiforme s. l."	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_20_Hypcup_1-C.6_01_5698"	"pos_20_Hypcup_1-C,6_01_5698.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_positive_mode.maf.tsv"
"Summer_Hypcup_03"	"Summer"	""	""	"Hypnum cupressiforme s. l."	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_21_Hypcup_1-C.7_01_5699"	"pos_21_Hypcup_1-C,7_01_5699.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_positive_mode.maf.tsv"
"Summer_Gripul_02"	"Summer"	""	""	"Grimmia pulvinata"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_22_Gripul_1-D.1_01_5702"	"pos_22_Gripul_1-D,1_01_5702.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_positive_mode.maf.tsv"
"Summer_Gripul_03"	"Summer"	""	""	"Grimmia pulvinata"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_23_Gripul_1-D.2_01_5703"	"pos_23_Gripul_1-D,2_01_5703.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_positive_mode.maf.tsv"
"Summer_Brarut_03"	"Summer"	""	""	"Brachythecium rutabulum"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_24_Brarut_1-D.3_01_5704"	"pos_24_Brarut_1-D,3_01_5704.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_positive_mode.maf.tsv"
"Summer_Marpol_01"	"Summer"	""	""	"Marchantia polymorpha s. l."	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_25_Marpol_1-D.4_01_5705"	"pos_25_Marpol_1-D,4_01_5705.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_positive_mode.maf.tsv"
"Summer_Marpol_02"	"Summer"	""	""	"Marchantia polymorpha s. l."	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_26_Marpol_1-D.5_01_5706"	"pos_26_Marpol_1-D,5_01_5706.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_positive_mode.maf.tsv"
"Summer_Marpol_03"	"Summer"	""	""	"Marchantia polymorpha s. l."	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_27_Marpol_1-D.6_01_5707"	"pos_27_Marpol_1-D,6_01_5707.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_positive_mode.maf.tsv"
"Autumn_Fistax_01"	"Autumn"	""	""	"Fissidens taxifolius"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_01_Fistax_1-A.2_01_6578"	"pos_01_Fistax_1-A,2_01_6578.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_positive_mode.maf.tsv"
"Autumn_Fistax_02"	"Autumn"	""	""	"Fissidens taxifolius"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_02_Fistax_1-A.3_01_6579"	"pos_02_Fistax_1-A,3_01_6579.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_positive_mode.maf.tsv"
"Autumn_Fistax_03"	"Autumn"	""	""	"Fissidens taxifolius"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_03_Fistax_1-A.4_01_6580"	"pos_03_Fistax_1-A,4_01_6580.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_positive_mode.maf.tsv"
"Autumn_Hypcup_01"	"Autumn"	""	""	"Hypnum cupressiforme s. l."	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_04_Hypcup_1-A.5_01_6581"	"pos_04_Hypcup_1-A,5_01_6581.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_positive_mode.maf.tsv"
"Autumn_Gripul_01"	"Autumn"	""	""	"Grimmia pulvinata"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_05_Gripul_1-A.6_01_6582"	"pos_05_Gripul_1-A,6_01_6582.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_positive_mode.maf.tsv"
"Autumn_Brarut_01"	"Autumn"	""	""	"Brachythecium rutabulum"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_06_Brarut_1-A.7_01_6583"	"pos_06_Brarut_1-A,7_01_6583.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_positive_mode.maf.tsv"
"Autumn_Polstr_01"	"Autumn"	""	""	"Polytrichum strictum"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_07_Polstr_1-A.8_01_6584"	"pos_07_Polstr_1-A,8_01_6584.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_positive_mode.maf.tsv"
"Autumn_Polstr_02"	"Autumn"	""	""	"Polytrichum strictum"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_08_Polstr_1-B.1_01_6587"	"pos_08_Polstr_1-B,1_01_6587.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_positive_mode.maf.tsv"
"Autumn_Polstr_03"	"Autumn"	""	""	"Polytrichum strictum"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_09_Polstr_1-B.2_01_6588"	"pos_09_Polstr_1-B,2_01_6588.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_positive_mode.maf.tsv"
