"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[treatment]"	"Term Source REF"	"Term Accession Number"
"Rutkowski_1-O_Subject 2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Atf6a-/-"	""	""	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Positive_Knockout-O-#2"	"Atf6-/-"	""	""	"replicate 2"	""	""	"vehicle role"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000732"
"Rutkowski_1-O_Subject 1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Atf6a-/-"	""	""	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Positive_Knockout-O-#1"	"Atf6-/-"	""	""	"replicate 1"	""	""	"vehicle role"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000732"
"Rutkowski_1-48-Subject 5"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Atf6a-/-"	""	""	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Positive_Knockout-48-#5"	"Atf6-/-"	""	""	"replicate 5"	""	""	"tunicamycin"	""	""
"Rutkowski_1-48-Subject 4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Atf6a-/-"	""	""	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Positive_Knockout-48-#4"	"Atf6-/-"	""	""	"replicate 4"	""	""	"tunicamycin"	""	""
"Rutkowski_1-48-Subject 3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Atf6a-/-"	""	""	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Positive_Knockout-48-#3"	"Atf6-/-"	""	""	"replicate 3"	""	""	"tunicamycin"	""	""
"Rutkowski_1-48-Subject 2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Atf6a-/-"	""	""	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Positive_Knockout-48-#2"	"Atf6-/-"	""	""	"replicate 2"	""	""	"tunicamycin"	""	""
"Rutkowski_1-48-Subject 1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Atf6a-/-"	""	""	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Positive_Knockout-48-#1"	"Atf6-/-"	""	""	"replicate 1"	""	""	"tunicamycin"	""	""
"Rutkowski_WT_48_Subject 4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Negative_Wild Type_48-#4"	"Wild-Type"	"AURA"	"http://www.projecthalo.com/aura#Wild-Type"	"replicate 4"	""	""	"tunicamycin"	""	""
"Rutkowski_WT_48_Subject 3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Negative_Wild Type_48-#3"	"Wild-Type"	"AURA"	"http://www.projecthalo.com/aura#Wild-Type"	"replicate 3"	""	""	"tunicamycin"	""	""
"Rutkowski_WT_48_Subject 2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Negative_Wild Type_48-#2"	"Wild-Type"	"AURA"	"http://www.projecthalo.com/aura#Wild-Type"	"replicate 2"	""	""	"tunicamycin"	""	""
"Rutkowski_WT_48_Subject 1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Negative_Wild Type_48-#1"	"Wild-Type"	"AURA"	"http://www.projecthalo.com/aura#Wild-Type"	"replicate 1"	""	""	"tunicamycin"	""	""
"Rutkowski_WT_O_Subject 4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Negative_Wild Type-O-#4"	"Wild-Type"	"AURA"	"http://www.projecthalo.com/aura#Wild-Type"	"replicate 4"	""	""	"vehicle role"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000732"
"Rutkowski_WT_O_Subject 3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Negative_Wild Type-O-#3"	"Wild-Type"	"AURA"	"http://www.projecthalo.com/aura#Wild-Type"	"replicate 3"	""	""	"vehicle role"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000732"
"Rutkowski_WT_O_Subject 2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Negative_Wild Type-O-#2"	"Wild-Type"	"AURA"	"http://www.projecthalo.com/aura#Wild-Type"	"replicate 2"	""	""	"vehicle role"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000732"
"Rutkowski_WT_O_Subject 1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Negative_Wild Type-O-#1"	"Wild-Type"	"AURA"	"http://www.projecthalo.com/aura#Wild-Type"	"replicate 1"	""	""	"vehicle role"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000732"
"Rutkowski_1-O_Subject 4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Atf6a-/-"	""	""	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Negative_Knockout-O-#4"	"Atf6-/-"	""	""	"replicate 4"	""	""	"vehicle role"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000732"
"Rutkowski_1-O_Subject 3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Atf6a-/-"	""	""	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Negative_Knockout-O-#3"	"Atf6-/-"	""	""	"replicate 3"	""	""	"vehicle role"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000732"
"Rutkowski_1-O_Subject 2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Atf6a-/-"	""	""	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Negative_Knockout-O-#2"	"Atf6-/-"	""	""	"replicate 2"	""	""	"vehicle role"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000732"
"Rutkowski_1-O_Subject 1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Atf6a-/-"	""	""	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Negative_Knockout-O-#1"	"Atf6-/-"	""	""	"replicate 1"	""	""	"vehicle role"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000732"
"Rutkowski_1-48-Subject 5"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Atf6a-/-"	""	""	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Negative_Knockout-48-#5"	"Atf6-/-"	""	""	"replicate 5"	""	""	"tunicamycin"	""	""
"Rutkowski_1-48-Subject 4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Atf6a-/-"	""	""	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Negative_Knockout-48-#4"	"Atf6-/-"	""	""	"replicate 4"	""	""	"tunicamycin"	""	""
"Rutkowski_1-48-Subject 3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Atf6a-/-"	""	""	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Negative_Knockout-48-#3"	"Atf6-/-"	""	""	"replicate 3"	""	""	"tunicamycin"	""	""
"Rutkowski_1-48-Subject 2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Atf6a-/-"	""	""	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Negative_Knockout-48-#2"	"Atf6-/-"	""	""	"replicate 2"	""	""	"tunicamycin"	""	""
"Rutkowski_1-48-Subject 1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Atf6a-/-"	""	""	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Negative_Knockout-48-#1"	"Atf6-/-"	""	""	"replicate 1"	""	""	"tunicamycin"	""	""
