"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Column model 2]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column type 2]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"OCC 0hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCC Initial A_1"	"OCC Initial A_1.csv"	"Data transformation"	""	"environOCCalignedNormalized.csv"	"Metabolite identification"	""	"m_perturbationocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCC 0hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCC Initial A_1"	"OCC Initial A_1.csv"	"Data transformation"	""	"environOCCalignedNormalized.csv"	"Metabolite identification"	""	"m_perturbationocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCC 0hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCC Initial A_1"	"OCC Initial A_1.csv"	"Data transformation"	""	"environOCCalignedNormalized.csv"	"Metabolite identification"	""	"m_perturbationocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCC 0hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCC Initial A_1"	"OCC Initial A_1.csv"	"Data transformation"	""	"environOCCalignedNormalized.csv"	"Metabolite identification"	""	"m_perturbationocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCC 0hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCC Initial A_1"	"OCC Initial A_1.csv"	"Data transformation"	""	"environOCCalignedNormalized.csv"	"Metabolite identification"	""	"m_perturbationocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCC 0hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCC Initial A_1"	"OCC Initial A_1.csv"	"Data transformation"	""	"environOCCalignedNormalized.csv"	"Metabolite identification"	""	"m_perturbationocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCC 0hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCC Initial A_1"	"OCC Initial A_1.csv"	"Data transformation"	""	"environOCCalignedNormalized.csv"	"Metabolite identification"	""	"m_perturbationocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCC 0hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCC Initial A_1"	"OCC Initial A_1.csv"	"Data transformation"	""	"environOCCalignedNormalized.csv"	"Metabolite identification"	""	"m_perturbationocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCC 0hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCC Initial A_1"	"OCC Initial A_1.csv"	"Data transformation"	""	"environOCCalignedNormalized.csv"	"Metabolite identification"	""	"m_perturbationocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCC 0hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCC Initial A_1"	"OCC Initial A_1.csv"	"Data transformation"	""	"environOCCalignedNormalized.csv"	"Metabolite identification"	""	"m_perturbationocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCC 0hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCC Initial A_1"	"OCC Initial A_1.csv"	"Data transformation"	""	"environOCCalignedNormalized.csv"	"Metabolite identification"	""	"m_perturbationocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCC 0hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCC Initial A_1"	"OCC Initial A_1.csv"	"Data transformation"	""	"environOCCalignedNormalized.csv"	"Metabolite identification"	""	"m_perturbationocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCC 0hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCC Initial A_1"	"OCC Initial A_1.csv"	"Data transformation"	""	"environOCCalignedNormalized.csv"	"Metabolite identification"	""	"m_perturbationocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCC 0hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCC Initial A_1"	"OCC Initial A_1.csv"	"Data transformation"	""	"environOCCalignedNormalized.csv"	"Metabolite identification"	""	"m_perturbationocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCC 0hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCC Initial A_1"	"OCC Initial A_1.csv"	"Data transformation"	""	"environOCCalignedNormalized.csv"	"Metabolite identification"	""	"m_perturbationocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCC 0hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCC Initial A_1"	"OCC Initial A_1.csv"	"Data transformation"	""	"environOCCalignedNormalized.csv"	"Metabolite identification"	""	"m_perturbationocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCC 0hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCC Initial A_1"	"OCC Initial A_1.csv"	"Data transformation"	""	"environOCCalignedNormalized.csv"	"Metabolite identification"	""	"m_perturbationocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCC 0hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCC Initial A_1"	"OCC Initial A_1.csv"	"Data transformation"	""	"environOCCalignedNormalized.csv"	"Metabolite identification"	""	"m_perturbationocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCC 0hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCC Initial A_1"	"OCC Initial A_1.csv"	"Data transformation"	""	"environOCCalignedNormalized.csv"	"Metabolite identification"	""	"m_perturbationocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCC 0hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCC Initial A_1"	"OCC Initial A_1.csv"	"Data transformation"	""	"environOCCalignedNormalized.csv"	"Metabolite identification"	""	"m_perturbationocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
