"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization1]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Derivatization2]"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"HAR_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAR_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAR_S"	"SAMN07448985_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HAT_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAT_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAT_S"	"SAMN07448986_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HB_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HB_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HB_S"	"SAMN07448987_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HD_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HD_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HD_S"	"SAMN07449000_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HE_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HE_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HE_S"	"SAMN07449001_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HF_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HF_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HF_S"	"SAMN07449002_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HAV_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAV_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAV_S"	"SAMN07449041_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HAX_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAX_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAX_S"	"SAMN07449042_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HAZ_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAZ_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAZ_S"	"SAMN07449043_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HBA_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBA_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBA_S"	"SAMN07449044_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HBB_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBB_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBB_S"	"SAMN07449045_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HBC_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBC_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBC_S"	"SAMN07449046_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HBD_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBD_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBD_S"	"SAMN07449047_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HBE_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBE_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBE_S"	"SAMN07449048_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HBF_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBF_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBF_S"	"SAMN07449049_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HBG_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBG_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBG_S"	"SAMN07449050_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HBH_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBH_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBH_S"	"SAMN07449051_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HBI_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBI_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBI_S"	"SAMN07449052_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HBJ_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBJ_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBJ_S"	"SAMN07449053_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HBK_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBK_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBK_S"	"SAMN07449054_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HBL_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBL_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBL_S"	"SAMN07449055_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HBM_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBM_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBM_S"	"SAMN07449056_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HCW_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HCW_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HCW_S"	"SAMN07449070_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
