"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization1]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Derivatization2]"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"HAJ"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAJ"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAJ"	"SAMN07448978.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HAK"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAK"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAK"	"SAMN07448979.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HAL"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAL"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAL"	"SAMN07448980.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HAM"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAM"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAM"	"SAMN07448981.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HAN"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAN"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAN"	"SAMN07448982.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HAO"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAO"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAO"	"SAMN07448983.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HAP"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAP"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAP"	"SAMN07448984.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HAR"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAR"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAR"	"SAMN07448985.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HAT"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAT"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAT"	"SAMN07448986.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HB"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HB"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HB"	"SAMN07448987.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HD"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HD"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HD"	"SAMN07449000.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HE"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HE"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HE"	"SAMN07449001.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HF"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HF"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HF"	"SAMN07449002.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HG"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HG"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HG"	"SAMN07449003.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HI"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HI"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HI"	"SAMN07449004.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HJ"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HJ"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HJ"	"SAMN07449005.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HK"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HK"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HK"	"SAMN07449006.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HL"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HL"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HL"	"SAMN07449007.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HM"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HM"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HM"	"SAMN07449008.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HN"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HN"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HN"	"SAMN07449009.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HO"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HO"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HO"	"SAMN07449010.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HP"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HP"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HP"	"SAMN07449011.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HQ"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HQ"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HQ"	"SAMN07449012.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HR"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HR"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HR"	"SAMN07449013.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HS"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HS"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HS"	"SAMN07449014.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HT"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HT"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HT"	"SAMN07449015.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HU"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HU"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HU"	"SAMN07449016.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HV"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HV"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HV"	"SAMN07449017.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
