"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Dose]"	"Unit"	"Term Source REF"	"Term Accession Number"
"DSMZ ACC 29"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MOLT-16 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004173"	"Sample collection"	"M1"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"	""	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"DSMZ ACC 29"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MOLT-16 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004173"	"Sample collection"	"M2"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"	""	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"DSMZ ACC 29"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MOLT-16 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004173"	"Sample collection"	"M3"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"	""	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"DSMZ ACC 29"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MOLT-16 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004173"	"Sample collection"	"M4"	"hydrazinosuccinic acid"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C042747"	"10"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"DSMZ ACC 29"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MOLT-16 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004173"	"Sample collection"	"M5"	"hydrazinosuccinic acid"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C042747"	"10"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"DSMZ ACC 29"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MOLT-16 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004173"	"Sample collection"	"M6"	"hydrazinosuccinic acid"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C042747"	"10"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"QC1_1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Pooled Sample"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45910"	"Sample collection"	"QC1_1"	"Quality Control"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15311"	""	""	""	""
"QC1_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Pooled Sample"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45910"	"Sample collection"	"QC1_2"	"Quality Control"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15311"	""	""	""	""
"QC1_3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Pooled Sample"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45910"	"Sample collection"	"QC1_3"	"Quality Control"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15311"	""	""	""	""
"QC1_4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Pooled Sample"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45910"	"Sample collection"	"QC1_4"	"Quality Control"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15311"	""	""	""	""
"QC1_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Pooled Sample"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45910"	"Sample collection"	"QC1_5"	"Quality Control"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15311"	""	""	""	""
"QC2_1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Pooled Sample"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45910"	"Sample collection"	"QC2_1"	"Quality Control"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15311"	""	""	""	""
"QC2_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Pooled Sample"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45910"	"Sample collection"	"QC2_2"	"Quality Control"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15311"	""	""	""	""
"QC2_3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Pooled Sample"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45910"	"Sample collection"	"QC2_3"	"Quality Control"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15311"	""	""	""	""
"QC2_4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Pooled Sample"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45910"	"Sample collection"	"QC2_4"	"Quality Control"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15311"	""	""	""	""
