"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[methanol extract]"	"Unit"	"Term Source REF"	"Term Accession Number"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-11168-HILIC-ESI+-18"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"6"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-11168-HILIC-ESI--19"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"1"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-11168-HILIC-ESI--20"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"2"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-11168-HILIC-ESI--21"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"3"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-11168-HILIC-ESI--22"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"4"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-11168-HILIC-ESI--23"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"5"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-11168-HILIC-ESI--24"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"6"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-ermb-RP-ESI+-1"	"ermB (Enterococcus faecalis V583)"	"PR"	"http://purl.obolibrary.org/obo/NCBIGene_1202183"	"1"	""	""	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-ermb-RP-ESI+-2"	"ermB (Enterococcus faecalis V583)"	"PR"	"http://purl.obolibrary.org/obo/NCBIGene_1202183"	"2"	""	""	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-ermb-RP-ESI+-3"	"ermB (Enterococcus faecalis V583)"	"PR"	"http://purl.obolibrary.org/obo/NCBIGene_1202183"	"3"	""	""	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-ermb-RP-ESI+-4"	"ermB (Enterococcus faecalis V583)"	"PR"	"http://purl.obolibrary.org/obo/NCBIGene_1202183"	"4"	""	""	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-ermb-RP-ESI+-5"	"ermB (Enterococcus faecalis V583)"	"PR"	"http://purl.obolibrary.org/obo/NCBIGene_1202183"	"5"	""	""	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-ermb-RP-ESI+-6"	"ermB (Enterococcus faecalis V583)"	"PR"	"http://purl.obolibrary.org/obo/NCBIGene_1202183"	"6"	""	""	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-ermb-RP-ESI--7"	"ermB (Enterococcus faecalis V583)"	"PR"	"http://purl.obolibrary.org/obo/NCBIGene_1202183"	"1"	""	""	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-ermb-RP-ESI--8"	"ermB (Enterococcus faecalis V583)"	"PR"	"http://purl.obolibrary.org/obo/NCBIGene_1202183"	"2"	""	""	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-ermb-RP-ESI--9"	"ermB (Enterococcus faecalis V583)"	"PR"	"http://purl.obolibrary.org/obo/NCBIGene_1202183"	"3"	""	""	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-ermb-RP-ESI--10"	"ermB (Enterococcus faecalis V583)"	"PR"	"http://purl.obolibrary.org/obo/NCBIGene_1202183"	"4"	""	""	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-ermb-RP-ESI--11"	"ermB (Enterococcus faecalis V583)"	"PR"	"http://purl.obolibrary.org/obo/NCBIGene_1202183"	"5"	""	""	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-ermb-RP-ESI--12"	"ermB (Enterococcus faecalis V583)"	"PR"	"http://purl.obolibrary.org/obo/NCBIGene_1202183"	"6"	""	""	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-ermb-HILIC-ESI+-13"	"ermB (Enterococcus faecalis V583)"	"PR"	"http://purl.obolibrary.org/obo/NCBIGene_1202183"	"1"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-ermb-HILIC-ESI+-14"	"ermB (Enterococcus faecalis V583)"	"PR"	"http://purl.obolibrary.org/obo/NCBIGene_1202183"	"2"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-ermb-HILIC-ESI+-15"	"ermB (Enterococcus faecalis V583)"	"PR"	"http://purl.obolibrary.org/obo/NCBIGene_1202183"	"3"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-ermb-HILIC-ESI+-16"	"ermB (Enterococcus faecalis V583)"	"PR"	"http://purl.obolibrary.org/obo/NCBIGene_1202183"	"4"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-ermb-HILIC-ESI+-17"	"ermB (Enterococcus faecalis V583)"	"PR"	"http://purl.obolibrary.org/obo/NCBIGene_1202183"	"5"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-ermb-HILIC-ESI+-18"	"ermB (Enterococcus faecalis V583)"	"PR"	"http://purl.obolibrary.org/obo/NCBIGene_1202183"	"6"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-ermb-HILIC-ESI--19"	"ermB (Enterococcus faecalis V583)"	"PR"	"http://purl.obolibrary.org/obo/NCBIGene_1202183"	"1"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-ermb-HILIC-ESI--20"	"ermB (Enterococcus faecalis V583)"	"PR"	"http://purl.obolibrary.org/obo/NCBIGene_1202183"	"2"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-ermb-HILIC-ESI--21"	"ermB (Enterococcus faecalis V583)"	"PR"	"http://purl.obolibrary.org/obo/NCBIGene_1202183"	"3"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-ermb-HILIC-ESI--22"	"ermB (Enterococcus faecalis V583)"	"PR"	"http://purl.obolibrary.org/obo/NCBIGene_1202183"	"4"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
