"Sample Name"	"Protocol REF"	"Parameter Value[Sample mounting]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample preservation]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sectioning instrument]"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Labeled Extract Name"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Spatial resolution]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Raw Spectral Data File"	"Protocol REF"	"Parameter Value[Stain]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[High-res image]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Low-res image]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"A22 10cm S3"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A22 10cm S3"	"A22 10cm S3-profile.ibd"	"A22 10cm S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A22 10CM 3 BOTTOM - 2014-07-10 11.43.01.ndpi"	""	""	"A22 10cm S3.jpg"	""	""	"Data transformation"	""	"A22 10cm S3-profile.imzML"	"A22 10cm S3-centroid.imzML"	"Metabolite identification"	""	""
"A22 5cm S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A22 5cm S4"	"A22 5cm S4-profile.ibd"	"A22 5cm S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A22 5CM 4 TOP - 2014-08-13 17.32.41.ndpi"	""	""	"A22 5cm S4.jpg"	""	""	"Data transformation"	""	"A22 5cm S4-profile.imzML"	"A22 5cm S4-centroid.imzML"	"Metabolite identification"	""	""
"A22 CT S3"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"positive"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A22 CT S3"	"A22 CT S3-profile.ibd"	"A22 CT S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A22 CENTRE 3 BOTTOM - 2014-07-10 12.25.11.ndpi"	""	""	"A22 CT S3.jpg"	""	""	"Data transformation"	""	"A22 CT S3-profile.imzML"	"A22 CT S3-centroid.imzML"	"Metabolite identification"	""	""
"A22 CT S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A22 CT S4"	"A22 CT S4-profile.ibd"	"A22 CT S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A22CT - 2012-08-07 10.13.12.ndpi"	""	""	"A22 centre S4 85um.jpg"	""	""	"Data transformation"	""	"A22 CT S4-profile.imzML"	"A22 CT S4-centroid.imzML"	"Metabolite identification"	""	""
"A23 CT S2"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A23 CT S2"	"A23 CT S2-profile.ibd"	"A23 CT S2-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A23C2 - 2012-08-06 17.56.22.ndpi"	""	""	"A23 centre S2.jpg"	""	""	"Data transformation"	""	"A23 CT S2-profile.imzML"	"A23 CT S2-centroid.imzML"	"Metabolite identification"	""	""
"A25 jcn S2"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A25 jcn S2"	"A25 jcn S2-profile.ibd"	"A25 jcn S2-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A25 Junction 2 - 2013-07-17 13.46.34.ndpi"	""	""	"A25 jcn S2.jpg"	""	""	"Data transformation"	""	"A25 jcn S2-profile.imzML"	"A25 jcn S2-centroid.imzML"	"Metabolite identification"	""	""
"A25 jcn S5"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A25 jcn S5"	"A25 junction S5-profile.ibd"	"A25 jcn S5-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A25 Junction 5 - 2013-07-17 13.09.31.ndpi"	""	""	"A25 jcn S5.jpg"	""	""	"Data transformation"	""	"A25 junction S5-profile.imzML"	"A25 jcn S5-centroid.imzML"	"Metabolite identification"	""	""
"A26 10cm S6"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A26 10cm S6"	"A26 10cm S6-profile.ibd"	"A26 10cm S6-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A26 10cm s6 - 2013-07-17 14.48.04.ndpi"	""	""	"A26 10cm S6.jpg"	""	""	"Data transformation"	""	"A26 10cm S6-profile.imzML"	"A26 10cm S6-centroid.imzML"	"Metabolite identification"	""	""
"A26 10cm S9"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A26 10cm S9"	"A26 10cm S9-profile.ibd"	"A26 10cm S9-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A26 10cm A29 10cm - 2013-07-17 14.40.03.ndpi"	""	""	"A26 10cm S9.jpg"	""	""	"Data transformation"	""	"A26 10cm S9-profile.imzML"	"A26 10cm S9-centroid.imzML"	"Metabolite identification"	""	""
"A26 junction S3"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A26 junction S3"	"A26 junction S3-profile.ibd"	"A26 junction S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A26 Junction (3) - 2013-07-17 12.54.13.ndpi"	""	""	"A26 jcn S3.jpg"	""	""	"Data transformation"	""	"A26 junction S3-profile.imzML"	"A26 junction S3-centroid.imzML"	"Metabolite identification"	""	""
"A27 CT S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A27 CT S4"	"A27 CT S4-profile.ibd"	"A27 CT S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A27_2012-08-07 10.21.44.ndpi"	""	""	"A27 centre S4 85um.jpg"	""	""	"Data transformation"	""	"A27 CT S4-profile.imzML"	"A27 CT S4-centroid.imzML"	"Metabolite identification"	""	""
"A28 10cm S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A28 10cm S4"	"A28 10cm S4-profile.ibd"	"A28 10cm S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A28 10cm - 2013-07-17 16.43.11.ndpi"	""	""	"A28 10cm S4.jpg"	""	""	"Data transformation"	""	"A28 10cm S4-profile.imzML"	"A28 10cm S4-centroid.imzML"	"Metabolite identification"	""	""
"A28 CT S8"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A28 CT S8"	"A28 CT S8-profile.ibd"	"A28 CT S8-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	""	""	""	"A28 CT S8.JPG"	""	""	"Data transformation"	""	"A28 CT S8-profile.imzML"	"A28 CT S8-centroid.imzML"	"Metabolite identification"	""	""
"A29 10cm S9"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A29 10cm S9"	"A29 10cm S9-profile.ibd"	"A29 10cm S9-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	""	""	""	"A29 10cm S9.jpg"	""	""	"Data transformation"	""	"A29 10cm S9-profile.imzML"	"A29 10cm S9-centroid.imzML"	"Metabolite identification"	""	""
"A29 junction S5"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A29 junction S5"	"A29 junction S5-profile.ibd"	"A29 junction S5-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A29 JCN (5) - 2014-05-27 16.08.08.ndpi"	""	""	"A29 jcn S5.jpg"	""	""	"Data transformation"	""	"A29 junction S5-profile.imzML"	"A29 junction S5-centroid.imzML"	"Metabolite identification"	""	""
"A30 10cm S3"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A30 10cm S3"	"A30 10cm S3-profile.ibd"	"A30 10cm S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A30 10cm - 2013-07-17 17.41.42.ndpi"	""	""	"A30 10cm S3.jpg"	""	""	"Data transformation"	""	"A30 10cm S3-profile.imzML"	"A30 10cm S3-centroid.imzML"	"Metabolite identification"	""	""
