"Source Name"	"Characteristics[organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Phenotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Geographic location]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time of first grafting]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Age at time of first grafting]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Dieback score]"	"Term Source REF"	"Term Accession Number"
"HGH-D2"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"14198B"	"low susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"2012"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0"	""	""
"HGH-D3"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"14198B"	"low susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"2012"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0"	""	""
"HGH-E1"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"14181"	"low susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"2012"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"5"	""	""
"HGH-E2"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"14181"	"low susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"2012"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"5"	""	""
"HGH-E3"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"14181"	"low susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"2012"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"5"	""	""
"UGH-F1"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"14127"	"high susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"2012"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"100"	""	""
"UGH-F2"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"14127"	"high susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"2012"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"100"	""	""
"UGH-F3"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"14127"	"high susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"2012"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"100"	""	""
"UGH-G1"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"14120"	"high susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"2012"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"88"	""	""
"UGH-G2"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"14120"	"high susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"2012"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"88"	""	""
"UGH-G3"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"14120"	"high susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"2012"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"88"	""	""
"UGH-H1"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"14169"	"high susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"2012"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"100"	""	""
"UGH-H2"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"14169"	"high susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"2012"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"100"	""	""
"UGH-H3"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"14169"	"high susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"2012"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"100"	""	""
"UGH-I1"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"14156"	"high susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"2012"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"100"	""	""
"UGH-I2"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"14156"	"high susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"2012"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"100"	""	""
"UGH-I3"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"14156"	"high susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"2012"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"100"	""	""
"UGH-J1"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"25UTaps"	"high susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"1997"	""	""	">50"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"88"	""	""
"UGH-J2"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"25UTaps"	"high susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"1997"	""	""	">50"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"88"	""	""
"UGH-J3"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"25UTaps"	"high susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"1997"	""	""	">50"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"88"	""	""
