"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[time post exposure]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[compound]"	"Term Source REF"	"Term Accession Number"
"DHA-PCA1-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA-PCA1-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PCA"	""	""
"DHA-PCA2-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA-PCA2-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PCA"	""	""
"DHA-PCA3-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA-PCA3-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PCA"	""	""
"DHA-PCA7-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA-PCA7-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PCA"	""	""
"DHA-PCA8-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA-PCA8-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PCA"	""	""
"DHA-PRO1-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA-PRO1-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PRO"	""	""
"DHA-PRO2-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA-PRO2-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PRO"	""	""
"DHA-PRO3-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA-PRO3-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PRO"	""	""
"DHA-PRO7-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA-PRO7-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PRO"	""	""
"DHA-PRO8-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA-PRO8-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PRO"	""	""
"PCA1-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PCA1-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PCA"	""	""
"PCA2-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PCA2-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PCA"	""	""
"PCA3-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PCA3-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PCA"	""	""
"PCA7-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PCA7-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PCA"	""	""
"PCA8-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PCA8-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PCA"	""	""
"PRO1-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PRO1-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PRO"	""	""
"PRO2-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PRO2-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PRO"	""	""
"PRO3-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PRO3-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PRO"	""	""
"PRO7-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PRO7-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PRO"	""	""
"PRO8-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PRO8-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PRO"	""	""
"C1_6h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"C1_6h_CL"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NS"	""	""
"C2_6h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"C2_6h_CL"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NS"	""	""
"C3_6h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"C3_6h_CL"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NS"	""	""
"C7-6h-CLO"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"C7-6h-CLO"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NS"	""	""
"C8-6h-CLO"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"C8-6h-CLO"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NS"	""	""
"DHA+PCA1_6h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA+PCA1_6h_CL"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PCA"	""	""
"DHA+PCA2_6h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA+PCA2_6h_CL"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PCA"	""	""
"DHA+PCA3_6h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA+PCA3_6h_CL"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PCA"	""	""
"DHA+PCA7-6h-CLO"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA+PCA7-6h-CLO"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PCA"	""	""
"DHA+PCA8-6h-CLO"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA+PCA8-6h-CLO"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PCA"	""	""
"DHA+PRO1_6h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA+PRO1_6h_CL"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PRO"	""	""
"DHA+PRO2_6h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA+PRO2_6h_CL"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PRO"	""	""
"DHA+PRO3_6h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA+PRO3_6h_CL"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PRO"	""	""
"DHA+PRO7-6h-CLO"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA+PRO7-6h-CLO"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PRO"	""	""
"DHA+PRO8-6h-CLO"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA+PRO8-6h-CLO"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PRO"	""	""
"DHA1_6h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA1_6h_CL"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA"	""	""
"DHA2_6h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA2_6h_CL"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA"	""	""
"DHA3_6h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA3_6h_CL"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA"	""	""
"DHA7-6h-CLO"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA7-6h-CLO"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA"	""	""
"DHA8-6h-CLO"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA8-6h-CLO"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA"	""	""
"PCA1_6h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PCA1_6h_CL"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PCA"	""	""
"PCA2_6h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PCA2_6h_CL"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PCA"	""	""
"PCA3_6h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PCA3_6h_CL"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PCA"	""	""
"PCA7-6h-CLO"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PCA7-6h-CLO"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PCA"	""	""
"PCA8-6h-CLO"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PCA8-6h-CLO"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PCA"	""	""
"PRO1_6h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PRO1_6h_CL"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PRO"	""	""
"PRO2_6h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PRO2_6h_CL"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PRO"	""	""
"PRO3_6h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PRO3_6h_CL"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PRO"	""	""
"PRO7-6h-CLO"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PRO7-6h-CLO"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PRO"	""	""
"PRO8-6h-CLO"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PRO8-6h-CLO"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PRO"	""	""
"C10-24h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"C10-24h-MET"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NS"	""	""
"C4-24h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"C4-24h-MET"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NS"	""	""
"C5-24h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"C5-24h-MET"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NS"	""	""
"C6-24h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"C6-24h-MET"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NS"	""	""
"C9-24h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"C9-24h-MET"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NS"	""	""
"DHA10-24h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA10-24h-MET"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA"	""	""
"DHA4-24h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA4-24h-MET"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA"	""	""
"DHA5-24h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA5-24h-MET"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA"	""	""
"DHA6-24h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA6-24h-MET"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA"	""	""
"DHA9-24h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA9-24h-MET"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA"	""	""
"DHA-PCA10-24h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA-PCA10-24h-MET"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PCA"	""	""
"DHA-PCA4-24h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA-PCA4-24h-MET"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PCA"	""	""
"DHA-PCA5-24h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA-PCA5-24h-MET"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PCA"	""	""
"DHA-PCA6-24h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA-PCA6-24h-MET"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PCA"	""	""
"DHA-PRO10-24h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA-PRO10-24h-MET"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PRO"	""	""
"DHA-PRO4-24h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA-PRO4-24h-MET"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PRO"	""	""
"DHA-PRO5-24h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA-PRO5-24h-MET"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PRO"	""	""
