"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan m/z range]"	"Parameter Value[Scan polarity]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"1"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"1"	"01_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"3"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"3"	"03_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"4"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"4"	"04_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"5"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"5"	"05_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"6"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"6"	"06_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"7"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"7"	"07_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"21"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"21"	"21_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"22"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"22"	"22_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"23"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"23"	"23_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"24"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"24"	"24_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"25"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"25"	"25_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"26"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"26"	"26_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"27"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"27"	"27_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"28"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"28"	"28_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"29"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"29"	"29_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"30"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"30"	"30_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"31"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"31"	"31_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"32"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"32"	"32_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"33"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"33"	"33_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"34"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"34"	"34_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"35"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"35"	"35_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"36"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"36"	"36_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"37"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"37"	"37_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"38"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"38"	"38_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"78"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"78"	"78_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"79"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"79"	"79_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"80"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"80"	"80_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"82"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"82"	"82_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"83"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"83"	"83_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"84"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"84"	"84_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"85"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"85"	"85_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"86"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"86"	"86_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"87"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"87"	"87_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"88"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"88"	"88_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
