"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan m/z range]"	"Parameter Value[Scan polarity]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"12"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"12"	"12_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"2"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"2"	"02_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"14"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"14"	"14_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"1"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"1"	"01_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"3"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"3"	"03_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"4"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"4"	"04_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"5"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"5"	"05_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"6"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"6"	"06_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"7"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"7"	"07_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"21"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"21"	"21_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"22"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"22"	"22_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"23"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"23"	"23_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"24"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"24"	"24_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"25"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"25"	"25_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"26"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"26"	"26_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"27"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"27"	"27_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"28"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"28"	"28_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"29"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"29"	"29_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"30"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"30"	"30_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"31"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"31"	"31_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"32"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"32"	"32_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"33"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"33"	"33_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"34"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"34"	"34_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"35"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"35"	"35_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"36"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"36"	"36_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"37"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"37"	"37_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"38"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"38"	"38_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"78"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"78"	"78_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"79"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"79"	"79_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"80"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"80"	"80_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"82"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"82"	"82_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"83"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"83"	"83_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"84"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"84"	"84_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"85"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"85"	"85_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"86"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"86"	"86_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"87"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"87"	"87_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
"88"	"Extraction"	"methanol"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"88"	"88_acylcarnitines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_acyl_carnitine_mass_spectrometry_v2_maf.tsv"
