"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Dose]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time point]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal proximal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001498"	"Sample collection"	"C03.R2"	"Control"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate 2"	""	""
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal proximal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001498"	"Sample collection"	"C14.R2"	"Control"	""	""	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate 2"	""	""
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal proximal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001498"	"Sample collection"	"L01.R2"	"Low dose"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate 2"	""	""
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal proximal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001498"	"Sample collection"	"L03.R2"	"Low dose"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate 2"	""	""
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal proximal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001498"	"Sample collection"	"L14.R2"	"Low dose"	""	""	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate 2"	""	""
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal proximal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001498"	"Sample collection"	"H01.R2"	"High dose"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate 2"	""	""
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal proximal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001498"	"Sample collection"	"H03.R2"	"High dose"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate 2"	""	""
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal proximal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001498"	"Sample collection"	"H14.R2"	"High dose"	""	""	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate 2"	""	""
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal proximal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001498"	"Sample collection"	"C01.R3"	"Control"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate 3"	""	""
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal proximal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001498"	"Sample collection"	"C03.R3"	"Control"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate 3"	""	""
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal proximal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001498"	"Sample collection"	"C14.R3"	"Control"	""	""	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate 3"	""	""
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal proximal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001498"	"Sample collection"	"L01.R3"	"Low dose"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate 3"	""	""
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal proximal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001498"	"Sample collection"	"L03.R3"	"Low dose"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate 3"	""	""
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal proximal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001498"	"Sample collection"	"L14.R3"	"Low dose"	""	""	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate 3"	""	""
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal proximal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001498"	"Sample collection"	"H01.R3"	"High dose"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate 3"	""	""
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal proximal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001498"	"Sample collection"	"H03.R3"	"High dose"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate 3"	""	""
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal proximal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001498"	"Sample collection"	"H14.R3"	"High dose"	""	""	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate 3"	""	""
"reference compound"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"Blank.1"	"NA"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	""	""
"reference compound"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"Blank.2"	"NA"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	""	""
"reference compound"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"Blank.3"	"NA"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	""	""
"reference compound"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"Blank.4"	"NA"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	""	""
"reference compound"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"Blank.5"	"NA"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	""	""
"reference compound"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"Blank.6"	"NA"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	""	""
"reference compound"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"Blank.7"	"NA"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	""	""
"reference compound"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"Blank.8"	"NA"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	""	""
"reference compound"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"Blank.9"	"NA"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	""	""
"reference compound"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"Blank.10"	"NA"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	""	""
"reference compound"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"Blank.11"	"NA"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	""	""
"reference compound"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"Pool.1"	"NA"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	""	""
"reference compound"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"Pool.2"	"NA"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	""	""
"reference compound"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"Pool.3"	"NA"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	""	""
"reference compound"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"Pool.4"	"NA"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	""	""
"reference compound"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"Pool.5"	"NA"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	""	""
"reference compound"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"Pool.6"	"NA"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	""	""
